"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Credentials in the Occupation Ontology","https://scispace.com/paper/http://arxiv.org/abs/2405.00186v1","2024","Preprint","","John Beverley
Robin McGill
Sam Smith
Jie Zheng
Giacomo De Colle
Finn Wilson
Matthew Diller
William D. Duncan
William R. Hogan
Yongqun He","","https://arxiv.org/pdf/2405.00186v1","The term credential encompasses educational certificates, degrees, certifications, and government-issued licenses. An occupational credential is a verification of an individuals qualification or competence issued by a third party with relevant authority. Job seekers often leverage such credentials as evidence that desired qualifications are satisfied by their holders. Many U.S. education and workforce development organizations have recognized the importance of credentials for employment and the challenges of understanding the value of credentials. In this study, we identified and ontologically defined credential and credential-related terms at the textual and semantic levels based on the Occupation Ontology (OccO), a BFO-based ontology. Different credential types and their authorization logic are modeled. We additionally defined a high-level hierarchy of credential related terms and relations among many terms, which were initiated in concert with the Alabama Talent Triad (ATT) program, which aims to connect learners, earners, employers and education/training providers through credentials and skills. To our knowledge, our research provides for the first time systematic ontological modeling of the important domain of credentials and related contents, supporting enhanced credential data and knowledge integration in the future."
"Compact and Selective Disclosure for Verifiable Credentials","https://scispace.com/paper/http://arxiv.org/abs/2506.00262v2","2025","Preprint","","Alessandro Buldini
Carlo Mazzocca
Rebecca Montanari
Selcuk Uluagac","10.1109/ACSAC67867.2025.00042","https://arxiv.org/pdf/2506.00262v2","Self-Sovereign Identity (SSI) is a novel identity model that empowers individuals with full control over their data, enabling them to choose what information to disclose, with whom, and when. This paradigm is rapidly gaining traction worldwide, supported by numerous initiatives such as the European Digital Identity (EUDI) Regulation or Singapore's National Digital Identity (NDI). For instance, by 2026, the EUDI Regulation will enable all European citizens to seamlessly access services across Europe using Verifiable Credentials (VCs). A key feature of SSI is the ability to selectively disclose only specific claims within a credential, enhancing the privacy protection of the identity owner. This paper proposes a novel mechanism designed to achieve Compact and Selective Disclosure for VCs (CSD-JWT). Our method leverages a cryptographic accumulator to encode claims within a credential into a unique, compact representation. We implemented CSD-JWT as an open-source solution and extensively evaluated its performance under various conditions. CSD-JWT provides significant memory savings, lowering usage by up to 46% compared to the state-of-the-art. It also minimizes network overhead by producing remarkably smaller Verifiable Presentations (VPs), with size reduction from 27% to 93%. Such features make CSD-JWT especially well-suited for resource-constrained devices, including hardware wallets designed for managing credentials."
"CRSet: Private Non-Interactive Verifiable Credential Revocation","https://scispace.com/paper/http://arxiv.org/abs/2501.17089v3","2025","Preprint","","Felix Hoops
Jonas Gebele
Florian Matthes","","https://arxiv.org/pdf/2501.17089v3","Like any digital certificate, Verifiable Credentials (VCs) require a way to revoke them in case of an error or key compromise. Existing solutions for VC revocation, most prominently Bitstring Status List, are not viable for many use cases because they may leak the issuer's activity, which in turn leaks internal business metrics. For instance, staff fluctuation through the revocation of employee IDs. We identify the protection of issuer activity as a key gap and propose a formal definition for a corresponding characteristic of a revocation mechanism. Then, we introduce CRSet, a non-interactive mechanism that trades some space efficiency to reach these privacy characteristics. For that, we provide a proof sketch. Issuers periodically encode revocation data and publish it via Ethereum blob-carrying transactions, ensuring secure and private availability. Relying Parties (RPs) can download it to perform revocation checks locally. Sticking to a non-interactive design also makes adoption easier because it requires no changes to wallet agents and exchange protocols. We also implement and empirically evaluate CRSet, finding its real-world behavior to match expectations. One Ethereum blob fits revocation data for about 170k VCs."
"A Survey on Decentralized Identifiers and Verifiable Credentials","https://scispace.com/paper/http://arxiv.org/abs/2402.02455v2","2024","Preprint","","Carlo Mazzocca
Abbas Acar
Selcuk Uluagac
Rebecca Montanari
Paolo Bellavista
Mauro Conti","10.1109/COMST.2025.3543197","https://arxiv.org/pdf/2402.02455v2","Digital identity has always been considered the keystone for implementing secure and trustworthy communications among parties. The ever-evolving digital landscape has gone through many technological transformations that have also affected the way entities are digitally identified. During this digital evolution, identity management has shifted from centralized to decentralized approaches. The last era of this journey is represented by the emerging Self-Sovereign Identity (SSI), which gives users full control over their data. SSI leverages decentralized identifiers (DIDs) and verifiable credentials (VCs), which have been recently standardized by the World Wide Web Community (W3C). These technologies have the potential to build more secure and decentralized digital identity systems, remarkably contributing to strengthening the security of communications that typically involve many distributed participants. It is worth noting that the scope of DIDs and VCs extends beyond individuals, encompassing a broad range of entities including cloud, edge, and Internet of Things (IoT) resources. However, due to their novelty, existing literature lacks a comprehensive survey on how DIDs and VCs have been employed in different application domains, which go beyond SSI systems. This paper provides readers with a comprehensive overview of such technologies from different perspectives. Specifically, we first provide the background on DIDs and VCs. Then, we analyze available implementations and offer an in-depth review of how these technologies have been employed across different use-case scenarios. Furthermore, we examine recent regulations and initiatives that have been emerging worldwide. Finally, we present some challenges that hinder their adoption in real-world scenarios and future research directions."
"The Value of Non-Traditional Credentials in the Labor Market","https://scispace.com/paper/http://arxiv.org/abs/2405.00247v2","2024","Preprint","","Susan Athey
Emil Palikot","","https://arxiv.org/pdf/2405.00247v2","Workers without formal credentials experience substantially lower employment rates than their credentialed counterparts, but the extent to which information frictions contribute to these disparities remains unclear. We conducted a randomized experiment with over 800,000 online certificate earners from developing countries who lack college degrees, encouraging credential sharing on LinkedIn through reduced friction and reminders. We study credential visibility for the full sample and track employment outcomes for 40,000 learners. The intervention increased new employment by 6% (1.0 percentage point), with larger effects of 9% (1.2 percentage points) for jobs related to certificates. Treatment effects concentrate among learners with weak baseline employability: those in the bottom tercile experience employment gains of 12% while those in the top tercile see negligible effects. Those most responsive to the intervention benefit most from sharing, with a local average treatment effect of 11 percentage points for compliers. Counterfactual resume scoring shows that credentials improve perceived candidate quality by 8.5 points on average (on a scale from 1 to 100), with effects of 15-20 points for weak resumes but near-zero for strong resumes. Our findings demonstrate that information frictions substantially constrain employment for workers without traditional credentials, and that minimal-cost interventions targeting credential visibility can generate employment gains comparable to intensive training programs."
"A Universal System for OpenID Connect Sign-ins with Verifiable Credentials and Cross-Device Flow","https://scispace.com/paper/http://arxiv.org/abs/2401.09488v1","2024","Preprint","","Felix Hoops
Florian Matthes","","https://arxiv.org/pdf/2401.09488v1","Self-Sovereign Identity (SSI), as a new and promising identity management paradigm, needs mechanisms that can ease a gradual transition of existing services and developers towards it. Systems that bridge the gap between SSI and established identity and access management have been proposed but still lack adoption. We argue that they are all some combination of too complex, locked into specific ecosystems, have no source code available, or are not sufficiently documented. We propose a comparatively simple system that enables SSI-based sign-ins for services that support the widespread OpenID Connect or OAuth 2.0 protocols. Its handling of claims is highly configurable through a single policy and designed for cross-device authentication flows involving a smartphone identity wallet. For external interfaces, we solely rely on open standards, such as the recent OpenID for Verifiable Credentials standards. We provide our implementation as open-source software intended for prototyping and as a reference. Also, we contribute a detailed technical discussion of our particular sign-in flow. To prove its feasibility, we have successfully tested it with existing software and realistic hardware."
"Formal Analysis of V2X Revocation Protocols","https://scispace.com/paper/http://arxiv.org/abs/1704.07216v2","2017","Preprint","","Jorden Whitefield
Liqun Chen
Frank Kargl
Andrew Paverd
Steve Schneider
Helen Treharne
Stephan Wesemeyer","","https://arxiv.org/pdf/1704.07216v2","Research on vehicular networking (V2X) security has produced a range of security mechanisms and protocols tailored for this domain, addressing both security and privacy. Typically, the security analysis of these proposals has largely been informal. However, formal analysis can be used to expose flaws and ultimately provide a higher level of assurance in the protocols.
  This paper focusses on the formal analysis of a particular element of security mechanisms for V2X found in many proposals: the revocation of malicious or misbehaving vehicles from the V2X system by invalidating their credentials. This revocation needs to be performed in an unlinkable way for vehicle privacy even in the context of vehicles regularly changing their pseudonyms. The REWIRE scheme by Forster et al. and its subschemes BASIC and RTOKEN aim to solve this challenge by means of cryptographic solutions and trusted hardware.
  Formal analysis using the TAMARIN prover identifies two flaws with some of the functional correctness and authentication properties in these schemes. We then propose Obscure Token (OTOKEN), an extension of REWIRE to enable revocation in a privacy preserving manner. Our approach addresses the functional and authentication properties by introducing an additional key-pair, which offers a stronger and verifiable guarantee of successful revocation of vehicles without resolving the long-term identity. Moreover OTOKEN is the first V2X revocation protocol to be co-designed with a formal model."
"Keys on Doormats: Exposed API Credentials on the Web","https://scispace.com/paper/http://arxiv.org/abs/2603.12498v2","2026","Preprint","","Nurullah Demir
Yash Vekaria
Georgios Smaragdakis
Zakir Durumeric","","https://arxiv.org/pdf/2603.12498v2","Application programming interfaces (APIs) have become a central part of the modern IT environment, allowing developers to enrich the functionality of applications and interact with third parties such as cloud and payment providers. This interaction often occurs through authentication mechanisms that rely on sensitive credentials such as API keys and tokens that require secure handling. Exposure of these credentials can pose significant consequences to organizations, as malicious attackers can gain access to related services. Previous studies have shown exposure of these sensitive credentials in different environments such as cloud platforms and GitHub. However, the web remains unexplored.
  In this paper, we study exposure of credentials on the web by analyzing 10M webpages. Our findings reveal that API credentials are widely and publicly exposed on the web, including highly popular and critical webpages such as those of global banks and firmware developers. We identify 1,748 distinct credentials from 14 service providers (e.g., cloud and payment providers) across nearly 10,000 webpages. Moreover, our analysis of archived data suggest credentials to remain exposed for periods ranging from a month to several years. We characterize web-specific exposure vectors and root causes, finding that most originate from JavaScript environments. We also discuss the outcomes of our responsible disclosure efforts that demonstrated a substantial reduction in credential exposure on the web."
"Protocols for Checking Compromised Credentials","https://scispace.com/paper/http://arxiv.org/abs/1905.13737v3","2019","Preprint","","Lucy Li
Bijeeta Pal
Junade Ali
Nick Sullivan
Rahul Chatterjee
Thomas Ristenpart","","https://arxiv.org/pdf/1905.13737v3","To prevent credential stuffing attacks, industry best practice now proactively checks if user credentials are present in known data breaches. Recently, some web services, such as HaveIBeenPwned (HIBP) and Google Password Checkup (GPC), have started providing APIs to check for breached passwords. We refer to such services as compromised credential checking (C3) services. We give the first formal description of C3 services, detailing different settings and operational requirements, and we give relevant threat models.
  One key security requirement is the secrecy of a user's passwords that are being checked. Current widely deployed C3 services have the user share a small prefix of a hash computed over the user's password. We provide a framework for empirically analyzing the leakage of such protocols, showing that in some contexts knowing the hash prefixes leads to a 12x increase in the efficacy of remote guessing attacks. We propose two new protocols that provide stronger protection for users' passwords, implement them, and show experimentally that they remain practical to deploy."
"A Comprehensive Formal Security Analysis of OAuth 2.0","https://scispace.com/paper/http://arxiv.org/abs/1601.01229v4","2016","Preprint","","Daniel Fett
Ralf Kuesters
Guido Schmitz","","https://arxiv.org/pdf/1601.01229v4","The OAuth 2.0 protocol is one of the most widely deployed authorization/single sign-on (SSO) protocols and also serves as the foundation for the new SSO standard OpenID Connect. Despite the popularity of OAuth, so far analysis efforts were mostly targeted at finding bugs in specific implementations and were based on formal models which abstract from many web features or did not provide a formal treatment at all.
  In this paper, we carry out the first extensive formal analysis of the OAuth 2.0 standard in an expressive web model. Our analysis aims at establishing strong authorization, authentication, and session integrity guarantees, for which we provide formal definitions. In our formal analysis, all four OAuth grant types (authorization code grant, implicit grant, resource owner password credentials grant, and the client credentials grant) are covered. They may even run simultaneously in the same and different relying parties and identity providers, where malicious relying parties, identity providers, and browsers are considered as well. Our modeling and analysis of the OAuth 2.0 standard assumes that security recommendations and best practices are followed, in order to avoid obvious and known attacks.
  When proving the security of OAuth in our model, we discovered four attacks which break the security of OAuth. The vulnerabilities can be exploited in practice and are present also in OpenID Connect.
  We propose fixes for the identified vulnerabilities, and then, for the first time, actually prove the security of OAuth in an expressive web model. In particular, we show that the fixed version of OAuth (with security recommendations and best practices in place) provides the authorization, authentication, and session integrity properties we specify."
