"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"SSI, from Specifications to Protocol? Formally Verify Security!","https://scispace.com/paper/ssi-from-specifications-to-protocol-formally-verify-security-3d1q64oj34","2024","Proceedings Article","","Christoph Braun
R. Horne
Tobias Käfer
Sjouke Mauw","10.1145/3589334.3645426","","We evaluate a bundle of specifications from the Self-Sovereign Identity (SSI) paradigm to construct an authentication protocol for the Web. We demonstrate how relevant standards such as W3C Verifiable Credentials (VC), W3C Decentralised Identifiers (DIDs), and components of the Hyperledger Aries Framework are to be assembled methodologically into a protocol. We make those assumptions from standard trust models explicit that underlie the derived protocol, and verify security and privacy properties, notably secrecy, authentication, and unlinkability. This enables us to formally justify the additional precision that we urge these specifications to consider, to ensure that implementors of SSI-based systems do not neglect security-critical controls.","Formal verification of SSI-based authentication protocol derived from specifications, ensuring security and privacy properties."
"SolidVC : a decentralized framework for Verifiable Credentials on the web","https://scispace.com/paper/solidvc-a-decentralized-framework-for-verifiable-credentials-3jmff94pd2","2019","Dissertation","","Kayode Yadilichi. Ezike","","","Credentials are an integral part of our lives, as they express our capabilities and enable access to restricted services and benefits. In the early 2010s, the Verifiable Claims Working Group of the World Wide Web Consortium (W3C) proposed a specification for what is now the Verifiable Credentials Data Model. This living specification, which is still in development, outlines a cogent framework for the issuance, storage, presentation, and verification of credentials on the Web. Many of the leading Verifiable Credentials projects leverage Distributed Ledger Technology (DLT), potentially compromising Web interoperability and sometimes exposing otherwise personal data. SolidVC is a decentralized Verifiable Credentials platform built with the open protocols of the Web. It is implemented on top of Solid, a Web framework developed at MIT in 2016 that allows decentralized applications to interact with personal user data to provide services in an access controlled environment. Thesis Supervisor: Lalana Kagal Title: Principal Research Scientist","SolidVC is a decentralized Verifiable Credentials platform built with the open protocols of the Web, implemented on top of Solid, a Web framework developed at MIT in 2016 that allows decentralized applications to interact with personal user data to provide services in an access controlled environment."
"Verifiable Credentials with Privacy-Preserving Tamper-Evident Revocation Mechanism","https://scispace.com/paper/verifiable-credentials-with-privacy-preserving-tamper-2lop8je1gk","2023","Proceedings Article","","Li Xu
Tianyu Li
Zekeriya Erkin","10.1109/bcca58897.2023.10338923","","Verifiable Credential (VC) is a new standard proposed by the W3C association to facilitate the expression and verification of third-party-verified credentials on the Internet, such as passports or diplomas. However, the current VC data model lacks an explicit revocation design that guarantees the secure operations of the system, which limits its application. In this paper, we specify the requirements for a tamper-evident and privacy-preserving revocation mechanism, based on which we compare existing solutions and propose our revocation mechanism that satisfies all the requirements. Our design combines a cryptographic accumulator and a role-based blockchain. With zero-knowledge proof, the verifier can operate off-chain computation of the revocation status while ensuring the correctness of revocation information published on the blockchain. Our analysis shows that the proposed revocation mechanism can prevent fraud using forged and revoked credentials and relieve privacy concerns caused by the correlation of digital data. Our proof-of-concept implementation demonstrates that our revocation mechanism adds only 42.86 ms overhead in the presentation and 31.36 ms overhead in the verification of verifiable credentials. We also provide scalability analysis, which illustrates that the throughput of our blockchain can meet real-world needs.","This paper specifies the requirements for a tamper-evident and privacy-preserving revocation mechanism and proposes a revocation mechanism that satisfies all the requirements and provides scalability analysis, which illustrates that the throughput of the blockchain can meet real-world needs."
"Formalising Linked-Data based Verifiable Credentials for Selective Disclosure","https://scispace.com/paper/formalising-linked-data-based-verifiable-credentials-for-3tgutv81","2022","Proceedings Article","","","10.1109/eurospw55150.2022.00013","","In this paper, we propose a formal definition for Linked-Data based verifiable credential to enable secure selective disclosure among one or multiple verifiable creden-tials a user has. Previous schemes considered using a single verifiable credential and could not hide the user&#x0027;s identifying information when performing selective disclosure. We pro-pose the first Linked-Data based verifiable credentials that can perform selective disclosure free from the restrictions the previous scheme had, and prove its property. We also discuss a novel use of combining multiple certificates issued by independent issuers to still allow users to perform selective disclosure on the set of credentials. Our scheme has been implemented as an open source Web-based application that generates a verifiable presentation for a given selection of attributes. The performance evaluation is also provided in the paper. ","In this article , the authors propose a formal definition for Linked-Data based verifiable credential to enable secure selective disclosure among one or multiple verifiable creden-tials a user has."
"Formalising Linked-Data based Verifiable Credentials for Selective Disclosure","https://scispace.com/paper/formalising-linked-data-based-verifiable-credentials-for-12ljolww","2022","Journal Article","","Dan Yamamoto
Yuji Suga
Kazue Sako","10.1109/EuroSPW55150.2022.00013","","In this paper, we propose a formal definition for Linked-Data based verifiable credential to enable secure selective disclosure among one or multiple verifiable creden-tials a user has. Previous schemes considered using a single verifiable credential and could not hide the user's identifying information when performing selective disclosure. We pro-pose the first Linked-Data based verifiable credentials that can perform selective disclosure free from the restrictions the previous scheme had, and prove its property. We also discuss a novel use of combining multiple certificates issued by independent issuers to still allow users to perform selective disclosure on the set of credentials. Our scheme has been implemented as an open source Web-based application that generates a verifiable presentation for a given selection of attributes. The performance evaluation is also provided in the paper.","This paper pro-poses the first Linked-Data based verifiable credentials that can perform selective disclosure free from the restrictions the previous scheme had, and proves its property."
"The W3C PROV family of specifications for modelling provenance metadata","https://scispace.com/paper/the-w3c-prov-family-of-specifications-for-modelling-1e0oodgcbt","2013","Proceedings Article","Extending Database Technology","Paolo Missier
Khalid Belhajjame
James Cheney","10.1145/2452376.2452478","https://scispace.com/pdf/the-w3c-prov-family-of-specifications-for-modelling-1e0oodgcbt.pdf","Provenance, a form of structured metadata designed to record the origin or source of information, can be instrumental in deciding whether information is to be trusted, how it can be integrated with other diverse information sources, and how to establish attribution of information to authors throughout its history. The PROV set of specifications, produced by the World Wide Web Consortium (W3C), is designed to promote the publication of provenance information on the Web, and offers a basis for interoperability across diverse provenance management systems. The PROV provenance model is deliberately generic and domain-agnostic, but extension mechanisms are available and can be exploited for modelling specific domains. This tutorial provides an account of these specifications. Starting from intuitive and informal examples that present idiomatic provenance patterns, it progressively introduces the relational model of provenance along with the constraints model for validation of provenance documents, and concludes with example applications that show the extension points in use.","This tutorial progressively introduces the relational model ofprovenance along with the constraints model for validation of provenance documents, and concludes with example applications that show the extension points in use."
"Data Model and domain-specific ontologies implementation","https://scispace.com/paper/data-model-and-domain-specific-ontologies-implementation-q0tr0c91s0bb","2024","Repository","","DE SABBATA Piero
Massa, Gilda","10.5281/zenodo.14007105","","The main results of task T2.2 “Semantic model and domain-specific ontologies presentations” are reported in this document, which is the logical continuation of the deliverable “D1.4 Harmonized set of semantic standards, ontologies, nomenclatures outcomes”. The aim of D2.2 is to represent the main results related to data modelling, data collection and exchange specifications by providing the project and specifically the developers with several resources, artifacts, guides, etc. available on a public web framework. A significant effort was dedicated to the definition of data structures, nomenclatures and taxonomies, targeted for the specific topics of TRICK domain and services. The taxonomy of manufacturing operations in TC sector, reported in ANNEX B, is the most relevant, as it is an update of an outcome of the European project SET “Save energy in textile SMEs”, and collects inputs in particular on the Recycling phases from several TRICK project partners. The requirements for supporting data collection along a highly fragmented supply chain, as described in D1.4, leaded us to focus on inter-company data exchanges and on their implementation through business documents that are the digital equivalent of the traditional paper based exchanges adopted by the companies, especially the smaller ones. For this reason, we have a strong attention on data exchanges standards and the effort to build upon the existing ones. Starting from the state-of-the art reported in D1.4, the eBIZ specification framework was chosen as a basis for building the TRICK data model, improving its “eBIZ Document Factory” (see section 2.3) through its customization for TRICK and the development of additional features. Moreover, it was decided not to formalize the ontology in the classical RDF/OWL format, but to support it through an accessible online dictionary and to provide XML Schemas, in order to facilitate the work of developers in obtaining the corresponding data structures directly from an XML structure. The approach followed for the replication in the Food sector is described in Chapter 4. The partners involved in the pilot at the time of writing are still working on the finalization of the two use cases under analysis; in parallel, the first analysis of the information and documents that must be exchanged was completed. The analysis carried out to build the data model presented in this document was conducted starting from the TC sector and related pilots, identifying the common and transversal elements (see section 3.2) and highlighting which set of data could be mapped for the Food sector.Once the defined data model will be tested for the TC pilots, it will also be mapped on the specific features of Food pilots. The Chapter 5 reports the preliminary approach of the Holonix Ecosystem Data manager adapted to handle the expected data flows and to serve the project specific uses cases, together with technical challenges and limitations. This preliminary analysis and all the results of T2.2 are the input for T2.3, which will use these outcomes to implement the data persistency layer for the TRICK platform. The most important results of the Task 2.2 can be summarized as the following:• The definition of the traceability data collection (see section 2.3.1) and of the sustainability assessment data collection (see section 2.3.2), with their related eBusiness documents, which provide the mapping of the TRICK domain and of the services’ specific topics. In fact, in order to have a more detailed analysis on the specific needs of the TRICK business services, also aspects not initially foreseen by the objectives of this deliverable were considered. An example is the preliminary data mapping on the TRICK services, reported in ANNEX E, and the consequent definition of a pattern for the services’ data support (see section 3.2.2) and the usage of the eBIZ elements in the TRICK services (see section 3.2.3).• The instruments provided by the eBIZ Document Factory that are foreseen both for purposes of data structure design and maintenance as well as for on-line consultation of the delivered specifications for the developers.• The Holonix Ecosystem Data Manager (EDM) adapted and customized to handle the expected data flows in a narrow specific domain like in the TRICK case. Thanks to the approach and the choices made to build the TRICK ontology, described in Chapter 1, a standardization path may be followed to release a new version of eBIZ specification. Very important, in this perspective, is the relationship with the current normative evolutions about the digital product passport (DPP) that are considered in their potential of synergies with the TRICK outcomes, both as contributors to their definition as a best practice as well as potential clients of the future infrastructure. ",""
"PROV-N: The Provenance Notation","https://scispace.com/paper/prov-n-the-provenance-notation-4i6bpffvij","2013","","","Luc Moreau
Paolo Missier
James Cheney
Stian Soiland-Reyes","","https://scispace.com/pdf/prov-n-the-provenance-notation-4i6bpffvij.pdf","Provenance is information about entities, activities, and people involved in producing a piece of data or thing, which can be used to form assessments about its quality, reliability or trustworthiness. PROV-DM is the conceptual data model that forms a basis for the W3C provenance (PROV) family of specifications. PROV-DM distinguishes core structures, forming the essence of provenance information, from extended structures catering for more specific uses of provenance. PROV-DM is organized in six components, respectively dealing with: (1) entities and activities, and the time at which they were created, used, or ended; (2) derivations of entities from entities; (3) agents bearing responsibility for entities that were generated and activities that happened; (4) a notion of bundle, a mechanism to support provenance of provenance; and, (5) properties to link entities that refer to the same thing; (6) collections forming a logical structure for its members. To provide examples of the PROV data model, the PROV notation (PROV-N) is introduced: aimed at human consumption, PROV-N allows serializations of PROV instances to be created in a compact manner. PROV-N facilitates the mapping of the PROV data model to concrete syntax, and is used as the basis for a formal semantics of PROV. The purpose of this document is to define the PROV-N notation.","The purpose of this document is to define the PROV-N notation, which facilitates the mapping of the PROV data model to concrete syntax, and is used as the basis for a formal semantics of PROV."
"PROV-DM: The PROV Data Model","https://scispace.com/paper/prov-dm-the-prov-data-model-5greedzs90","2013","","","Khalid Belhajjame
Reza B'Far
James Cheney
Sam Coppens
Stephen Cresswell
Yolanda Gil
Paul Groth
Graham Klyne
Timothy Lebo
James P. McCusker
Simon Miles
James D. Myers
Satya S. Sahoo
Curt Tilmes","","","Provenance is information about entities, activities, and people involved in producing a piece of data or thing, which can be used to form assessments about its quality, reliability or trustworthiness. PROV-DM is the conceptual data model that forms a basis for the W3C provenance (PROV) family of specifications. PROV-DM distinguishes core structures, forming the essence of provenance information, from extended structures catering for more specific uses of provenance. PROV-DM is organized in six components, respectively dealing with: (1) entities and activities, and the time at which they were created, used, or ended; (2) derivations of entities from entities; (3) agents bearing responsibility for entities that were generated and activities that happened; (4) a notion of bundle, a mechanism to support provenance of provenance; (5) properties to link entities that refer to the same thing; and, (6) collections forming a logical structure for its members. This document introduces the provenance concepts found in PROV and defines PROV-DM types and relations. The PROV data model is domain-agnostic, but is equipped with extensibility points allowing domain-specific information to be included. Two further documents complete the specification of PROV-DM. First, a companion document specifies the set of constraints that provenance should follow. Second, a separate document describes a provenance notation for expressing instances of provenance for human consumption; this notation is used in examples in this document.","This document introduces the provenance concepts found in PROV and defines PROV-DM types and relations."
"PROV-XML: The PROV XML Schema","https://scispace.com/paper/prov-xml-the-prov-xml-schema-2zwasocm3n","2013","","","Hook Hua
Curt Tilmes
Stephan Zednik
Luc Moreau","","","Provenance is information about entities, activities, and people involved in producing a piece of data or thing, which can be used to form assessments about its quality, reliability or trustworthiness. PROV-DM is the conceptual data model that forms a basis for the W3C provenance (PROV) family of specifications. It defines a concepts for expressing provenance information enabling interchange. This document introduces an XML schema for the PROV data model (PROV-DM), allowing instances of the PROV data model to be serialized in XML.","This document introduces an XML schema for the PROV data model (PROV-DM), allowing instances of thePROV data model to be serialized in XML."
