"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"From Model to Mechanism: Enforcing Delegated Authority in SSI with Language-Based Security","https://scispace.com/paper/from-model-to-mechanism-enforcing-delegated-authority-in-ssi-2r01zx7o705g","2025","Journal Article","Mathematics","Muhamed Turkanović
Vid Keršič
Alen Horvat
Dominik Beron
Špela Čučko","10.3390/math13182971","","Delegation of authority remains a critical yet insufficiently addressed capability in Self-Sovereign Identity (SSI) systems. Building on an existing delegation model that introduced the concept of a Verifiable Mandate (VM) for expressing authority and access rights, this paper extends the approach with a rigorous formalization of delegation semantics, enabling unambiguous reasoning over roles, grants, and constraints. The formal model is aligned with standards from the World Wide Web Consortium (W3C), and its constructs are embedded into an extended credential schema that preserves compatibility with the Verifiable Credentials (VC) data model while introducing delegation-specific attributes. A generalized VM schema is defined, supporting both generic and business-specific instantiations, and ensuring structural and semantic interoperability. Policy compliance is operationalized through a policy-based enforcement architecture, where rules are authored in the Rego language and evaluated at runtime by the Open Policy Agent (OPA). The architecture incorporates trusted registries for schema and policy distribution, allowing verifiers to define and enforce context-specific delegation rules in a modular and interoperable manner. Validation through realistic scenarios, such as postal service and academic use cases, demonstrates how formal semantics, schema validation, and language-based policy enforcement can be combined to enable secure, verifiable, and context-aware delegation in SSI ecosystems. ","This paper extends a delegation model for Self-Sovereign Identity (SSI) systems with a formalized semantics, enabling unambiguous reasoning over roles, grants, and constraints, and operationalizes policy compliance through a policy-based enforcement architecture."
"Generalized Formal Model-Verifier: A Formal Approach for Verifying Static Models","https://scispace.com/paper/generalized-formal-model-verifier-a-formal-approach-for-29rnlk2sm5","2024","Journal Article","SN computer science","Norbert Somogyi
Gergely Mezei","10.1007/s42979-024-02808-2","","Abstract The field of software modeling has gained significant popularity in the last decades. By capturing the static aspects of the software requirements, model-driven engineering eases the development and maintenance of software. However, additional constraints, such as invariants on model elements, that the solution must conform to may be too complex to include in the structure of the model itself. External solutions are often used to describe static constraints on models, the most prevalent approach being the Object Constraint Language (OCL) and its formal variants. This paper proposes the Generalized Formal Model-Verifier (GFMV), which is a general approach for verifying static constraints on software models. GFMV employs different formal verification methods based on Kripke Structures. Kripke Structures are used to capture the static structure of the model, then the constraints are formalized using a first-order branching-time logic, the Computational Tree Logic (CTL). Finally, the NuSMV model checker is reused to verify whether the constraints formalized in CTL hold on the formal Kripke Structure. When compared to existing solutions, GFMV offers increased generality and formal proof that the constraints hold on the model. The expressive power and runtime-scalability of the approach are evaluated on a real-world example model and OCL invariants cited from literature. ","GFMV is a formal approach for verifying static constraints on software models using Kripke Structures and CTL logic. It offers increased generality and formal proof of constraints holding on the model compared to existing solutions."
"Checking e-service consistency using Description Logics","https://scispace.com/paper/checking-e-service-consistency-using-description-logics-1acqsmvcfv","2007","Proceedings Article","IEEE International Conference on Services Computing","Luigi Dragone
Riccardo Rosati","10.1109/SCC.2007.40","https://scispace.com/pdf/checking-e-service-consistency-using-description-logics-1acqsmvcfv.pdf","We propose a new framework for the analysis of functional properties of e-services supporting the development of cooperative information systems. The framework aims at extending and integrating different approaches providing both a rich domain specification and a suitable operational semantics of the e-service contract, on which we define functional consistency properties. It allows for specifying complex e-services based on the IOPE paradigm, in which the static properties of the modeled system are specified using a description logic knowledge base, as assumed in semantic Web applications. Moreover, it enforces a minimal- change semantics for the axiomatization of the update operator and also includes the ability to reason about update repairing w.r.t. the domain constraints, thus allowing for incomplete service specification. On this foundation, we formally devise several consistency and validity properties of services, providing decidable checking procedures.","A new framework for the analysis of functional properties of e-services supporting the development of cooperative information systems is proposed, which enforces a minimal- change semantics for the axiomatization of the update operator and also includes the ability to reason about update repairing w.r.t. the domain constraints."
"Dokumentverifikation mit Temporaler Beschreibungslogik","https://scispace.com/paper/dokumentverifikation-mit-temporaler-beschreibungslogik-xslm4ikyns","2009","","","Franz Weitl
Fakultät für Informatik und Mathematik","","","Es wird ein neues formales Framework fur die automatische Pru- fung inhaltlich-struktureller Vorgaben an Dokumente vorgestellt. Aus der Hard- /Softwareverifikation bekannte Model-Checking Verfahren werden mit Methoden zur Reprasentation von Ontologien kombiniert, um sowohl die Struktur des Dokuments als auch inhaltliche Zusammenhange bei der Prufung von Konsistenzkriterien beruck- sichtigen zu konnen. Als Spezifikationssprache fur Konsistenzkriterien wird die neue temporale Beschreibungslogik ALCCTL vorgeschlagen. Grundlegende Eigenschaften wie Entscheidbarkeit, Ausdruckskraft und Komplexitat werden untersucht. Die Ergeb- nisse ubertreffen bekannte Ansatze wie symbolisches Model-Checking in Performanz und Ausdruckskraft hinsichtlich der prufbaren Kriterien.","In this article, a new temporale Beschreibungslogik ALCCTL vorgeschlagen is presented, in which Grundlegende Eigenschaften wie Entscheidbarkeit, Ausdruckskraft, and Komplexitat werden untersucht."
"Distinction-based and verification-assisted knowledge modeling","https://scispace.com/paper/distinction-based-and-verification-assisted-knowledge-2trr4sc20l","2010","Proceedings Article","International Workshop on Requirements Engineering and Law","Philippe Michelin
Marc Frappier","10.1109/RELAW.2010.5625357","http://gaius.isri.cmu.edu/relaw/2010/slides/relaw10-michelin.pdf","This position paper presents a lightweight approach for knowledge modeling centered around the notion of distinction. Concept models are represented using UML class diagrams. Distinctions between concepts are established by using attributes and stating properties of the attributes using the @L-is calculus on words. This calculus relies on simple laws to manipulate relationships between words. We show how to represent these concept models in Alloy, a symbolic model checker for first-order logic, which allows one to verify the consistency and completeness of a concept model.","This position paper presents a lightweight approach for knowledge modeling centered around the notion of distinction, and shows how to represent these concept models in Alloy, a symbolic model checker for first-order logic, which allows one to verify the consistency and completeness of a concept model."
"OCL-Lite: Finite reasoning on UML/OCL conceptual schemas","https://scispace.com/paper/ocl-lite-finite-reasoning-on-uml-ocl-conceptual-schemas-23xsvo84ec","2012","Journal Article","Data and Knowledge Engineering","Anna Queralt
Alessandro Artale
Diego Calvanese
Ernest Teniente","10.1016/J.DATAK.2011.09.004","","To ensure the quality of an information system we must guarantee the correctness of the conceptual schema that represents the knowledge about its domain. The high expressivity of UML schemas annotated with textual OCL constraints enforces the need for automated reasoning techniques. These techniques should be both terminating and complete to be effectively used in practice. In this paper we identify an expressive fragment of the OCL language that ensures these properties. In this way, we overcome the limitations of current techniques when reasoning on such a fragment. As a consequence, we also have that Description Logics can be appropriately used to reason on UML conceptual schemas with arbitrary OCL constraints. We also show how current tools based on different approaches can be used to reason on conceptual schemas enriched with (a decidable fragment of) OCL constraints.","This paper identifies an expressive fragment of the OCL language that ensures that Description Logics can be appropriately used to reason on UML conceptual schemas with arbitrary OCL constraints and shows how current tools based on different approaches can be used to Reason on conceptual schema enriched with (a decidable fragment of) OCL constraint."
"Checking and reasoning about semantic Web through Alloy","https://scispace.com/paper/checking-and-reasoning-about-semantic-web-through-alloy-2e7emj2pi2","2003","Journal Article","Lecture Notes in Computer Science","Jin Song Dong
Jing Sun
Hai H. Wang","","","Semantic Web (SW), commonly regarded as the next generation of the Web, is an emerging vision of the new Web from the Knowledge Representation and the Web communities The Formal Methods community can also play an important role to contribute to SW development Reasoning and consistency checking can be useful at many stages during the design, maintenance and deployment of SW ontology However the existing reasoning and consistency checking tools for SW are primitive We believe that formal techniques and tools, such as Alloy, can provide automatic reasoning and consistency checking services for SW In this paper, we firstly construct semantic models for the SW language (DAML+OIL) in Alloy, and these models form the semantic domain for interpreting DAML+OIL in Alloy Then we develop the translation techniques and tools which can automatically map the SW ontology into the DAML+OIL semantic domain in Alloy Furthermore, with the assistance of Alloy Analyzer (AA) we demonstrate that the consistency of the SW ontology can be checked automatically and different kinds of reasoning tasks can be supported","This paper builds semantic models for the SW language (DAML+OIL) in Alloy and develops the translation techniques and tools which can automatically map the SW ontology into the DAML-OIL semantic domain in Alloy, and demonstrates that the consistency of theSW ontology can be checked automatically and different kinds of reasoning tasks can be supported."
"An Ontology-Based Approach to Validation of E-Services under Static and Dynamic Constraints","https://scispace.com/paper/an-ontology-based-approach-to-validation-of-e-services-under-2ubwkwfst3","2008","Book Chapter","","Luigi Dragone","10.1007/978-3-540-88871-0_13","","In this paper we present an enhanced approach to cope with consistency and validation issues arising in Service-Oriented Integration design using an expressive logic language. This approach goes beyond the traditional ones, which are focused on the simple consistency of a structural specification. Indeed, it is able to keep into account both static and dynamic constraints: while the former type applies to system states, the latter concerns the system state transitions.

The present solution is oriented towards the analysis of dynamic features as e-services of a system described using a rich ontology specification based on Description Logics. The aim of such a solution is to provide the architect, at the design phase, with adequate support tools to check both the consistency of static and dynamic artifacts. It relies on the IOPE (Input, Output, Preconditions, and Effects) paradigm to specify operation semantics, and on a decidable fragment of the First-Order Logic in order to provide a reasoning-based tool able to verify various semantic properties.","An enhanced approach to cope with consistency and validation issues arising in Service-Oriented Integration design using an expressive logic language that relies on the IOPE paradigm to specify operation semantics and on a decidable fragment of the First-Order Logic to provide a reasoning-based tool able to verify various semantic properties."
"SHACL2FOL: An FOL Toolkit for SHACL Decision Problems","https://scispace.com/paper/shacl2fol-an-fol-toolkit-for-shacl-decision-problems-1ilwdvxmp4","2024","Preprint","","Paolo Pareti","10.48550/arxiv.2406.08018","https://scispace.compdf/shacl2fol-an-fol-toolkit-for-shacl-decision-problems-1ilwdvxmp4.pdf","Recent studies on the Shapes Constraint Language (SHACL), a W3C specification for validating RDF graphs, rely on translating the language into first-order logic in order to provide formally-grounded solutions to the validation, containment and satisfiability decision problems. Continuing on this line of research, we introduce SHACL2FOL, the first automatic tool that (i) translates SHACL documents into FOL sentences and (ii) computes the answer to the two static analysis problems of satisfiability and containment; it also allow to test the validity of a graph with respect to a set of constraints. By integrating with existing theorem provers, such as E and Vampire, the tool computes the answer to the aforementioned decision problems and outputs the corresponding first-order logic theories in the standard TPTP format. We believe this tool can contribute to further theoretical studies of SHACL, by providing an automatic first-order logic interpretation of its semantics, while also benefiting SHACL practitioners, by supplying static analysis capabilities to help the creation and management of SHACL constraints. ","SHACL2FOL automatically translates SHACL documents into FOL sentences and computes satisfiability and containment decisions."
"A predicate calculus logic for the PKI trust model analysis","https://scispace.com/paper/a-predicate-calculus-logic-for-the-pki-trust-model-analysis-4szh0pfyna","2001","Proceedings Article","Network Computing and Applications","H. El Bakkali
B.I. Kaitouni","10.1109/NCA.2001.962557","","We propose a logic-based approach for reasoning about (public-key infrastructure) PKI trust models Our formalism uses the predicate calculus language to describe a PKI trust model with greater precision than the widely used graph It allows us to formalize the certificates and the statements about entities beliefs with regard to public key authenticity and certification authority's (CA's) trustworthiness In this formalism, we take into account the number of CAs that have participated in an entity belief, the trust level in a statement and the policies constraints By using this approach, we can verify the suitability of a model to applications with particular requirements","This formalism uses the predicate calculus language to describe a PKI trust model with greater precision than the widely used graph and takes into account the number of CAs that have participated in an entity belief, the trust level in a statement and the policies constraints."
