"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Credentials in the Occupation Ontology","https://scispace.com/paper/http://arxiv.org/abs/2405.00186v1","2024","Preprint","","John Beverley
Robin McGill
Sam Smith
Jie Zheng
Giacomo De Colle
Finn Wilson
Matthew Diller
William D. Duncan
William R. Hogan
Yongqun He","","https://arxiv.org/pdf/2405.00186v1","The term credential encompasses educational certificates, degrees, certifications, and government-issued licenses. An occupational credential is a verification of an individuals qualification or competence issued by a third party with relevant authority. Job seekers often leverage such credentials as evidence that desired qualifications are satisfied by their holders. Many U.S. education and workforce development organizations have recognized the importance of credentials for employment and the challenges of understanding the value of credentials. In this study, we identified and ontologically defined credential and credential-related terms at the textual and semantic levels based on the Occupation Ontology (OccO), a BFO-based ontology. Different credential types and their authorization logic are modeled. We additionally defined a high-level hierarchy of credential related terms and relations among many terms, which were initiated in concert with the Alabama Talent Triad (ATT) program, which aims to connect learners, earners, employers and education/training providers through credentials and skills. To our knowledge, our research provides for the first time systematic ontological modeling of the important domain of credentials and related contents, supporting enhanced credential data and knowledge integration in the future."
"Compact and Selective Disclosure for Verifiable Credentials","https://scispace.com/paper/http://arxiv.org/abs/2506.00262v2","2025","Preprint","","Alessandro Buldini
Carlo Mazzocca
Rebecca Montanari
Selcuk Uluagac","10.1109/ACSAC67867.2025.00042","https://arxiv.org/pdf/2506.00262v2","Self-Sovereign Identity (SSI) is a novel identity model that empowers individuals with full control over their data, enabling them to choose what information to disclose, with whom, and when. This paradigm is rapidly gaining traction worldwide, supported by numerous initiatives such as the European Digital Identity (EUDI) Regulation or Singapore's National Digital Identity (NDI). For instance, by 2026, the EUDI Regulation will enable all European citizens to seamlessly access services across Europe using Verifiable Credentials (VCs). A key feature of SSI is the ability to selectively disclose only specific claims within a credential, enhancing the privacy protection of the identity owner. This paper proposes a novel mechanism designed to achieve Compact and Selective Disclosure for VCs (CSD-JWT). Our method leverages a cryptographic accumulator to encode claims within a credential into a unique, compact representation. We implemented CSD-JWT as an open-source solution and extensively evaluated its performance under various conditions. CSD-JWT provides significant memory savings, lowering usage by up to 46% compared to the state-of-the-art. It also minimizes network overhead by producing remarkably smaller Verifiable Presentations (VPs), with size reduction from 27% to 93%. Such features make CSD-JWT especially well-suited for resource-constrained devices, including hardware wallets designed for managing credentials."
"Trust Me If You Can: Trusted Transformation Between (JSON) Schemas to Support Global Authentication of Education Credentials","https://scispace.com/paper/http://arxiv.org/abs/2106.12793v1","2021","Preprint","","Stefan More
Peter Grassberger
Felix Hörandner
Andreas Abraham
Lukas Daniel Klausner","10.1007/978-3-030-78120-0_2","https://arxiv.org/pdf/2106.12793v1","Recruiters and institutions around the world struggle with the verification of diplomas issued in a diverse and global education setting. Firstly, it is a nontrivial problem to identify bogus institutions selling education credentials. While institutions are often accredited by qualified authorities on a regional level, there is no global authority fulfilling this task. Secondly, many different data schemas are used to encode education credentials, which represents a considerable challenge to automated processing. Consequently, significant manual effort is required to verify credentials.
  In this paper, we tackle these challenges by introducing a decentralized and open system to automatically verify the legitimacy of issuers and interpret credentials in unknown schemas. We do so by enabling participants to publish transformation information, which enables verifiers to transform credentials into their preferred schema. Due to the lack of a global root of trust, we utilize a distributed ledger to build a decentralized web of trust, which verifiers can query to gather information on the trustworthiness of issuing institutions and to establish trust in transformation information. Going beyond diploma fraud, our system can be generalized to tackle the generalized problem for other domains lacking a root of trust and agreements on data schemas."
"Verifi-Chain: A Credentials Verifier using Blockchain and IPFS","https://scispace.com/paper/http://arxiv.org/abs/2307.05797v1","2023","Preprint","","Tasfia Rahman
Sumaiya Islam Mouno
Arunangshu Mojumder Raatul
Abul Kalam Al Azad
Nafees Mansoor","","https://arxiv.org/pdf/2307.05797v1","Submitting fake certificates is a common problem in Southeast Asia, which prevents qualified candidates from getting the jobs they deserve. When applying for a job, students must provide academic credentials as proof of their qualifications, acquired both inside and outside the classroom. Verifying academic documents before hiring is crucial to prevent fraud. Employing blockchain technology has the potential to address this issue. Blockchain provides an electronic certificate that is tamper-proof and non-repudiable, making it difficult for students to manipulate their academic credentials. This paper presents a prototype for an academic credential verification model that leverages the security features of blockchain and IPFS (Interplanetary File System). Certificates are temporarily stored in a database before being transferred to IPFS, where a unique hash code is generated using a hashing algorithm. This hash code serves as the certificate's unique identity and is stored in the blockchain nodes. Companies can verify an applicant's credentials by searching for the applicant and accessing their already verified certificates. Utilizing IPFS as a middleman storage platform lowers the expenses of directly storing massive data on the blockchain. To sum it up, the proposed solution would make the process of certificate verification more efficient, secure, and cost-effective. It would save time and resources that would otherwise be used to manually verify certificates."
"Providing Assurance and Scrutability on Shared Data and Machine Learning Models with Verifiable Credentials","https://scispace.com/paper/http://arxiv.org/abs/2105.06370v1","2021","Preprint","","Iain Barclay
Alun Preece
Ian Taylor
Swapna K. Radha
Jarek Nabrzyski","","https://arxiv.org/pdf/2105.06370v1","Adopting shared data resources requires scientists to place trust in the originators of the data. When shared data is later used in the development of artificial intelligence (AI) systems or machine learning (ML) models, the trust lineage extends to the users of the system, typically practitioners in fields such as healthcare and finance. Practitioners rely on AI developers to have used relevant, trustworthy data, but may have limited insight and recourse. This paper introduces a software architecture and implementation of a system based on design patterns from the field of self-sovereign identity. Scientists can issue signed credentials attesting to qualities of their data resources. Data contributions to ML models are recorded in a bill of materials (BOM), which is stored with the model as a verifiable credential. The BOM provides a traceable record of the supply chain for an AI system, which facilitates on-going scrutiny of the qualities of the contributing components. The verified BOM, and its linkage to certified data qualities, is used in the AI Scrutineer, a web-based tool designed to offer practitioners insight into ML model constituents and highlight any problems with adopted datasets, should they be found to have biased data or be otherwise discredited."
"CRSet: Private Non-Interactive Verifiable Credential Revocation","https://scispace.com/paper/http://arxiv.org/abs/2501.17089v3","2025","Preprint","","Felix Hoops
Jonas Gebele
Florian Matthes","","https://arxiv.org/pdf/2501.17089v3","Like any digital certificate, Verifiable Credentials (VCs) require a way to revoke them in case of an error or key compromise. Existing solutions for VC revocation, most prominently Bitstring Status List, are not viable for many use cases because they may leak the issuer's activity, which in turn leaks internal business metrics. For instance, staff fluctuation through the revocation of employee IDs. We identify the protection of issuer activity as a key gap and propose a formal definition for a corresponding characteristic of a revocation mechanism. Then, we introduce CRSet, a non-interactive mechanism that trades some space efficiency to reach these privacy characteristics. For that, we provide a proof sketch. Issuers periodically encode revocation data and publish it via Ethereum blob-carrying transactions, ensuring secure and private availability. Relying Parties (RPs) can download it to perform revocation checks locally. Sticking to a non-interactive design also makes adoption easier because it requires no changes to wallet agents and exchange protocols. We also implement and empirically evaluate CRSet, finding its real-world behavior to match expectations. One Ethereum blob fits revocation data for about 170k VCs."
"Non-Disclosing Credential On-chaining for Blockchain-based Decentralized Applications","https://scispace.com/paper/http://arxiv.org/abs/2209.09584v1","2022","Preprint","","Jonathan Heiss
Robert Muth
Frank Pallas
Stefan Tai","","https://arxiv.org/pdf/2209.09584v1","Many service systems rely on verifiable identity-related information of their users. Manipulation and unwanted exposure of this privacy-relevant information, however, must at the same time be prevented and avoided. Peer-to-peer blockchain-based decentralization with a smart contract-based execution model and verifiable off-chain computations leveraging zero-knowledge proofs promise to provide the basis for next-generation, non-disclosing credential management solutions. In this paper, we propose a novel credential on-chaining system that ensures blockchain-based transparency while preserving pseudonymity. We present a general model compliant to the W3C verifiable credential recommendation and demonstrate how it can be applied to solve existing problems that require computational identity-related attribute verification. Our zkSNARKs-based reference implementation and evaluation show that, compared to related approaches based on, e.g., CL-signatures, our approach provides significant performance advantages and more flexible proof mechanisms, underpinning our vision of increasingly decentralized, transparent, and trustworthy service systems."
"The Value of Non-Traditional Credentials in the Labor Market","https://scispace.com/paper/http://arxiv.org/abs/2405.00247v2","2024","Preprint","","Susan Athey
Emil Palikot","","https://arxiv.org/pdf/2405.00247v2","Workers without formal credentials experience substantially lower employment rates than their credentialed counterparts, but the extent to which information frictions contribute to these disparities remains unclear. We conducted a randomized experiment with over 800,000 online certificate earners from developing countries who lack college degrees, encouraging credential sharing on LinkedIn through reduced friction and reminders. We study credential visibility for the full sample and track employment outcomes for 40,000 learners. The intervention increased new employment by 6% (1.0 percentage point), with larger effects of 9% (1.2 percentage points) for jobs related to certificates. Treatment effects concentrate among learners with weak baseline employability: those in the bottom tercile experience employment gains of 12% while those in the top tercile see negligible effects. Those most responsive to the intervention benefit most from sharing, with a local average treatment effect of 11 percentage points for compliers. Counterfactual resume scoring shows that credentials improve perceived candidate quality by 8.5 points on average (on a scale from 1 to 100), with effects of 15-20 points for weak resumes but near-zero for strong resumes. Our findings demonstrate that information frictions substantially constrain employment for workers without traditional credentials, and that minimal-cost interventions targeting credential visibility can generate employment gains comparable to intensive training programs."
"Digital Product Passport Management with Decentralised Identifiers and Verifiable Credentials","https://scispace.com/paper/http://arxiv.org/abs/2410.15758v1","2024","Preprint","","Ismael Illán García
Francesc D. Muñoz-Escoí
Jordi Arjona Aroca
F. Javier Fernández-Bravo Peñuela","","https://arxiv.org/pdf/2410.15758v1","Digital product passports (DPP) have been proposed in the European Ecodesign for Sustainable Products Regulation (ESPR) as a means to keep and provide product information that facilitates product reusage, reparation, and recycling. Thus, DPPs should provide a positive effect on the environmental impact of future manufactured products, preventing waste and promoting a circular economy (CE) model. ESPR settles a set of requirements in collecting and administering product-related data. Decentralised identifiers (DID) and verifiable credentials (VC) are two self-sovereign-identity-related elements that may help in that DPP management since they introduce a decentralised administration of identity that may enhance the overall scalability of the resulting system, improving also its reliability. This paper analyses the ESPR requirements and describes how they may be achieved using DIDs and VCs, assessing their performance in some scenarios."
"Protocols for Checking Compromised Credentials","https://scispace.com/paper/http://arxiv.org/abs/1905.13737v3","2019","Preprint","","Lucy Li
Bijeeta Pal
Junade Ali
Nick Sullivan
Rahul Chatterjee
Thomas Ristenpart","","https://arxiv.org/pdf/1905.13737v3","To prevent credential stuffing attacks, industry best practice now proactively checks if user credentials are present in known data breaches. Recently, some web services, such as HaveIBeenPwned (HIBP) and Google Password Checkup (GPC), have started providing APIs to check for breached passwords. We refer to such services as compromised credential checking (C3) services. We give the first formal description of C3 services, detailing different settings and operational requirements, and we give relevant threat models.
  One key security requirement is the secrecy of a user's passwords that are being checked. Current widely deployed C3 services have the user share a small prefix of a hash computed over the user's password. We provide a framework for empirically analyzing the leakage of such protocols, showing that in some contexts knowing the hash prefixes leads to a 12x increase in the efficacy of remote guessing attacks. We propose two new protocols that provide stronger protection for users' passwords, implement them, and show experimentally that they remain practical to deploy."
"Remote Credential Management with Mutual Attestation for Trusted Execution Environments","https://scispace.com/paper/http://arxiv.org/abs/1804.10707v2","2018","Preprint","","Carlton Shepherd
Raja N. Akram
Konstantinos Markantonakis","","https://arxiv.org/pdf/1804.10707v2","Trusted Execution Environments (TEEs) are rapidly emerging as a root-of-trust for protecting sensitive applications and data using hardware-backed isolated worlds of execution. TEEs provide robust assurances regarding critical algorithm execution, tamper-resistant credential storage, and platform integrity using remote attestation. However, the challenge of remotely managing credentials between TEEs remains largely unaddressed in existing literature. In this work, we present novel protocols using mutual attestation for supporting four aspects of secure remote credential management with TEEs: backups, updates, migration, and revocation. The proposed protocols are agnostic to the underlying TEE implementation and subjected to formal verification using Scyther, which found no attacks."
