"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Engineering Ecosystems of Systems: UML Profile, Credential Design, and Risk-balanced Cellular Access Control","https://scispace.com/paper/ITNpYZxoD6UJ","","","","D Bissessar","","https://ruor.uottawa.ca/bitstreams/9dabc12b-0f8e-4559-b83c-9499a4fb92aa/download","… This thesis proposes an Ecosystem perspective for the engineering of SoS and CPS and … including the Ecosystems of System Unified Language Modeling (EoS-UML) profile, a set of …",""
"Design Space Exploration of Verifiable Credential Schemas using Partial Graph Modeling","https://scispace.com/paper/d8jZnNm0j3YJ","","","","M Farkas
BZ Péter
I Kocsis","","https://www.inf.u-szeged.hu/~cscs/cscs2024/pdf/cscs2024.pdf#page=36","… designing verifiable credential ecosystems from information graphs. We presented our approach for generating diverse data presentation requirement sets in the verifiable credential …",""
"A FORMAL ARCHITECTURE FOR PRIVACY-PRESERVING CREDENTIAL VERIFICATION USING BLOCKCHAIN AND ZERO-KNOWLEDGE PROOFS","https://scispace.com/paper/a-formal-architecture-for-privacy-preserving-credential-fjhggf6nrn2u","2025","Journal Article","International Journal of Apllied Mathematics","Kadhim Abdulfadhil Gatea","10.12732/ijam.v38i7s.654","https://ijamjournal.org/ijam/publication/index.php/ijam/article/download/654/603","… Section 3 delineates our system design methodology. … schemas conforming to W3C Verifiable Credential standards, … and correct credential interpretation across the ecosystem. …","This paper addresses the challenge of designing secure and private digital credentialing systems by leveraging advanced mathematical primitives from applied cryptography. The core of our proposed solution is the application of Zero-Knowledge Proofs (ZKPs), a class of cryptographic protocols that allows for the verification of assertions without disclosing the underlying secret data. We introduce a formal, layered architecture that demonstrates how the mathematical properties of ZKPs can be systematically translated into a robust, large-scale information system. The framework's design is validated against the complex requirements of the academic domain, which serves as a rigorous testbed for our architectural approach. The primary contribution is a blueprint for integrating complex cryptographic protocols into practical system design, demonstrating how mathematical guarantees of privacy can be preserved in a distributed and verifiable manner. This work provides a novel contribution at the intersection of applied cryptography, system architecture, and information security. "
"'Towards queryable verifiable credentials","https://scispace.com/paper/v93QfSsCrjoJ","","","","G De Mulder
R Dedecker
B De Meester","","https://ceur-ws.org/Vol-4085/paper81.pdf","… schema alignment, facilitating alignment of credentials over multiple languages and ecosystems. … on JSON-based Verifiable Credential libraries to create the Verifiable Presentation (ie, …",""
"Distributed Ledger Credential Verification System Based on Design Thinking Approach","https://scispace.com/paper/distributed-ledger-credential-verification-system-based-on-5k43fvhdnv8h","2024","Journal Article","","K. Revathi
S Priyadharshini
Rahul Rathore
K. Guru
Anantha Varshini J
V. P. Sriram","10.1109/icoeca62351.2024.00055","","… It endeavors to create a robust, decentralized, and secure ecosystem for validating academic records, … storage layer, ensuring the immutability and accessibility of verified credentials. …","This research study introduces a blockchain-driven solution to revolutionize college credential verification. Addressing the inefficiencies and vulnerabilities of traditional verification methods, the proposed system utilizes blockchain's immutable ledger, smart contracts, and machine learning automation to ensure secure, transparent, and decentralized verification. Results demonstrate its efficacy in fraud prevention, streamlining processes, and providing a reliable, auditable verification platform. This research signifies a transformative shift towards a trustworthy, user-centric credential verification process with implications for students, institutions, and employers seeking streamlined, secure verification of academic records."
"A survey on decentralized identifiers and verifiable credentials","https://scispace.com/paper/a-survey-on-decentralized-identifiers-and-verifiable-3a25dj4phs","2024","Journal Article","arXiv.org","Carlo Mazzocca
Abbas Acar
Selcuk Uluagac
Rebecca Montanari
Paolo Bellavista
Mauro Conti","10.48550/arxiv.2402.02455","https://arxiv.org/pdf/2402.02455","… using any language and … verifiable data ecosystem. The Veramo Agent is responsible for creating identifiers, resolving identifiers, credential issuance, credential revocation, credential …","Digital identity has always been considered the keystone for implementing secure and trustworthy communications among parties. The ever-evolving digital landscape has gone through many technological transformations that have also affected the way entities are digitally identified. During this digital evolution, identity management has shifted from centralized to decentralized approaches. The last era of this journey is represented by the emerging Self-Sovereign Identity (SSI), which gives users full control over their data. SSI leverages decentralized identifiers (DIDs) and verifiable credentials (VCs), which have been recently standardized by the World Wide Web Community (W3C). These technologies have the potential to build more secure and decentralized digital identity systems, remarkably contributing to strengthening the security of communications that typically involve many distributed participants. It is worth noting that the scope of DIDs and VCs extends beyond individuals, encompassing a broad range of entities including cloud, edge, and Internet of Things (IoT) resources. However, due to their novelty, existing literature lacks a comprehensive survey on how DIDs and VCs have been employed in different application domains, which go beyond SSI systems. This paper provides readers with a comprehensive overview of such technologies from different perspectives. Specifically, we first provide the background on DIDs and VCs. Then, we analyze available implementations and offer an in-depth review of how these technologies have been employed across different use-case scenarios. Furthermore, we examine recent regulations and initiatives that have been emerging worldwide. Finally, we present some challenges that hinder their adoption in real-world scenarios and future research directions."
"interID--An Ecosystem-agnostic Verifier-as-a-Service with OpenID Connect Bridge","https://scispace.com/paper/LAp2SN_BuuoJ","","","","H Yildiz
A Küpper","","https://arxiv.org/pdf/2602.14871","… cryptographically verified credential attributes … languages for policy configuration, but available details do not specify PKCE support, multi-tenancy design, or comprehensive ecosystem …",""
"OpenID for Verifiable Credentials: formal security analysis using the Web Infrastructure Model","https://scispace.com/paper/2jzrt7Lh01oJ","","","","F Hauck","","https://elib.uni-stuttgart.de/server/api/core/bitstreams/e4d5fd35-a2df-48d8-9be3-ec42b2c68572/content","… protocols when they interact in an ecosystem. It is not sufficient … Vanessa for her help in correcting the language and grammar. … The verifiable credential is issued in a wallet that securely …",""
"Proposal of Standardization of a Blockchain-Based Interoperability Platform for Academic Credentials","https://scispace.com/paper/fsF7tKHo0jsJ","","","","L Anido-Rifón","","https://blockstand.eu/blockstand/uploads/2025/05/Anido-Blockstand-report2-v1.pdf","… credential management by providing a secure, verifiable and … Ethereum development tools and languages, making it easier … accessible ecosystem for academic credential verification. …",""
"Verifiable credentials","https://scispace.com/paper/C0E9s36fuD4J","","","","DW Chadwick
DC Burnett","","","… items in the JavaScript programming language. This subsection … properties from the VerifiableCredential schema at https://… VC ecosystem, such as figure 7.1, often show a verifiable …",""
"Matching Expectations in Ensembles: Connecting Verifiable Credentials and the Semantic Web","https://scispace.com/paper/matching-expectations-in-ensembles-connecting-verifiable-1868w0son3jc","","Journal Article","","Jan Sürmeli
Sergen Yilmaz","10.1007/978-3-031-75107-3_10","","… uses the ontology language OWL 2 Web Ontology Language [… credential schemas define the structure of the credential. … and flexibility of a decentralized identity ecosystem. That is, a …",""
"A semantic framework for defining and assessing e-identity management ecosystems based on self-sovereign identity principles","https://scispace.com/paper/_NtNvYA7NqoJ","","","","C Lepore","","https://theses.hal.science/tel-05554605/file/2025TLSES209.pdf","… However, the W3C Verifiable Credential Data Model 2.0 later … Objective: Develop a minimal, formal model that captures the … While the approach is designed to be extensible, the …",""
