"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Analysis and Enhancement of Self-Sovereign Identity System Properties Compiling Standards and Regulations (Full Version)","https://scispace.com/paper/analysis-and-enhancement-of-self-sovereign-identity-system-ba8gy7uc13sq","2021","Repository","","Pattiyanon, Charnon
Aoki Toshiaki","10.5281/zenodo.5602688","","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Compares eIDAS, W3C VCDM, and Hyperledger AnonCreds standards, highlighting governance tensions and policy impacts; lacks formal modeling or a prototype, and offers only tentative mitigation ideas.","A full version of a conference paper entitled ""Analysis and Enhancement of Self-Sovereign Identity System Properties Compiling Standards and Regulations"" published in the proceedings of the 2022 8th International Conference of Information Systems Security and Privacy (ICISSP 2022). "
"Blockchain, Self-Sovereign Identity and Digital Credentials: Promise Versus Praxis in Education","https://scispace.com/paper/blockchain-self-sovereign-identity-and-digital-credentials-6wtlx6k9ne","2021","Journal Article","","Alex Grech
Ira Sood
Lluís Ariño","10.3389/FBLOC.2021.616779","https://scispace.com/pdf/blockchain-self-sovereign-identity-and-digital-credentials-6wtlx6k9ne.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Discusses eIDAS, W3C-VC-EDU, Hyperledger standards and governance dimensions, but lacks formal modeling, conflict analysis, or implementation details.","Blockchain’s versatility is primarily due to its immutable and almost indestructible nature. These attributes have caught the attention of researchers and developers interested in applications and environments where the need for the integrity of identity and content are as paramount as the safe delivery and record of transactions. Self-sovereign digital identity in particular is often cited as a human right that nation states need to embrace with as much conviction as education and lifelong learning are considered to be a public good. Although the blockchain has long been identified as an opportunity for driving much-needed change in the core processes of the education sector, use cases to date have been limited in scope and execution, with blockchain advocates and education policy makers seemingly disconnected on fundamental issues such as governance, self-sovereignty, interoperability, choice of blockchain platforms and overall trust in standards and the integrity of the infrastructure. This article is primarily interested in the affordances of the technology as a public good for the education sector. It levers on the lead author’s perspective as a mediator between the blockchain and education sectors in Europe on high-profile blockchain in education projects to provide a snapshot of the challenges and workable solutions in the blockchain-enabled, European digital credentials sector."
"Know Your Contract: Extending eIDAS Trust into Public Blockchains","https://scispace.com/paper/http://arxiv.org/abs/2601.13903v1","2026","Preprint","","Awid Vaziry
Christoph Wronka
Sandro Rodriguez Garzon
Axel Küpper","","https://arxiv.org/pdf/2601.13903v1","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses eIDAS seals to bind contracts, enabling regulatory‑compliant DeFi; no formal modeling or conflict analysis; offers a practical architecture and discusses EU policy impacts.","Public blockchains lack native mechanisms to attribute on-chain actions to legally accountable entities, creating a fundamental barrier to institutional adoption and regulatory compliance. This paper presents an architecture that extends the European Union eIDAS trust framework into public blockchain ecosystems by cryptographically binding smart contracts to qualified electronic seals issued by Qualified Trust Service Providers. The mechanism establishes a verifiable chain of trust from the European Commission List of Trusted Lists to individual on-chain addresses, enabling machine-verifiable proofs for automated regulatory validation, such as Know Your Contract, Counterparty, and Business checks, without introducing new trusted intermediaries. Regulatory requirements arising from eIDAS, MiCA, PSD2, PSR, and the proposed European Business Wallet are analyzed, and a cryptographic suite meeting both eIDAS implementing regulations and EVM execution constraints following the Ethereum Fusaka upgrade is identified, namely ECDSA with P-256 and CAdES formatting. Two complementary trust validation models are presented: an off-chain workflow for agent-to-agent payment protocols and a fully on-chain workflow enabling regulatory-compliant DeFi operations between legal entities. The on-chain model converts regulatory compliance from a per-counterparty administrative burden into an automated, standardized process, enabling mutual validation at first interaction without prior business relationships. As eIDAS wallets become mandatory across EU member states, the proposed architecture provides a pathway for integrating European digital trust infrastructure into blockchain-based systems, enabling institutional DeFi participation, real-world asset tokenization, and agentic commerce within a trusted, regulatory-compliant framework."
"The eIDAS Regulation: A Survey of Technological Trends for European Electronic Identity Schemes","https://scispace.com/paper/the-eidas-regulation-a-survey-of-technological-trends-for-2unqc175","2022","Journal Article","Applied Sciences","Amir Sharif
Matteo Ranzi
Roberto Carbone
Giada Sciarretta
Francesco Antonio Marino
Silvio Ranise","10.3390/app122412679","https://scispace.com/pdf/the-eidas-regulation-a-survey-of-technological-trends-for-2unqc175.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses survey of eIDAS 2.0 trends; no formal modeling or conflict analysis; discusses regulatory impacts and lessons learned; mentions mitigation ideas like zero‑knowledge proofs but lacks concrete formal strategies or prototypes.","The eIDAS regulation aims to provide an interoperable European framework to enable EU citizens to authenticate and communicate with services of other Member States by using their national electronic identity. While a number of high-level requirements (e.g., related to privacy and security) are established to make interoperability among Member States possible, the eIDAS regulation does not explicitly specify the technologies that can be adopted during the development phase to meet the requirements as mentioned earlier. To the best of our knowledge, there is no work available in the literature investigating the technological trends within the notified eIDAS electronic identity schemes used by Member States. To fill this gap, this paper analyzes how the different technological trends of notified schemes satisfy the requirements of the eIDAS regulation. To do this, we define a set of research questions that allow us to investigate the correlations between different design dimensions such as security, privacy, and usability. Based on these findings, we provide a set of lessons learned that would be valuable to the security community, as they can provide useful insights on how to more efficiently protect interoperable national digital identities. Furthermore, we provide a brief overview regarding the new eIDAS regulation (eIDAS 2.0) that aims to provide a more privacy-preserving electronic identity solution by moving from a centralized approach to a decentralized one."
"Comparative Analysis of Technical and Legal Frameworks of Various National Digial Identity Solutions","https://scispace.com/paper/comparative-analysis-of-technical-and-legal-frameworks-of-30ly8lce66","2023","Journal Article","arXiv.org","Montassar Naghmouchi
M. Laurent-Maknavicius
Claire Levallois-Barth
Nesrine Kaaniche","10.48550/arxiv.2310.01006","https://scispace.compdf/comparative-analysis-of-technical-and-legal-frameworks-of-30ly8lce66.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides extensive policy analysis and recommendations for national digital identity governance, but lacks formal modeling, conflict resolution, specific framework comparison, mitigation mechanisms, or implementation artifacts.","National digital identity systems have become a key requirement for easy access to online public services, specially during Covid-19. While many countries have adopted a national digital identity system, many are still in the process of establishing one. Through a comparative analysis of the technological and legal dimensions of a few selected national digital identity solutions currently being used in different countries, we highlight the diversity of technologies and architectures and the key role of the legal framework of a given digital identity solution. We also present several key issues related to the implementation of these solutions, how to ensure the State sovereignty over them, and how to strike the right balance between private sector and public sector needs. This position paper aims to help policy makers, software developers and concerned users understand the challenges of designing, implementing and using a national digital identity management system and establishing a legal framework for digital identity management, including personal data protection measures. The authors of this paper have a favorable position for self-sovereign identity management systems that are based on Blockchain technology, and we believe they are the most suitable for national digital identity systems."
"An interoperable access control system based on self-sovereign identities","https://scispace.com/paper/an-interoperable-access-control-system-based-on-self-jwoq54weixpu","2022","Repository","","V Papanchev","10.5445/ir/1000150884","https://scholar.archive.org/work/ngu45gyp6rh3fczgziyxe3jllu/access/wayback/https://publikationen.bibliothek.kit.edu/1000150884/149344800","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Implements a SSI access‑control prototype with performance data; lacks formal modeling of governance, does not address framework conflicts or policy analysis.","The extreme growth of the World Wide Web in the last decade together with recent scandals related to theft or abusive use of personal information have left users unsatisfied withtheir digital identity providers and concerned about their online privacy. Self-SovereignIdentity (SSI) is a new identity management paradigm which gives back control over personal information to its rightful owner - the individual. However, adoption of SSI on theWeb is complicated by the high overhead costs for the service providers due to the lackinginteroperability of the various emerging SSI solutions. In this work, we propose an AccessControl System based on Self-Sovereign Identities with a semantically modelled AccessControl Logic. Our system relies on the Web Access Control authorization rules usedin the Solid project and extends them to additionally express requirements on VerifiableCredentials, i.e., digital credentials adhering to a standardized data model. Moreover,the system achieves interoperability across multiple DID Methods and types of VerifiableCredentials allowing for incremental extensibility of the supported SSI technologies bydesign. A Proof-of-Concept prototype is implemented and its performance as well as multiple system design choices are evaluated: The End-to-End latency of the authorizationprocess takes between 2-5 seconds depending on the used DID Methods and can theoretically be further optimized to 1.5-3 seconds. Evaluating the potential interoperabilityachieved by the system shows that multiple DID Methods and different types of VerifiableCredentials can be supported. Lastly, multiple approaches for modelling required Verifiable Credentials are compared and the suitability of the SHACL language for describingthe RDF graphs represented by the required Linked Data credentials is shown. "
"Self-Sovereign Identity and eIDAS 2.0: An Analysis of Control, Privacy, and Legal Implications","https://scispace.com/paper/3_7_IhqmxgEJ","","","","N Sitouah
M Esposito
F Bruschi","","https://arxiv.org/pdf/2601.19837","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses normative analysis to compare SSI and eIDAS 2.0, identifies compatibility issues, suggests legal/policy mitigations, but lacks formal modeling, broader framework comparison, or implementation.",""
"Self-sovereign-identity & eIDAS: a contradiction? Challenges and chances of eIDAS 2.0","https://scispace.com/paper/6MinCVJPv-QJ","","","","S Schwalm
I Alamillo-Domingo","","https://www.researchgate.net/profile/Steffen-Schwalm/publication/361902742_Self-Sovereign-Identity_eIDAS_a_Contradiction_Challenges_and_Chances_of_eIDAS_20/links/62cbd0a3cab7ba7426e4ae04/Self-Sovereign-Identity-eIDAS-a-Contradiction-Challenges-and-Chances-of-eIDAS-20.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Analyzes SSI vs. eIDAS contradictions, offers policy‑level insights and mitigation ideas, but lacks formal modeling, multi‑framework comparison, and implementation artifacts.",""
"Wallet wars or digital public infrastructure? Orchestrating a digital identity data ecosystem from a government perspective","https://scispace.com/paper/wallet-wars-or-digital-public-infrastructure-orchestrating-a-3xq21ojui5ur","2024","Journal Article","Electronic Markets","Konrad Degen
Timm Teubner","10.1007/s12525-024-00731-1","","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses qualitative document analysis and interviews to propose government orchestration models; offers policy implications; suggests mitigation approaches but lacks formal methods, multi‑framework comparison, or prototype.","Abstract With the eIDAS 2.0 legislation, the European Union seeks to establish a digital identity data ecosystem and to empower citizens to manage digital credentials from various sources through an ID wallet interface. To achieve this, governments must develop holistic orchestration models integrating technical, regulatory, and economic perspectives. This approach will foster ecosystem value creation, address orchestration tensions, and design sustainable operating models for various ecosystem actors. While IS research has explored private-sector governance mechanisms in platform and data ecosystems, a research gap exists in understanding public–private orchestration where governments act as orchestrators. We address this through a structured document analysis of 80 position papers from various stakeholders participating in a public government consultation process and 14 semi-structured in-depth interviews. By examining ecosystem value creation mechanisms, orchestration tensions, and monetization challenges, we identify two government orchestration standard types for the ID wallet provision. The Government ID-Infrastructure Wallet model embodies an ecosystem-integrated public infrastructure, while the Trust ID Wallet Federation exemplifies a dynamic and competition-driven approach. By bridging the self-sovereign identity ecosystem paradigm with digital identity infrastructure research, our work contributes to the understanding and theoretical development of data ecosystems and digital identity research from a government perspective. "
"A Systematisation of Knowledge: Connecting European Digital Identities with Web3","https://scispace.com/paper/a-systematisation-of-knowledge-connecting-european-digital-7gkq6ypspbrr","2024","Journal Article","","Ben Biedermann
Matthew Scerri
V.P. Kozlova
Joshua Ellul","10.1109/blockchain62396.2024.00089","https://scispace.compdf/a-systematisation-of-knowledge-connecting-european-digital-7gkq6ypspbrr.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Analyzes eIDAS‑Web3 interoperability, highlights regulatory gaps, but lacks formal modeling or multiple framework comparison; offers integration ideas and policy discussion.","The terms self-sovereign identity (SSI) and decentralised identity are often used interchangeably, which results in increasing ambiguity when solutions are being investigated and compared.This article aims to provide a clear distinction between the two concepts in relation to the revised Regulation as Regards establishing the European Digital Identity Framework (eIDAS 2.0) by providing a systematisation of knowledge of technological developments that led up to implementation of eIDAS 2.0.Applying an inductive exploratory approach, relevant literature was selected iteratively in waves over a nine months time frame and covers literature between 2005 and 2024.The review found that the decentralised identity sector emerged adjacent to the OpenID Connect (OIDC) paradigm of Open Authentication, whereas SSI denotes the sector's shift towards blockchain-based solutions.In this study, it is shown that the interchangeable use of SSI and decentralised identity coincides with novel protocols over OIDC.While the first part of this paper distinguishes OIDC from decentralised identity, the second part addresses the incompatibility between OIDC under eIDAS 2.0 and Web3.The paper closes by suggesting further research for establishing a digital identity bridge for connecting applications on public-permissionless ledgers with data originating from eIDAS 2.0 and being presented using OIDC. "
