"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A Tutorial on the Interoperability of Self-sovereign Identities","https://scispace.com/paper/a-tutorial-on-the-interoperability-of-self-sovereign-2rvzpqbo","2022","Journal Article","arXiv.org","Hakan Yildiz
Axel Küpper
Dirk Thatmann
Sebastian Göndör
Patrick Herbke","10.48550/arXiv.2208.04692","","—Self-sovereign identity is the latest digital identity paradigm that allows users, organizations, and things to manage identity in a decentralized fashion without any central authority controlling the process of issuing identities and verifying asser-tions. Following this paradigm, implementations have emerged in recent years, with some having different underlying technologies. These technological differences often create interoperabil- ity problems between software that interact with each other from different implementations. Although a common problem, there is no common understanding of self-sovereign identity interoperability. In the context of this tutorial, we create a deﬁnition of interoperability of self-sovereign identities to enable a common understanding. Moreover, due to the decentralized nature, interoperability of self-sovereign identities depends on multiple components, such as ones responsible for establishing trust or enabling secure communication between entities without centralized authorities. To understand those components and their dependencies, we also present a reference model that maps the required components and considerations that build up a self- sovereign identity implementation. The reference model helps address the question of how to achieve interoperability between different implementations.","This tutorial creates aition of interoperability of self-sovereign identities to enable a common understanding and presents a reference model that maps the required components and considerations that build up a self- sovereign identity implementation."
"A Tutorial on the Interoperability of Self-sovereign Identities","https://scispace.com/paper/a-tutorial-on-the-interoperability-of-self-sovereign-b89pozp1","2022","Posted Content","","","10.48550/arxiv.2208.04692","https://scispace.com/pdf/a-tutorial-on-the-interoperability-of-self-sovereign-b89pozp1.pdf","Self-sovereign identity is the latest digital identity paradigm that allows users, organizations, and things to manage identity in a decentralized fashion without any central authority controlling the process of issuing identities and verifying assertions. Following this paradigm, implementations have emerged in recent years, with some having different underlying technologies. These technological differences often create interoperability problems between software that interact with each other from different implementations. Although a common problem, there is no common understanding of self-sovereign identity interoperability. In the context of this tutorial, we create a definition of interoperability of self-sovereign identities to enable a common understanding. Moreover, due to the decentralized nature, interoperability of self-sovereign identities depends on multiple components, such as ones responsible for establishing trust or enabling secure communication between entities without centralized authorities. To understand those components and their dependencies, we also present a reference model that maps the required components and considerations that build up a self-sovereign identity implementation. The reference model helps address the question of how to achieve interoperability between different implementations. ","In this paper , the authors present a reference model that maps the required components and considerations that build up a self-sovereign identity implementation and address the question of how to achieve interoperability between different implementations."
"A Tutorial on the Interoperability of Self-sovereign Identities","https://scispace.com/paper/a-tutorial-on-the-interoperability-of-self-sovereign-2nx3viay","2022","Posted Content","","","10.36227/techrxiv.20430825","","&lt;p&gt;Self-sovereign identity is the latest digital identity paradigm that allows users, organizations, and things to manage identity in a decentralized fashion without any central authority controlling the process of issuing identities and verifying assertions. Following this paradigm, implementations have emerged in recent years, with some having different underlying technologies. These technological differences often create interoperability problems between software that interact with each other from different implementations. Although a common problem, there is no common understanding of self-sovereign identity interoperability. In the context of this tutorial, we create a definition of interoperability of self-sovereign identities to enable a common understanding. Moreover, due to the decentralized nature, interoperability of self-sovereign identities depends on multiple components, such as ones responsible for establishing trust or enabling secure communication between entities without centralized authorities. To understand those components and their dependencies, we also present a reference model that maps the required components and considerations that build up a self-sovereign identity implementation. The reference model helps address the question of how to achieve interoperability between different implementations. &lt;/p&gt; ","In this paper , the authors present a reference model that maps the required components and considerations that build up a self-sovereign identity implementation and address the question of how to achieve interoperability between different implementations."
"A Tutorial on the Interoperability of Self-sovereign Identities","https://scispace.com/paper/a-tutorial-on-the-interoperability-of-self-sovereign-2ween1a9","2022","Posted Content","","","10.36227/techrxiv.20430825.v1","","&lt;p&gt;Self-sovereign identity is the latest digital identity paradigm that allows users, organizations, and things to manage identity in a decentralized fashion without any central authority controlling the process of issuing identities and verifying assertions. Following this paradigm, implementations have emerged in recent years, with some having different underlying technologies. These technological differences often create interoperability problems between software that interact with each other from different implementations. Although a common problem, there is no common understanding of self-sovereign identity interoperability. In the context of this tutorial, we create a definition of interoperability of self-sovereign identities to enable a common understanding. Moreover, due to the decentralized nature, interoperability of self-sovereign identities depends on multiple components, such as ones responsible for establishing trust or enabling secure communication between entities without centralized authorities. To understand those components and their dependencies, we also present a reference model that maps the required components and considerations that build up a self-sovereign identity implementation. The reference model helps address the question of how to achieve interoperability between different implementations. &lt;/p&gt; ","In this paper , the authors present a reference model that maps the required components and considerations that build up a self-sovereign identity implementation and address the question of how to achieve interoperability between different implementations."
"Identification and Trust Techniques Compatible with eIDAS Regulation","https://scispace.com/paper/identification-and-trust-techniques-compatible-with-eidas-42ta4y91w8","2019","Book Chapter","","Stefan Mocanu
Ana Maria Chiriac
Cosmin Popa
Radu Dobrescu
Daniela Saru","10.1007/978-3-030-21373-2_55","","This study presents the current situation (starting with January 2015) related to EU Regulation eIDAS. eIDAS represents the latest EU initiative to build a common framework for electronic identification and trust services. It was the intention of European Council to elaborate and impose a minimal legislation which should guarantee compatibility and interoperability of national identification and trust systems while still allowing the existence of local legal flavors. It is expected that eIDAS will offer safer interactions between various entities (such as private enterprises, public enterprises, citizens, administration) thus contributing to the growth of European market and the improvement of cross-border transactions. Exposure of the current state is combined with suggestions and discussions about improvements to the former eID resulting from the new regulation. A section on the implementation of interoperability framework in some member states gives a first insight into the work which will be required in the next few years for completing the implementation. This paper presents a thorough review of the main identification and trust techniques in eIDAS and the differences to previous or more local similar frameworks.","A thorough review of the main identification and trust techniques in eIDAS and the differences to previous or more local similar frameworks is presented."
"Towards Interoperable Self-sovereign Identities","https://scispace.com/paper/towards-interoperable-self-sovereign-identities-4r0qxjdqv9","","Journal Article","IEEE Access","Hakan Yildiz
Axel Küpper
Dirk Thatmann
Sebastian Göndör
Patrick Herbke","10.1109/access.2023.3313723","","Self-sovereign identity is a digital identity paradigm that allows users and organizations to manage digital identity in a decentralized fashion without any central authority controlling the process of issuing identities and verifying assertions. Following this paradigm, implementations have emerged in recent years, with some having different underlying technologies. These several technological differences often create interoperability problems between software that interact with each other from different implementations. Although a common problem, there is no common understanding of interoperability in the context of self-sovereign identities. In this tutorial paper, we propose a definition of interoperability of self-sovereign identities to enable a shared understanding. Moreover, due to the decentralized nature, interoperability of self-sovereign identities depends on multiple components, such as ones responsible for establishing a cryptographic trust or enabling secure communication between entities without centralized authorities. To understand those components and their dependencies, we also present a reference model that maps the required components and considerations that build up a self-sovereign identity implementation. The reference model enables addressing how to achieve interoperability between different implementations.","This tutorial paper proposes a definition of interoperability of self-sovereign identities to enable a shared understanding of how to achieve interoperability between different implementations and presents a reference model that maps the required components and considerations that build up a self- sovereign identity implementation."
"Global convergence in digital identity and attribute management: Emerging needs for standardization","https://scispace.com/paper/global-convergence-in-digital-identity-and-attribute-289osrc9r8","2014","Proceedings Article","","Maurizio Talamo
Maria Laura Barchiesi
Daniela Merella
Christian H. Schunck","10.1109/KALEIDOSCOPE.2014.6858475","https://scispace.com/pdf/global-convergence-in-digital-identity-and-attribute-289osrc9r8.pdf","In a converging world, where borders between countries are surpassed in the digital environment, it is necessary to develop systems that effectively replace the recognition “vis-a-vis” with digital means of recognizing and identifying entities and people. In this work we summarize the current standardization efforts in the area of digital identity management. We identify a number of open challenges that need to be addressed in the near future to ensure the interoperability and usability of digital identity management services in an efficient and privacy maintaining international framework. These challenges for standardization include: the management of identifiers for digital identities at the global level; attribute management including attribute format, structure, and assurance; procedures and protocols to link attributes to digital identities. Attention is drawn to key elements that should be considered in addressing these issues through standardization.","A number of open challenges that need to be addressed in the near future to ensure the interoperability and usability of digital identity management services in an efficient and privacy maintaining international framework are identified."
"SoK: A Taxonomy for Distributed-Ledger-Based Identity Management","https://scispace.com/paper/sok-a-taxonomy-for-distributed-ledger-based-identity-5p7muruxmww9","2025","Journal Article","","Garzon, Sandro Rodriguez
Herbke, Patrick
Kupper Axel","10.48550/arxiv.2505.05100","","The intersection of blockchain (distributed ledger) and identity management lacks a comprehensive framework for classifying distributed-ledger-based identity solutions. This paper introduces a methodologically developed taxonomy derived from the analysis of 390 scientific papers and expert discussions. The resulting framework consists of 22 dimensions with 113 characteristics, organized into three groups: trust anchor implementations, identity architectures (identifiers and credentials), and ledger specifications. This taxonomy facilitates the systematic analysis, comparison, and design of distributed-ledger-based identity solutions, as demonstrated through its application to two distinct architectures. As the first methodology-driven taxonomy in this field, this work advances standardization and enhances understanding of distributed-ledger-based identity architectures. It provides researchers and practitioners with a structured framework for evaluating design decisions and implementation approaches. ",""
"Solving Identity Management and Interoperability Problems at Pan-European Level","https://scispace.com/paper/solving-identity-management-and-interoperability-problems-at-xuuhv5h6e9","2009","Book Chapter","Lecture Notes in Computer Science","Sergio García
Ana Gómez Oliva","10.1007/978-3-642-05290-3_97","","In a globalized digital world, it is essential for persons and entities to have a recognized and unambiguous electronic identity that allows them to communicate with one another. The management of this identity by public administrations is an important challenge that becomes even more crucial when interoperability among public administrations of different countries becomes necessary, as persons and entities have different credentials depending on their own national legal frameworks. More specifically, different credentials and legal frameworks cause interoperability problems that prevent reliable access to public services in a cross-border scenarios like today's European Union. Work in this doctoral thesis try to analyze the problem in a carefully detailed manner by studying existing proposals (basically in Europe), proposing improvements in defined architectures and performing practical work to test the viability of solutions. Moreover, this thesis will also address the long-standing security problem of identity delegation, which is especially important in complex and heterogeneous service delivery environments like those mentioned above. This is a position paper.","This doctoral thesis will address the long-standing security problem of identity delegation, which is especially important in complex and heterogeneous service delivery environments like those mentioned above."
"Blockchain and DID-Based Cross-Domain Identity Authentication and Maintenance in Web3","https://scispace.com/paper/blockchain-and-did-based-cross-domain-identity-3rw7kamo8vpq","2024","Journal Article","","Rui Wang
Heng Pan
Xiang Deng
Yushu Li
Cong Li
Dongdong Fan
Xiaoqiang Guo","10.1109/icbctis64495.2024.00040","","With the development and application of Web3 technology, cross-domain identity authentication and management have become crucial topics in the digital economy. However, existing cross-domain authentication methods face challenges such as low decentralization, low management efficiency, and poor interoperability. To address these issues, this paper proposes a cross-domain authentication mechanism based on Decentralized Identifiers (DID), group signatures, and dynamic accumulators, aiming to meet the security needs of cross-domain identity authentication and dynamic management in Web3. First, a consortium blockchain is constructed among different management domains. Then, a Key Generation Center (KGC) is established in each domain, responsible for jointly generating keys with users and enhancing their DIDs, thereby reducing the reliance on the KGC and increasing the level of decentralization. By improving the Verifiable Credential (VC) format through dynamic accumulators, instant verification, revocation, and permission changes are achieved, meeting the dynamic management needs in a decentralized environment. Subsequently, each management domain issues cross-domain tokens using group public keys through group signature technology, ensuring interoperability of VC tokens and user privacy protection during the identity authentication process. Finally, each management domain only needs to verify the validity of the cross-domain tokens to complete cross-domain identity authentication. The performance and experimental analysis results of this study indicate that the proposed scheme exhibits good performance and scalability.","This paper proposes a blockchain-based cross-domain identity authentication mechanism using Decentralized Identifiers (DID), group signatures, and dynamic accumulators to address decentralization, efficiency, and interoperability issues in Web3, ensuring secure and dynamic identity management."
"SISSI: An Architecture for Semantic Interoperable Self-Sovereign Identity-based Access Control on the Web","https://scispace.com/paper/sissi-an-architecture-for-semantic-interoperable-self-1n1w1mx1","2023","Proceedings Article","The Web Conference","Christoph Braun
Papanchev
Tobias Käfer","10.1145/3543507.3583409","https://scispace.com/pdf/sissi-an-architecture-for-semantic-interoperable-self-1n1w1mx1.pdf","We present an architecture for authentication and authorization on the Web that is based on the Self-Sovereign Identity paradigm. Using our architecture, we aim to achieve semantic interoperability across different approaches to SSI. We build on the underlying RDF data model of the W3C’s recommendation for Verifiable Credentials and specify semantic access control rules using SHACL. Our communication protocol for an authorization process is based on Decentralised Identifiers and extends the Hyperledger Aries Present Proof protocol. We propose a modular architecture that allows for flexible extension, e. g., for supporting more signature schemes or Decentralised Identifier Methods. For evaluation, we implemented a Proof-of-Concept: We show that a Web-based approach to SSI outperfoms a blockchain-based approach to SSI in terms of End-to-End execution time.","In this paper , the authors present an architecture for authentication and authorization on the Web that is based on the Self-Sovereign Identity paradigm, which aims to achieve semantic interoperability across different approaches to SSI."
"Intermediary Technical Interoperability Component TIC Connecting Heterogeneous Federation Systems","https://scispace.com/paper/intermediary-technical-interoperability-component-tic-4ikv4im8hx","2021","Book Chapter","","Hasnae L'Amrani
Younes El Bouzekri El Idrissi
Rachida Ajhoun","10.1007/978-3-030-57024-8_24","","The spread of digital identity raises many new opportunities and challenges concerning identity. A set of identity management systems has been developed to handle such identities. The aim is both to enhance the end-user experience and to provide secure access for users. Nowadays, we have a large number of heterogeneous identity management initiatives. Proof of its eligibility for identity management is provided under the federation system. The strength of security domains within federated systems is a trusted agreement between communicating entities. However, Federated systems are challenged by the interoperability issue across those federated heterogeneous systems. This work aims to provide a technical interoperability approach for the different federations. The researchers are offering a technical interoperability component TIC, as a midway tool that will enable identity data to be interchanged between heterogeneous federations in total transparency.","In this article, the authors propose a technical interoperability component TIC, as a midway tool that will enable identity data to be interchanged between heterogeneous federations in total transparency."
"Decentralized Cross-Network Identity Management for Blockchain Interoperation","https://scispace.com/paper/decentralized-cross-network-identity-management-for-9cmhhzl2ztip","2022","Repository","","Ghosh, Bishakh Chandra
Ramakrishna Venkatraman
Govindarajan Chander
Behl Dushyant
Karunamoorthy Dileban
Abebe Ermyas
Chakraborty, Sandip","10.48550/arxiv.2104.03277","","Interoperation for data sharing between permissioned blockchain networks relies on networks' abilities to independently authenticate requests and validate proofs accompanying the data; these typically contain digital signatures. This requires counterparty networks to know the identities and certification chains of each other's members, establishing a common trust basis rooted in identity. But permissioned networks are ad hoc consortia of existing organizations, whose network affiliations may not be well-known or well-established even though their individual identities are. In this paper, we describe an architecture and set of protocols for distributed identity management across permissioned blockchain networks to establish a trust basis for data sharing. Networks wishing to interoperate can associate with one or more distributed identity registries that maintain credentials on shared ledgers managed by groups of reputed identity providers. A network's participants possess self-sovereign decentralized identities (DIDs) on these registries and can obtain privacy-preserving verifiable membership credentials. During interoperation, networks can securely and dynamically discover each others' latest membership lists and members' credentials. We implement a solution based on Hyperledger Indy and Aries, and demonstrate its viability and usefulness by linking a trade finance network with a trade logistics network, both built on Hyperledger Fabric. We also analyze the extensibility, security, and trustworthiness of our system. ",""
