"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Comparing multi-level modeling approaches.","https://scispace.com/paper/comparing-multi-level-modeling-approaches-38qrr0yudo","2014","","","Colin Atkinson
Ralph Gerbig
Thomas Kühne","","http://miso.es/multi/2014/proceedings_MULTI.pdf#page=59","… characterized multi-level and deep modeling … deep instantiation approach of Atkinson and Kühne has been criticised for lacking alignment with set theory and requiring the instantiation …","As the range of modelling approaches that claim to be “multi-level” diversifies, there is growing debate in the literature about what multi-level modelling actually is and what form supporting languages and infrastructures should take. However, there is no consensus yet on how this debate should be framed and what objective criteria should be used to evaluate different approaches. It is clear from the literature that proponents of different approaches base their arguments on fundamentally different assumptions about what multi-level modelling is and what benefits it should aim to provide. In this position paper we identify some of the core issues that currently hinder progress towards the required consensus and identify some of the terminological differences that have amplified confusion. Referencing various work that represents diverging viewpoints, our goal is to initiate a meta-discussion on what the open questions in multi-level modelling are, how respective proposals to answer them could be evaluated, and which kinds of discussions are expedient in this context."
"A unifying approach to connections for multi-level modeling","https://scispace.com/paper/a-unifying-approach-to-connections-for-multi-level-modeling-3vtlgzkrtk","2015","Proceedings Article","Model Driven Engineering Languages and Systems","Colin Atkinson
Ralph Gerbig
Thomas Kühne","10.1109/MODELS.2015.7338252","http://homepages.ecs.vuw.ac.nz/~tk/publications/papers/deep-connections.pdf","… of connection diversification with a fewer number of concepts that are intuitively understood by modelers familiar with the deep modeling (ie, clabject and potency-based) approach to …","Capturing relationships between concepts in a domain is as important as capturing the concepts themselves. Modeling languages reflect this by providing connections with rich semantics, such as associations and links, thus providing a key advantage over approaches that support relationships with simple references only. While connections for two-level modeling (e.g. in the UML) have enjoyed a stable design for a considerable time, the same cannot be said for connections in multi-level modeling languages. As interest in multi-level modeling grows, it is important to provide a comprehensive design for connections that not only adheres to multi-level principles such as level-agnosticism and explicit level organization, but also supports deep characterization, i.e., the ability to specify level content beyond one level boundary. In this paper we propose a unifying conceptual model for connections whose expressiveness and scalability does not come at the cost of concept proliferation."
"The essence of multilevel metamodeling","https://scispace.com/paper/the-essence-of-multilevel-metamodeling-4gr43qnume","2001","Book Chapter","Lecture Notes in Computer Science","Colin Atkinson
Thomas Kühne","10.1007/3-540-45441-1_3","https://www.academia.edu/download/30668025/essence.pdf","… to metamodeling which rectifies these problems and provides a sound basis for a multi-level modeling … We refer to such an instantiation mechanism as deep instantiation. Only with a …","As the UMLattempts to make the transition from a single, albeit extensible, language to a framework for a family of languages, the nature and form of the underlying meta-modeling architecture will assume growing importance. It is generally recognized that without a simple, clean and intuitive theory of how metamodel levels are created and related to one another, the UML2.0 vision of a coherent family of languages with a common core set of concepts will remain elusive. However, no entirely satisfactory metamodeling approach has yet been found. Current (meta-)modeling theories used or proposed for the UML all have at least one fundamental problem that makes them unsuitable in their present form. In this paper we bring these problems into focus, and present some fundamental principles for overcoming them. We believe that these principles need to be embodied within the metamodeling framework ultimately adopted for the UML2.0 standard."
"Misconceptions about potency-based deep instantiation","https://scispace.com/paper/misconceptions-about-potency-based-deep-instantiation-5vcw8t7p8j5u","2024","Journal Article","","Colin Atkinson
Thomas Kühne
Arne Lange","10.1145/3652620.3688213","https://dl.acm.org/doi/pdf/10.1145/3652620.3688213","… The potency-based approach to deep instantiation, which is based on the idea that multi-level models should feature a multi-level clas… of multi-level modeling (MLM) [3]. As the merits of …",""
"Processes and products in a multi-level metamodeling architecture","https://scispace.com/paper/processes-and-products-in-a-multi-level-metamodeling-67gilbnv42","2001","Journal Article","International Journal of Software Engineering and Knowledge Engineering","Colin Atkinson
Thomas Kühne","10.1142/S0218194001000724","https://homepages.ecs.vuw.ac.nz/~tk/publications/papers/processes-products.pdf","… The two mechanisms we have analyzed for defining derived modeling elements — instantiation and inheritance are basically object-oriented mechanisms for realizing the …","Following the successful use of object-oriented metamodeling in the definition of the UML and other notation standards there is increasing interest in extending the approach to cover other concepts of software development, including processes. However, it turns out that the ""obvious"" approaches for using metamodels to describe processes and artifacts independently do not integrate well together in a natural and straightforward way. In this paper we discuss the problems and inconsistencies than can arise when trying to model a process and the products it creates within the same metamodeling framework, and present a solution that not only avoids many of these problems but also qualifies as a general metamodeling pattern. We then generalize the conceptual architecture to support the sound co-modeling of all independent areas of concern within the context of strict metamodeling."
"Meta-level independent modelling","https://scispace.com/paper/meta-level-independent-modelling-5mmqdrpxiv","2000","","","Colin Atkinson
Thomas Kühne","","https://www.academia.edu/download/38750363/level-indep.pdf","… generalise this notation to capture the instantiation concept between higher modelling levels… Therefore, we assume a multi-level framework based on the doctrine of strict metamodelling …","The popularity of the UML and the recent focus on its extension mechanisms has raised the general awareness of the value and importance of metamodelling. However, the effectiveness of metamodelling with the UML is being hindered by the lack of suitable notational support. In particular the stereotype mechanism is not consistently applied to the UML’s four-layer meta-architecture. The result is that different notations are used for the same concept at different meta-levels. In this paper we explain the motivation for a uniform, level-independent notation that supports the same concept in the same way regardless of its location in the meta-architecture, and then go on to suggest some of the principles upon which such a notation could be based."
"On evaluating multi-level modeling","https://scispace.com/paper/on-evaluating-multi-level-modeling-272xtz33hc","2017","","","Colin Atkinson
Thomas Kühne","","https://openaccess.wgtn.ac.nz/articles/conference_contribution/On_evaluating_multi-level_modeling/13224761/files/25467548.pdf","… Abstract—Multi-Level Modeling is receiving increasing levels … more comparisons in the multi-level modeling field based on … overview of existing multi-level modeling evaluations. In …","Multi-Level Modeling is receiving increasing levels of interest and its active research community is continuing to make progress. However, to advance the discipline effectively it is necessary to increase industry adoption and achieve better community cohesion. We believe that the key to addressing both these challenges is to promote the creation of more comparisons in the multi-level modeling field based on meaningful objective evaluations. In this position paper, we provide our view on what constitutes meaningful evaluations and discuss some of the issues involved in obtaining them, while presenting a broad overview of existing multi-level modeling evaluations. In particular, we emphasize the importance of understanding and managing the difference between internal and external qualities."
"Multi-dimensional multi-level modeling","https://scispace.com/paper/multi-dimensional-multi-level-modeling-3sd9crfx","2022","Journal Article","Software and Systems Modeling","Thomas D. Kühne","10.1007/s10270-021-00951-5","","… [29], which introduces concepts such as leap potency and deep references, can avoid soundness issues, such as the one illustrated by Fig. 1, by postulating phantom model elements …",""
"Editorial to the theme issue on multi-level modeling","https://scispace.com/paper/editorial-to-the-theme-issue-on-multi-level-modeling-3mtfx2orqp","2018","Journal Article","Software and Systems Modeling","Colin Atkinson
Thomas Kühne
Juan de Lara","10.1007/S10270-016-0565-6","https://link.springer.com/content/pdf/10.1007/s10270-016-0565-6.pdf","… multi-level metamodeling,” this alternative strand of (meta-)modeling is increasingly being referred to as “deep modeling… characterization—to the notion of “dual potency.” They present a …","Multi-level modeling, i.e., the explicit use of multiple levels of classification in modeling, is a conservative extension of the well-established, traditional two-level object-oriented paradigm. Two-level object-oriented technology has been tremendously successful in both modeling (e.g., UML) and programming (e.g., Java). However, it has been shown that attempting to capture certain domains or systems with only two classification levels (i.e., objects and their types) results in accidental complexity that stems from an impedance mismatch between the subject at hand and the solution technology used to capture it [2]. Examples for domains that can be much more elegantly captured using multiple classification levels are biological taxonomies, process (meta-) modeling, enforced software architectures, and systems with dynamic type levels [4]. In particular, two-level technologies suffer from a simplistic type/instance dichotomy. Modeling elements must either play the role of a type or the role of an instance but not both. This means that types themselves cannot be treated as first class citizens of a system, i.e., as instances of (meta-) types, and thus cannot themselves be added dynamically to a system in a type-safe way."
"In defence of deep modelling","https://scispace.com/paper/in-defence-of-deep-modelling-106oxo9v16","2015","Journal Article","Information & Software Technology","Colin Atkinson
Thomas Kühne","10.1016/J.INFSOF.2015.03.010","https://openaccess.wgtn.ac.nz/articles/journal_contribution/In_defence_of_deep_modelling/13224776/files/25467566.pdf","… Since multi-level modelling emerged as a strategy for leveraging classification levels in … Recently, some authors have claimed that the deep modelling approach to multi-level modelling …","We refute claims of unsoundness and inconsistency levelled at deep modelling.Most of these claims are based on premises that do not apply to deep modelling.Others assume a different philosophy with no discernible advantages for modelling.Deep modelling foundations are supported by classic works in linguistics.The proposed alternative modelling framework introduces new pragmatic problems for modellers. ContextSince multi-level modelling emerged as a strategy for leveraging classification levels in conceptual models, there have been discussions about what it entails and how best to support it. Recently, some authors have claimed that the deep modelling approach to multi-level modelling entails paradoxes and significant weaknesses. By drawing upon concepts from speech act theory and foundational ontologies these authors argue that hitherto accepted principles for deep modelling should be abandoned and an alternative approach be adopted instead (Eriksson et al., 2013). ObjectiveWe investigate the validity of these claims and motivate the need to shift the focus of the debate from philosophical arguments to modelling pragmatics. MethodWe present each of the main objections raised against deep modelling in turn, classify them according to the kinds of arguments put forward, and analyse the cogency of the supporting justification. We furthermore analyse the counter proposal regarding its pragmatic value for modellers. ResultsMost of the criticisms against deep modelling are based on mismatches between the premisses used in published definitions of deep modelling and those used by the authors as the basis of their challenges. Hence, most of the criticisms levelled at deep modelling do not actually apply to deep modelling as defined in the literature. We also explain how the proposed alternative introduces new problems of its own, and evaluate its merits from a pragmatic modelling perspective. Finally, we show how deep modelling is indeed compatible with, and can be founded on, classic work in linguistics and logic. ConclusionsThe inappropriate interpretations of the core principles of deep modelling identified in this article indicate that previous descriptions of them have not had sufficient clarity. We therefore provide further clarification and foundational background material to reduce the chance for future misunderstandings and help establish deep modelling as a solid foundation for multi-level modelling."
