"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Multi-Level Conceptual Modeling: Theory and Applications.","https://scispace.com/paper/multi-level-conceptual-modeling-theory-and-applications-4jjsybzfcm","2018","","","João Paulo A. Almeida
Victorio Albani de Carvalho
Freddy Brasileiro
Claudenir M. Fonseca
Giancarlo Guizzardi","","https://scispace.com/pdf/multi-level-conceptual-modeling-theory-and-applications-4jjsybzfcm.pdf","Conceptual models are often built with techniques which propose a strict stratification of entities into two classification levels: a level of types (or classes) and a level of instances. Despite that, there are several situations in which domains of inquiry transcend the conventional two-level stratification and domain experts use types of types (or categories of categories) to articulate their conceptualizations. In these settings, types are instances of other types and multiple levels of classification can be identified (individuals, classes, metaclasses, metametaclasses, and so on), characterizing what is now called “multi-level modeling”. Over the last years, we have worked out a foundational theory for multi-level modeling (dubbed MLT), whose aim is to clarify the basic elements of multi-level conceptual modeling. This paper describes the development of this theory, and reports on some of its applications, namely: the detection of (thousands of) occurrences of anti-patterns in the Wikidata knowledge base and the revision of the powertype pattern in UML.","This paper describes the development of this foundational theory for multi-level modeling (dubbed MLT), and reports on some of its applications, namely: the detection of (thousands of) occurrences of anti-patterns in the Wikidata knowledge base and the revision of the powertype pattern in UML."
"Multi‐Level Modeling","https://scispace.com/paper/multi-level-modeling-3cth5y0umr","2015","Reference Entry","","Heiner Evanschitzky
Christof Backhaus","10.1002/9781118785317.WEOM090175","","Whenever research is concerned with the analysis of relationships between lowerlevel units (e.g., individuals) and the higherlevel unit they belong to (e.g., group), a hierarchical – multilevel or nested – data structure occurs. In such cases, multi-level modeling (MLM) approaches, also known as hierarchical linear modeling, are suited to empirically assess respective data structures in a methodologically correct way. The article gives an introduction to the background of multilevel modeling, outlines the methodological procedure for the basic case of a two-level model, and provides an outlook to more advanced applications of MLM.


Keywords:

multilevel modeling;
levels of analysis;
nested data;
hierarchical linear modeling;
within-group regression;
between group regression","The article gives an introduction to the background of multilevel modeling, outlines the methodological procedure for the basic case of a two-level model, and provides an outlook to more advanced applications of MLM."
"A Comprehensive Formal Theory for Multi-level Conceptual Modeling","https://scispace.com/paper/a-comprehensive-formal-theory-for-multi-level-conceptual-3df50fo2zx","2017","Book Chapter","International Conference on Conceptual Modeling","João Paulo A. Almeida
Claudenir M. Fonseca
Victorio Albani de Carvalho","10.1007/978-3-319-69904-2_23","","Multi-level modeling extends the conventional two-level classification scheme to deal with subject domains in which classes are also considered instances of other classes. In the past, we have explored theoretical foundations for multi-level conceptual modeling and proposed an axiomatic theory for multi-level modeling dubbed MLT. MLT provides concepts for multi-level modeling along with a number of rules to guide the construction of sound multi-level conceptual models. Despite the benefits of MLT, it is still unable to deal with a number of general notions underlying conceptual models (including the notions used in its own definition). In this paper, we present an extension of MLT to deal with these limitations. The resulting theory (called MLT*) is novel in that it combines a strictly stratified theory of levels with the flexibility required to model abstract notions that defy stratification into levels such as a universal “Type” or, even more abstract notions such as “Entity” and “Thing”.","The resulting theory is novel in that it combines a strictly stratified theory of levels with the flexibility required to model abstract notions that defy stratification into levels such as a universal “Type” or, even more abstract notions such as “Entity” and “Thing”."
"Toward a well-founded theory for multi-level conceptual modeling","https://scispace.com/paper/toward-a-well-founded-theory-for-multi-level-conceptual-56r0nkkpcn","2018","Journal Article","Software and Systems Modeling","Victorio Albani de Carvalho
Victorio Albani de Carvalho
João Paulo A. Almeida","10.1007/S10270-016-0538-9","https://scispace.com/pdf/toward-a-well-founded-theory-for-multi-level-conceptual-56r0nkkpcn.pdf","Multi-level conceptual modeling addresses the representation of subject domains dealing explicitly with multiple classification levels. Despite the recent advances in multi-level modeling techniques, we believe that the literature in multi-level conceptual modeling would benefit from a theory that: (1) formally characterizes the nature of classification levels and (2) precisely defines the structural relations that may occur between elements of different classification levels. This work aims to fill this gap by proposing an axiomatic theory that can be considered a reference top-level ontology for types in multi-level conceptual modeling. The theory provides the modeler with basic concepts and patterns to articulate domains that require multiple levels of classification as well as to inform the development of well-founded languages for multi-level conceptual modeling. The whole theory is founded on a basic instantiation relation and characterizes the concepts of individuals and types, with types organized in levels related by instantiation. Further, it includes intra-level structural relations that are used to define expressive multi-level models and cross-level relations that allow us to account for and incorporate the different notions of power type in the literature.","An axiomatic theory is proposed that can be considered a reference top-level ontology for types in multi-level conceptual modeling and provides the modeler with basic concepts and patterns to articulate domains that require multiple levels of classification as well as to inform the development of well-founded languages for multi- level conceptual modeling."
"Multi-level conceptual modeling: Theory, language and application","https://scispace.com/paper/multi-level-conceptual-modeling-theory-language-and-3doy5km82k","2021","Journal Article","Data and Knowledge Engineering","Claudenir M. Fonseca
João Paulo A. Almeida
Giancarlo Guizzardi
Giancarlo Guizzardi
Victorio Albani de Carvalho","10.1016/J.DATAK.2021.101894","","In many important subject domains, there are central real-world phenomena that span across multiple classification levels. In these subject domains, besides having the traditional type-level domain regularities (classes) that classify multiple concrete instances, we also have higher-order type-level regularities (metaclasses) that classify multiple instances that are themselves types. Multi-Level Modeling aims to address this technical challenge. Despite the advances in this area in the last decade, a number of requirements arising from representation needs in subject domains have not yet been addressed in current modeling approaches. In this paper, we address this issue by proposing an expressive multi-level conceptual modeling language (dubbed ML2). We follow a principled language engineering approach in the design of ML2, constructing its abstract syntax as to reflect a fully axiomatized theory for multi-level modeling (termed MLT*). We show that ML2 enables the expression of a number of multi-level modeling scenarios that cannot be currently expressed in the existing multi-level modeling languages. A textual syntax for ML2 is provided with an implementation in Xtext. We discuss how the formal theory influences the language in two aspects: (i) by providing rigorous justification for the language’s syntactic rules, which follow MLT* theorems and (ii) by forming the basis for model simulation and verification. We show that the language can reveal problems in multi-level taxonomic structures, using Wikidata fragments to demonstrate the language’s practical relevance.","This paper proposes an expressive multi-level conceptual modeling language (dubbed ML2) and discusses how the formal theory influences the language in two aspects: by providing rigorous justification for the language’s syntactic rules, which follow MLT* theorems and by forming the basis for model simulation and verification."
"Multilevel Modeling and Meta-Analysis: Epilogue to the Invited Forums:","https://scispace.com/paper/multilevel-modeling-and-meta-analysis-epilogue-to-the-3l3cyqg05o","2020","Journal Article","","Frederick L. Oswald
Jennifer L. Tackett","10.1177/2515245920905783","https://journals.sagepub.com/doi/pdf/10.1177/2515245920905783","We begin this Editorial by making an easy claim: The world is multilevel. People live in houses and neighborhoods, learn in classrooms and schools, and work in teams and organizations—and researchers often collect data across these levels over time. At best, treating psychological data in a manner that ignores this nested structure will result in a loss of an empirical understanding of the nature of these levels and their interactions; and at worst, such ignorance may cause statistical and conceptual inefficiencies during the process of making recommendations from multilevel and metaanalytic data, resulting in potentially misleading or even harmful consequences. In this issue and the September 2019 issue, Advances in Methods and Practices in Psychological Science has been fortunate to feature a series of six methodological articles that embrace the multilevel structure of data, addressing critical issues in multilevel modeling and meta-analysis in a way that provides psychological researchers with practical guidance and embodies future-oriented thinking. Hoffman (2019) has provided helpful educational and practical guidance for deciding among the many options that are currently available in multilevel-modeling software: For example, one may choose Bayesian or maximum likelihood modeling, observed or latent variables, and different types of centering and scaling. The availability of these choices might seem inherently beneficial, but they can lead to uncertainty and confusion; they also can increase researchers’ degrees of freedom. Likewise, equally legitimate decisions might lead to different substantive interpretations, so Hoffman’s guide for judiciously navigating through the sea of analytic choices in multilevel analysis is very timely for taking advantage of today’s advances in multilevel modeling in ways that will enable the appropriate analyses that will answer a psychological researcher’s multilevel questions of interest. Lang, Bliese, and Adler (2019) have provided an example of these advanced multilevel-modeling options: a multilevel model that can be used to investigate how group perceptions and behaviors change over time. Individual and group change can be substantively interpreted in many ways in terms of their individual and joint influence on climate, consensus, and decision making, as Lang et al. demonstrated, for example, in their analysis of decisions made in mock-jury trials. Furthermore, researchers have found that multilevel models often serve to support the inference that many groups ultimately reach consensus, such that within-group variances tend to be worth accounting for via multilevel modeling, even after taking mean-level floor or ceiling effects into account (e.g., for additional multilevel modeling of between-groups differences in within-group, or residual, variances, see Lester, Cullen-Lester, & Walters, 2019). McShane and Böckenholt’s (2020; this issue) contribution wrestled with the tension between the practical issue of typically having only summary data to enter into a meta-analysis and the wish to obtain richer information that would be available with multilevel modeling of the raw data (often at the individual level). The authors explored cases and research questions to illustrate when the meta-analysis approach is appropriate and relevant (e.g., understanding the overall effect of a single dependent measure in a single group, measured in multiple studies) and when richer multilevel modeling is needed more than meta-analysis (e.g., understanding effects found in multiple dependent measures, given multiple groups and covariates). Measurement issues are also critical in multilevel analysis. Stapleton and Johnson (2019) emphasized, via simulation and an example with educational data, how the reliable variation in measurement found between clusters may be a function of sampling of individuals within them (an individual-driven effect) or may also 905783 AMPXXX10.1177/2515245920905783Oswald, TackettMultilevel Modeling and Meta-Analysis research-article2020","This issue and the September 2019 issue of Advances in Methods and Practices in Psychological Science has been fortunate to feature a series of six methodological articles that embrace the multilevel structure of data, addressing critical issues in multileVEL modeling and meta-analysis in a way that provides psychological researchers with practical guidance and embodies future-oriented thinking."
"Multilevel models for personal networks: methods and applications","https://scispace.com/paper/multilevel-models-for-personal-networks-methods-and-48r639dcdn","2018","","","Raffaele Vacca","10.26398/IJAS.0030-003","https://scispace.com/pdf/multilevel-models-for-personal-networks-methods-and-48r639dcdn.pdf","This article reviews the statistical formulation and substantive applications of multilevel models for personal network data. A personal network is a social network sampled around a focal individual, the ego. Network nodes are the ego and his or her social contacts, the alters; network edges are ties between ego and alters, and ties among alters as reported by ego, usually indicating acquaintance or various forms of interaction. Personal network datasets exhibit a classical multilevel structure, with alters or ego-alter ties (level 1) hierarchically nested within egos or ego-networks (level 2). Hierarchical linear and generalized linear models have been used in the social and the health sciences to analyze these data and explain the variation of outcomes observed on alters or ego-alter ties. The paper presents these models and the assumptions and hypotheses they imply; outlines their main research applications; and illustrates their use by analyzing real-world data on personal networks and social support among Sri Lankan immigrants in Milan, Italy.","In this article, a review of the statistical formulation and substantive applications of multilevel models for personal network data is presented, and the assumptions and hypotheses they imply; outlines their main research applications and illustrates their use by analyzing real-world data on personal networks and social support among Sri Lankan immigrants in Milan, Italy."
"Multi-level Modeling without Classical Modeling Facilities.","https://scispace.com/paper/multi-level-modeling-without-classical-modeling-facilities-1z0055d6iz","2020","Proceedings Article","International Conference on Model-Driven Engineering and Software Development","Ferenc A. Somogyi
Zoltan Theisz
Sándor Bácsi
Gergely Mezei
Dániel Palatinszky","10.5220/0008973503930400","",": Multi-level modeling is a modeling paradigm that has been becoming more and more popular in recent years. The ultimate goal of multi-level modeling is to reduce accidental complexity that may arise from modeling methodologies that are not suitable to describe multi-level models. However, currently, most multi-level modeling approaches are dependent on classical modeling facilities, like OMG’s four-level modeling architecture. The potency notion is one of the most widely-used enablers of multi-level modeling that governs the depth model elements can be instantiated at. In this paper, we propose an alternative implementation to the ﬁrst in-carnation of the potency notion, the so-called classic potency notion. Its multi-level nature is mapped into our multi-layer modeling framework, which liberates it from direct dependence on classical modeling facilities. We examine the proposed mapping in details and also demonstrate it via a simple case study. This work is aimed as the ﬁrst step towards a generic multi-level modeling framework where researchers can freely exper-iment with novel multi-level modeling ideas and can share and compare their results without worrying about any sorts of tool dependence.","An alternative implementation to the first incarnation of the potency notion, the so-called classic potency notion is proposed, which liberates it from direct dependence on classical modeling facilities and is aimed as the first step towards a generic multi-level modeling framework."
"Beyond Agreement, Aggregation, and Centrality: Selection and Influence in Multilevel Theory","https://scispace.com/paper/beyond-agreement-aggregation-and-centrality-selection-and-27zqnzo9","2022","Journal Article","Proceedings - Academy of Management","Ryan Scott Hemsley
Daniel Jacob Griffin
Kenneth A. Frank","10.5465/ambpp.2022.10672abstract","","Historical advances in the study of multilevel theory are often accompanied by methodological developments. Organizational scholars have primarily relied on multilevel modeling. However, mean aggregation makes the problematic assumption of configural equivalence. To avoid this issue, researchers have used social network analysis as an alternative. However, the dominant use of centrality indices makes a different—but equally problematic—assumption of nodal equivalence. To address these issues, we outline a theoretical and methodological framework that avoids the problematic assumptions made by the conventional conceptual and analytical tools of multilevel researchers. This approach centers on two key network processes: Selection and Influence. Selection processes focus on how networks change because of the people, while Influence processes focus on how people change because of the network. We discuss the role of these processes in addressing the microfoundations of multilevel theory as well as develop statistical models that quantitatively represent these processes. Importantly, we do not advocate for a single analytical tool to study every research question but acknowledge that different techniques are more suited to particular theories. However, we make the case that future research would benefit from greater attention to Influence and Selection processes in multilevel theory and methodology. ","In this article , the authors outline a theoretical and methodological framework that avoids the problematic assumptions made by the conventional conceptual and analytical tools of multilevel researchers, focusing on two key network processes: Selection and Influence."
"Multi-level Conceptual Modeling: From a Formal Theory to a Well-Founded Language","https://scispace.com/paper/multi-level-conceptual-modeling-from-a-formal-theory-to-a-11a8ffvnlu","2018","Book Chapter","International Conference on Conceptual Modeling","Claudenir M. Fonseca
João Paulo A. Almeida
Giancarlo Guizzardi
Giancarlo Guizzardi
Victorio Albani de Carvalho","10.1007/978-3-030-00847-5_29","","Subject domains are often conceptualized with entities stratified into a rigid two-level structure: a level of classes and a level of individuals which instantiate these classes. Multi-level modeling extends the conventional two-level classification scheme by admitting classes that are also instances of other classes, a feature which is key in a number of subject domains. Despite the advances in multi-level modeling in the last decade, a number of requirements arising from representation needs in subject domains have not yet been addressed in current modeling approaches. In this paper, we tackle this issue by proposing an expressive multi-level conceptual modeling language (dubbed ML2). We follow a principled approach in the design of ML2, constructing its abstract syntax as to reflect a formal theory for multi-level modeling (termed MLT*). We show that ML2 enables the expression of a number of multi-level modeling scenarios that cannot be currently expressed in the existing multi-level modeling languages. A textual syntax for ML2 is provided with an implementation in Xtext.","This paper follows a principled approach in the design of ML2, constructing its abstract syntax as to reflect a formal theory for multi-level modeling (termed MLT*), and shows that ML2 enables the expression of a number of multi-levels modeling scenarios that cannot be currently expressed in the existing multi- level modeling languages."
