"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Designing a Meta Model as the Foundation for Compliance Capability","https://scispace.com/paper/designing-a-meta-model-as-the-foundation-for-compliance-3in9tcd950","2014","","","Christina Stratigaki
Mara Nikolaidou
Peri Loucopoulos
Oscar Pastor
Jelena Zdravkovic","10.13140/2.1.1517.8889","https://scispace.com/pdf/designing-a-meta-model-as-the-foundation-for-compliance-3in9tcd950.pdf","Capability-driven development (CDD) is an emerging research field aimed at aligning information technology (IT) to business evolution. From a methodological perspective a designer using CDD is faced with the challenge of reasoning about phenomena present in the business domain, capturing user requirements and developing an IT solution that reflects these phenomena and meets user expectation. Central to this process is the methodology meta-model, which is intended to define both the key concepts on which the designer has to focus and the process to be followed. The purpose of this paper is to report on an investigation on the utility of a specific meta-model in terms of these two aspects. This investigation was carried out through a use case that involved capability modelling on the same application, by different designers. Each approach was documented using design rationale techniques. The two efforts were then analysed and observations about the capability driven design activities were defined. The output of this work has provided feedback to enhancing the capability meta-model and consequently the capability driven design activities in a number of important ways.","Title: Designing a Meta Model as the Foundation for Compliance Capability Authors: Christina Stratigaki,Pericles Loucopoulos,Mara Nikolaidou Keywords: Compliance Capability, Compliance Management, Design Rational"
"The rationale of powertype-based metamodelling to underpin software development methodologies","https://scispace.com/paper/the-rationale-of-powertype-based-metamodelling-to-underpin-vodsmkf2pm","2005","Proceedings Article","Asia-Pacific Conference on Conceptual Modelling","Brian Henderson-Sellers
Cesar Gonzalez-Perez","","https://scispace.com/pdf/the-rationale-of-powertype-based-metamodelling-to-underpin-vodsmkf2pm.pdf","Metamodelling provides a way of modelling the rules underpinning not only modelling languages such as UML but also processes. In the context of object-oriented development, we evaluate the conceptual framework used to reason about metamodelling from the different perspectives of methodologist, method engineer and software developer. We propose the use of clabjets and powertype patterns as a solution to avoid the present inconsistencies in the use of a strict metamodelling multi-level hierarchy and demonstrate their efficacy in providing a solid and improved framework for OO-based process (and product) metamodelling.","metamodelling paradigm, in this light, reflects a desire for a simple world. Unfortunately, the real world is not that simple. The strict metamodelling paradigm offers an oversimplified solution that cannot cope with the real needs of the real world. Potency and Deep Instantiation:
 As an alternative to the problem derived from the strict metamodelling approach for software development approaches (outlined in Section 4.1), Atkinson and Kühne have proposed the concepts of potency and deep instantiation as a means to transmit features (attributes and relationships) beyond a simple level in a specialisation hierarchy . In this, traditional OO instantiation is seen as a special case (to be called shallow instantiation) of a more generic mechanism called deep instantiation, which operates between clabjects rather than between classes and objects. When a clabject is created by instantiation from another clabject, potency determines how features are transmitted. For features with potency > 0, a feature is created in the instance with its potency decremented by 1. When the potency of a feature becomes zero, we have a ""value"", i.e. a slot in the case of attributes and a link in the case of associations. This contrasts to the traditional OO approach, in which a feature of a class is ""converted"" into a value of an object whenever the class is instantiated. For example, consider a class Task with an attribute Duration. Usually, instances of Task will be objects with a specific value for Duration. Using deep instantiation, we could assign a potency of 2 to Duration, so instances of Task will actually ""inherit"" the Duration attribute as is, not getting a value. Such instances of tasks would be clabjects, in which the potency of Duration would be decremented to 1. Instances of these instances would take values for Duration, since its potency would reach zero. Potency and Deep Instantiation:
 The results of applying deep instantiation can be shown to be equivalent to those from powertype metamodelling as described here. The difference is that, in deep instantiation, a single class is present in the metamodel layer for each conceptual entity in the modelling domain. While this could be regarded as simpler than the dual classes of both powertyping and materialization, this duality permits more explicit (and arguably more understandable) modelling of a class and its categorization characteristics."
"Deep meta-modelling with METADEPTH","https://scispace.com/paper/deep-meta-modelling-with-metadepth-5awn2bsv57","2010","Book Chapter","Lecture Notes in Computer Science","Juan de Lara
Esther Guerra","10.1007/978-3-642-13953-6_1","https://scispace.com/pdf/deep-meta-modelling-with-metadepth-5awn2bsv57.pdf","Meta-modelling is at the core of Model-Driven Engineering, where it is used for language engineering and domain modelling. The OMG's Meta-Object Facility is the standard framework for building and instantiating meta-models. However, in the last few years, several researchers have identified limitations and rigidities in such a scheme, most notably concerning the consideration of only two meta-modelling levels at the same time.

In this paper we present METADEPTH, a novel framework that supports a dual linguistic/ontological instantiation and permits building systems with an arbitrary number of meta-levels through deep metamodelling. The framework implements advanced modelling concepts allowing the specification and evaluation of derived attributes and constraints across multiple meta-levels, linguistic extensions of ontological instance models, transactions, and hosting different constraint and action languages.","can use the Epsilon languages, which enable manipulation and transformation of models. Our dual working scheme interpreted/compiled allows rapid prototyping of languages on the one hand, and enables the generation of stand-alone, efficient domain specific tools on the other hand. Relating Models at Different Meta-levels:
 Nivel  is a deep meta-modelling framework based on the weighted constraint rule language (WCRL). It implements the concept of potency and the dual linguistic/ontological classification. It brings some interesting ideas from conceptual modelling, like the possibility of several classes to implement an association role. Nivel's semantics is given by its translation into WCRL, which allows some form of automated reasoning, but the kind of reasoning and its usefulness was not shown in . The language lacks constraints and action languages (except WCRL itself), which hinders its use in practical MDE. Relating Models at Different Meta-levels:
 Other works that have influenced MetaDepth include Amulet , whose prototype/instance concept is similar to our linguistic clabject extensions. Conclusions and Future Work:
 In this paper we have presented MetaDepth, a novel framework for deep metamodelling. The tool supports the concept of potency, allowing an arbitrary number of ontological meta-levels. It provides advanced features like multi-level constraints, derived attributes and linguistic extensions at lower meta-levels. The framework can work either in interpreted or compiled modes, favouring flexibility or efficiency. The current implementation offers a textual syntax, inspired by HUTN, and is integrated with the Epsilon languages. In particular, we have shown the use of EOL for specifying actions and EVL for constraints. Conclusions and Future Work:
 After more than one year of development, we are excited about the possibilities opened by MetaDepth, and we will continue to improve it in the near future. For example, we would like to allow the framework to run in client/server mode, so that the kernel can be accessed through web services. We would also like to build a system to support a graphical concrete syntax, in the spirit of the old AToM 3 , but allowing interaction through the web navigator. Even though we can use ETL now, the plan is to incorporate a formal model transformation language into it, and for this purpose we are working on an implementation of our pattern-based transformation language . It could be interesting to study the implications of deep meta-modelling for model transformation, and for this we would need a formalization of the framework. Finally, we are also enthusiastic about deep meta-modelling and the new possibilities it offers for MDE. We are"
"A formalisation of deep metamodelling","https://scispace.com/paper/a-formalisation-of-deep-metamodelling-3wim3tt8un","2014","Journal Article","Formal Aspects of Computing","Alessandro Rossini
Juan de Lara
Esther Guerra
Adrian Rutle
Uwe Wolter","10.1007/S00165-014-0307-X","https://scispace.com/pdf/a-formalisation-of-deep-metamodelling-3wim3tt8un.pdf","Metamodelling is one of the pillars of model-driven engineering, used for language engineering and domain modelling. Even though metamodelling is traditionally based on a two-metalevel approach, several researchers have pointed out limitations of this solution and proposed an alternative deep (also called multi-level) approach to obtain simpler system specifications. However, this approach currently lacks a formalisation that can be used to explain fundamental concepts such as deep characterisation, double linguistic/ontological typing and linguistic extension. This paper provides such a formalisation based on the Diagram Predicate Framework, and discusses its practical realisation in the metaDepth tool.","Title: Under consideration for publication in Formal Aspects of Computing Authors: Alessandro Rossini,Juan De Lara,Esther Guerra,Adrian Rutle,Uwe Wolter Keywords: model-driven engineering, multi-level metamodelling, deep metamodelling, deep characterisation, potency, double linguistic/ontological typing, linguistic extension, category theory, graph transformation, Diagram Predicate Framework, METADEPTH"
"On the search for a level-agnostic modelling language","https://scispace.com/paper/on-the-search-for-a-level-agnostic-modelling-language-4cbaspg2kq","2013","Book Chapter","Conference on Advanced Information Systems Engineering","Brian Henderson-Sellers
Tony Clark
Cesar Gonzalez-Perez","10.1007/978-3-642-38709-8_16","https://scispace.com/pdf/on-the-search-for-a-level-agnostic-modelling-language-4cbaspg2kq.pdf","The use of models is increasing in software engineering, especially within the MDE initiative. Models are usually communicated by visualizing them, typically using a graphical modelling language. The architecture commonly used to standardize a software engineering modelling language utilizes multiple levels despite the fact that the basic assumptions are only valid for a pair of levels. This has led several research groups to seek a means by which modelling languages can be created, and later standardized, without resorting to 'fixes' necessitated by the use of strict metamodelling and a multilevel hierarchy. Here, we describe a novel single-level approach based on 'everything is an object', which permits effective flattening of such a hierarchy, thus obviating all the paradoxical concerns in the literature over the last two decades.","Pan-Level Metamodel (PLM), together wi OM), a multilevel constraint language and a multilevel v cular interest here is the PLM, which is depicted as a m of 'metalevel' elements, some of which are in fact clabje . To support multiple ontological levels, it is necessary eneralization (PGeneralization) and instantiation (PInstan ypes in the PLM have a potency property. However, w not to be equivalent to OMG's M2 level but to the M3 le as the MOF … in the OMG … modelling infrastructure"" ssues with the PLM such as its heterogeneous treatmen ard to nodes and relationships.] seek to extend the PLM into a fully-fledged modelling l agnostic Modelling Language, which also includes a c abstract syntax being supplied by the PLM (Fig. ). to be targeted at offering alternative modes of represen n and particularly at modelling products and product ty s, it is aimed not at creating a mono-level language in t ing models, however complex, that reside within a sin L 1 in Fig. ). This, these authors claim, substantiates . However, in doing so they eschew all the trappings of uch as the UFO (Unified Foundational Ontology) [25,2 , still totally within L 1 , would be one that utilized the id g. . However, LML-utilizing chain of, arguably, three d problematical double instan Thus, whilst we agree that identified (e.g. ) as 'on solution but rather relies o Clabject class into the lang tion (of Clabject) into the m jects in the L 1 layer. Howe set theory (cf. ) and, furt by imposing a potency over with the strict metamodelli stantiation, although not cl some combination of regul rationalize the fact that som some with value assignmen There is one other conce of potency was create modelling in the terminolo use in ontological (meta)m is used to permit attributes ical layers lower. The prob attribute Y with potency m Y and thus Breed's Y attrib instantiated to Collie, this p and its Y attribute also has of Thing, it too has a poten that Collie must have a po this (new) use of potency. T On the Search for a Level-Agnostic Modelling Language 7] to Fig. towards a level-agnostic modelling language (LML g diagrams like Fig. still focus on the Rover-Collie-Br different ontological levels. That means there is still nceOf problem exemplified earlier (Fig. ) (see also [2 there are indeed two orthogonal issues (as above), the ntological modelling' does NOT use the truly ontolog on linguistic elements, in particular the introduction o guage-defining metamodel for LML . Such an introd metamodel does legitimize the existence of individual cl ever, it is unclear how to represent such instantiation us thermore, it disguises the meaning of clabject instantiat rlay on to each clabject -thus making it appear compati ing architecture of the OMG. In other words, clabject learly defined by these authors, must be understood to lar (linguistic) instantiation and generalization in order me attributes are instantiated without value assignment nt (see discussion in ). ern that has not yet been explained"
"Validated Multi-layer Meta-modeling via Intrinsically Modeled Operations.","https://scispace.com/paper/validated-multi-layer-meta-modeling-via-intrinsically-9xcyv0eikm","2017","","","Gergely Mezei
Dániel Urbán
Zoltán Theisz","","https://scispace.com/pdf/validated-multi-layer-meta-modeling-via-intrinsically-9xcyv0eikm.pdf","State-of-the-art meta-model based technologies are facing increasing pressure under new challenges originating from practical industrial applications. Dynamic Multi-Layer Algebra (DMLA) is a novel generic modeling approach that intends to meet these challenges by combining multi-level meta-modeling and validated instantiation. This paper describes the core ideas and techniques that have been applied to DMLA in order to create a modular model intrinsic validation of instantiation. The approach is also illustrated by a simple example.","Title: Validated Multi-Layer Meta-modeling via Intrinsically Modeled Operations Authors: Gergely Mezei,Dániel Urbán,Zoltán Theisz Keywords: validated meta-model, modular constraints, multilevel modeling I. INTRODUCTION:
 Meta-model based solutions have been gradually gaining acceptance in many complex industrial applications, for example in the domains of telecommunications, IoT and cloud management systems. Many of these applications rely on EMF technologies to provide facilities for type safe storage and manipulation of millions of configuration and control parameters. Nevertheless, those practical model-based solutions are seriously hampered by a legacy, that is, metamodel induced database schemas must be maintained by design-time derived toolchains such as EMF/CDO. Thus, these solutions are hardly capable of automatically coping with a massive amount of frequently changeable instance data that is mostly regulated by a slowly, but steadily evolving set of type information controlled by some product life-cycle schemes. Therefore, an integrated validation mechanism of design-and run-time models should become part of any such industrial solutions. Also, the validation mechanism shall be both modular and capable of maintaining the instance data and the meta-model schemas in sync irrespective of their abstraction levels and design or run-time nature. This practicality requirement asks for a proper multi-level metamodeling technique, which supports the validation of the instantiation step not as an afterthought, but as a direct consequence of the underlying multi-level modeling formalism. I. INTRODUCTION:
 The paper describes our proposed solution, the Dynamic Multi-Layer Algebra (DMLA), which represents a modular, operation-based, multi-level meta-modeling approach with a self-described, model intrinsic validation mechanism to automatically evaluate every potential change of its encompassing multi-level meta-model. Most of our ideas and solution techniques are the results of our hands-on experiences we have gathered by analyzing real industrial information models for several years. As a consequence, the current DMLA version (v2.1), is not a theory any longer; we have also implemented major parts of it as an executable demo, which is available for download at ."
"Dual deep modeling : multi-level modeling with dual potencies and its formalization in F-Logic","https://scispace.com/paper/dual-deep-modeling-multi-level-modeling-with-dual-potencies-1n42hivp5s","2018","Journal Article","Software and Systems Modeling","Bernd Neumayr
Christoph G. Schuetz
Manfred A. Jeusfeld
Michael Schrefl","10.1007/S10270-016-0519-Z","https://scispace.com/pdf/dual-deep-modeling-multi-level-modeling-with-dual-potencies-1n42hivp5s.pdf","An enterprise database contains a global, integrated, and consistent representation of a company’s data. Multi-level modeling facilitates the definition and maintenance of such an integrated conceptual data model in a dynamic environment of changing data requirements of diverse applications. Multi-level models transcend the traditional separation of class and object with clabjects as the central modeling primitive, which allows for a more flexible and natural representation of many real-world use cases. In deep instantiation, the number of instantiation levels of a clabject or property is indicated by a single potency. Dual deep modeling (DDM) differentiates between source potency and target potency of a property or association and supports the flexible instantiation and refinement of the property by statements connecting clabjects at different modeling levels. DDM comes with multiple generalization of clabjects, subsetting/specialization of properties, and multi-level cardinality constraints. Examples are presented using a UML-style notation for DDM together with UML class and object diagrams for the representation of two-level user views derived from the multi-level model. Syntax and semantics of DDM are formalized and implemented in F-Logic, supporting the modeler with integrity checks and rich query facilities.","intermediate levels for some part of a hierarchy. The m-object modeling approach, however, has no equivalents to clabject generalization, property special-ization, and deep cardinality constraints, and also lacks the powerful query facilities of DDM. Related work:
 Demuth et al.  identify consistency checking as an important aspect of multi-level modeling. The thus identified types of consistency checking in multi-level models include checking conformance of model elements with the linguistic metamodel, checking conformance of instances with ontological types, checking consistency of inheritance relationships between ontological types, and semantic constraint checking for objects at a specific metalevel. The DDM formalization in F-Logic contains rules for consistent specialization and type conformance as well as a mechanism for the definition of multiplicity, domain, and range constraints for relationships. This paper does not explicitly investigate the definition of additional semantic constraints for DDM models, e.g., that the list price of car models of a specific category must exceed a minimum amount of money. Modelers, however, may define additional semantic constraints over classes by using F-Logic and the DDM predicates. Demuth et al.  introduce a formalization of multi-level modeling based on the DesignSpace Core metamodel in order to support automated consistency checking. The DDM formalization in F-Logic allows modelers to employ the Flora-2 system in order to check consistency of a model. Demuth et al.  further stress the importance of consistency checking for multi-level model evolution. Again, for DDM models, modelers may employ the Flora-2 system in order to determine consistency of an intended change in the model. Related work:
 The MLT multi-level theory  establishes ontological foundations for multi-level modeling. MLT applies the Unified Foundational Ontology (UFO), a reference ontology the main application area of which is conceptual modeling, to multi-level modeling. In particular, unlike UFO, MLT distinguishes not only between types and individuals but also considers types with types as instances. This extension of UFO for multi-level modeling improves semantic clarity of multi-level models. Related work:
 The visual and precise metamodeling (VPM) framework  aims at a mathematical definition of visual metamodeling and follows a multi-level approach. The VPM framework has a model-driven architecture focus where the quality of the metamodels is of critical importance for model transformation. In VPM, the boundaries between model and metamodel are fluid. What is model may be metamodel in another context, type-instance relationships between models are handled dynamically, which presents advantages for model transformation. The VPM framework employs multilevel modeling in order to allow for the specialization of classes between models without being confined by the strict division of metalevels in MOF. Importantly, in VPM, model elements may be, at the same time, instance and specialization of a particular model element. VPM, however, has no equivalent to potency-based instantiation. DDM has a focus on data modeling and knowledge representation, the concept of potency-based deep instantiation being a central aspect."
"A Tour of Language Customization Concepts","https://scispace.com/paper/a-tour-of-language-customization-concepts-1u9wgxh2gg","2007","Book Chapter","Advances in Computers","Colin Atkinson
Thomas Kühne","10.1016/S0065-2458(06)70003-1","https://scispace.com/pdf/a-tour-of-language-customization-concepts-1u9wgxh2gg.pdf","Although the UML is often perceived as a universal modeling language it was not designed to fulfill this goal. Rather, the primary goal of the designers was to provide a unified modeling language. Because the applicability of the core language is limited, the UML has always offered mechanisms to enable it to be adapted to the needs of different users and applications. Over the years, a wide variety of different language customization mechanisms have been proposed, ranging from stereotypes, profiles, and metamodeling to domain-specific languages. However, the relationships between these different approaches and the different capabilities and options that they provide to users have never been clearly elaborated. In this chapter we provide a tour of the most important language customization mechanisms and by means of a unified case study we compare and contrast their pros and cons. We also review the current “state of the art” and present our view of how the “domain-customized language” approach to software engineering can best be supported in the future.","""deep characterization"" by requiring that all instances of an ontological metaclass also be subclasses of a particular class. It is this latter superclass which defines the attributes that ensure that all instances of the instance of the powertype abstraction have a particular slot. Deep Instantiation:
 Although the powertype mechanism is able to address ""deep characterization"" it does not do so in a very elegant way. The basic problem is that in order to define the type facet of a powertype's instance an extra superclass has to be added. In essence, therefore, two model elements (""ProductType"" and ""Product"") are being used to capture a single clabject abstraction. Deep Instantiation:
 In order to support a more elegant and direct way of representing deep characterization two ingredients are needed. One is a notation which combines the type and instance facets of a clabject in a single model element (see the bottom of Fig. ). The other is a concept that allows the intended characterization depth of a clabject's properties to be specified. Figure  illustrates our example using the above mentioned ingredients. Deep Instantiation:
 The key idea behind the concept of characterization depth is to unify the concepts of ""attribute"" and ""slot"" into the notion of a field and to indicate whether a field should be thought of as a slot or an attribute by assigning it a potency value. The potency value of a field indicates how many times its can be instantiated (with respect to instantiation depth) with the understanding that instantiation reduces the potency of a field by one. A field with potency 2 (such as the ""price"" attribute of ""ProductType"") needs to be instantiated twice in succession before it becomes a slot, while a field with potency 1 (such as the ""price"" attribute of ""Animal"") becomes a slot after one instantiation. A field with potency 0 (such as the ""price"" slot of ""par-rotInstance2947"") cannot be instantiated at all. A field of potency 1 thus corresponds to a regular attribute and field of potency 0 corresponds to a regular slot. Deep Instantiation:
 Potency values may not only be assigned to fields, but also methods, and more importantly here to clabjects. The same principles apply as for fields, so for example ""parrotInstance2947"" can be instantiated from ""Animal"" since the latter is an instance of a potency two clabject. Deep Instantiation:
 Modeling scenarios such as the one depicted in Fig.  using clabjects and potency reduces the number of modeling elements needed to address ""deep characterization"" thus reducing the accidental complexity in a model. Orthogonal Classification Architecture:
 In the previous section we introduced the notion of ontological metatypes and explained how they can help model domains with multiple classifications levels. In this section we show how ontological and linguistic metamodeling can be accommodated within a single unified modeling framework."
"Domain-specific textual meta-modelling languages for model driven engineering","https://scispace.com/paper/domain-specific-textual-meta-modelling-languages-for-model-1kf17qz9cs","2012","Book Chapter","European Conference on Modelling Foundations and Applications","Juan de Lara
Esther Guerra","10.1007/978-3-642-31491-9_20","https://scispace.com/pdf/domain-specific-textual-meta-modelling-languages-for-model-1kf17qz9cs.pdf","Domain-specific modelling languages are normally defined through general-purpose meta-modelling languages like the MOF. While this is satisfactory for many Model-Driven Engineering (MDE) projects, several researchers have identified the need for domain-specific meta-modelling (DSMM) languages providing customised meta-modelling primitives aimed at the definition of modelling languages in a specific domain, as well as the construction of meta-model families.

In this paper, we discuss the potential of multi-level meta-modelling for the systematic engineering of DSMM architectures. For this purpose, we present: (i) several primitives and techniques to control the meta-modelling facilities offered to the users of the DSMM languages, (ii) a flexible approach to define textual concrete syntaxes for DSMM languages, (iii) extensions to model management languages enabling the practical use of DSMM in MDE, and (iv) an implementation of these ideas in the metaDepth tool.","contrast, all elements have a linguistic type, which refers to the meta-modelling primitive used to create the element. For example, the linguistic type of Product, Pen and parker is clabject, while the linguistic type of books is reference. Deep meta-modelling for domain-specific meta-modelling:
 One can interpret the union of the three models in each column of Fig.  as being conformant to a linguistic meta-model, as shown in Fig. (a) (the linguistic meta-model is only partially shown). In our approach, a linguistic extension is an element without ontological typing, like Author or the caliber attribute in Nail. The dual ontological/linguistic typing is very convenient for DSMM as it makes available standard meta-modelling facilities at each meta-level. Deep meta-modelling for domain-specific meta-modelling:
 Alternatively, Fig. (b) shows the definition of our DSMM language using only two meta-levels. This solution makes necessary to explicitly model the desired meta-modelling facilities, and to manually encode the machinery to emulate built-in support for instantiation and constraint checking. Thus, one should build mechanisms taking care of type conformance, data types, definition and evaluation of constraints, and so on. Deep meta-modelling for domain-specific meta-modelling:
 Altogether, deep meta-modelling facilitates the construction of DSMM languages. However, the following challenges remain: Deep meta-modelling for domain-specific meta-modelling:
 -We need mechanisms to control the linguistic extensions offered by the DSMM languages, as not any extension may be valid in any domain. -To be usable in practice, we need to provide a suitable concrete syntax for the DSMM languages and for the DSMLs defined with them. Ideally, both syntaxes should be defined once together with the DSMM language definition, and it should be possible to refine or extend them to take into account the particularities of specific domains. -To enable the integration of DSMM in MDE projects, we need appropriate model management languages able to work in this multi-level setting. Deep meta-modelling for domain-specific meta-modelling:
 These three challenges are tackled in the next three sections. Customising the meta-modelling facilities:
 Designers need to control the way in which the designed DSMM languages will be used and extended. For this purpose, we propose the use of tags to identify the non-extendable language elements, and the use of constraints to ensure a certain extensibility degree. We will illustrate both control mechanisms using the textual syntax of the metaDepth [6] tool. For example, the listing shown in Fig.  defines our DSMM language for e-commerce systems (lines 1-7), its usage to define a stationer's model (lines 8-10), and an instance of this (lines 12-14), corresponding to models (a, b, c) in Fig. ."
"Modelling capability and affordance as properties of human/machine resource systems","https://scispace.com/paper/modelling-capability-and-affordance-as-properties-of-human-13ery38wga","2014","Proceedings Article","Business Modeling and Software Design","Vaughan Michell
Ella Roubtsova","10.5220/0005424500740083","https://scispace.com/pdf/modelling-capability-and-affordance-as-properties-of-human-13ery38wga.pdf","Understanding how and why the capability of one set of business resources, its structural arrangements and mechanisms compared to another works can provide competitive advantage in terms of new business processes and product and service development. However, most business models of capability are descriptive and lack formal modelling language to qualitatively and quantifiably compare capabilities, Gibson’s theory of affordance, the potential for action, provides a formal basis for a more robust and quantitative model, but most formal affordance models are complex and abstract and lack support for real-world applications. We aim to understand the ‘how’ and ‘why’ of business capability, by developing a quantitative and qualitative model that underpins earlier work on Capability-Affordance Modelling – CAM. This paper integrates an affordance based capability model and the formalism of Coloured Petri Nets to develop a simulation model. Using the model, we show how capability depends on the space time path of interacting resources, the mechanism of transition and specific critical affordance factors relating to the values of the variables for resources, people and physical objects. We show how the model can identify the capabilities of resources to enable the capability to inject a drug and anaesthetise a patient.","object layer. Also, this typification is used as a business model notation: in case a specific REA entity cannot be noted explicitly, its type object is used as a specification for what kind of entity would take part in a certain business pattern. RELATED WORK:
 A model driven approach for the notation of REA based business models is presented in , where the REA Meta model is defined as an UML profile, and the concrete domain model is modeled as a class diagram applying the REA UML profile. Again, this approach freezes the domain model at design time (expressed in UML) and requires different technology for the definition and the execution of business models. RELATED WORK:
 In contrast to these approaches, we are proposing an integrated solution , where (i) the REA Meta model serves as language definition on MOF 1 layer M2 (modeled and implemented as concrete classes in an object oriented programming language), (ii) the domain model is dynamically modeled in M1 in form of instances of the previously mentioned classes, and (iii) the business artefacts on M0 are again instances of the model instances in M1. This approach allows the user of an enterprise resource planning system that is based upon REA concepts to declare additional exchange methods, resources or agents on-the-fly, and make use of them immediately. To foster M1-M0 interoperability, we strive for an approach that incorporates M1 and M0 models in a single storage and execution system. Interoperability with the approach described in (Gailly and Poels, 2010) could be realized via an import/export mechanism. Meta Modeling:
 In  it is argued that two level modeling is introducing ""accidental complexity"" in cases where the domain scenario features three or more levels, because some workaround must be found to fit the many levels into the two levels provided. One such application scenario is when an element of a domain scenario requires to influence 1 Meta Object Facility (Object Management Group, Inc., 2013), see http://www.omg.org/spec/MOF/ instances traditionally ""out of reach"" of that element (declare properties for instances of instances). For that purpose the concepts of ""clabjects"" (introduced in ) and ""deep instantiation/characterization"" with ""potencies"" (Atkinson and  are introduced. It allows specifying properties that should be instantiated potency number of levels below its declaration. However, in our modeling approach, and for the given use case of REA business models, we agree with , in that ""potencies > 2 are not needed"". In order to be able to model potencies of value 2,  and  introduce the concept of ""intrinsic features/attributes/properties"" (properties that are not implemented by instances but by instances of instances)-in a sense, intrinsic features are thus deeply instantiated properties with a hardcoded potency of 2. In  the ""adaptive object-model"" architectural style is described by discussing various concepts found in the literature and in implementations for the purpose of providing meta modeling support for the design and implementation of adaptive software systems. As a foundation for such systems the type object pattern and property pattern are identified, which together form a ""type square""."
