"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"SSI, from Specifications to Protocol? Formally Verify Security!","https://scispace.com/paper/ssi-from-specifications-to-protocol-formally-verify-security-3d1q64oj34","2024","Proceedings Article","","Christoph Braun
R. Horne
Tobias Käfer
Sjouke Mauw","10.1145/3589334.3645426","","- **Relevance Score:** 76/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses SSI specs (VC, DIDs) to build a protocol, explicitly models trust assumptions across network, protocol, and application layers, verifies secrecy, authentication, unlinkability, and addresses security and privacy concerns within a credential‑based trust framework.","We evaluate a bundle of specifications from the Self-Sovereign Identity (SSI) paradigm to construct an authentication protocol for the Web. We demonstrate how relevant standards such as W3C Verifiable Credentials (VC), W3C Decentralised Identifiers (DIDs), and components of the Hyperledger Aries Framework are to be assembled methodologically into a protocol. We make those assumptions from standard trust models explicit that underlie the derived protocol, and verify security and privacy properties, notably secrecy, authentication, and unlinkability. This enables us to formally justify the additional precision that we urge these specifications to consider, to ensure that implementors of SSI-based systems do not neglect security-critical controls."
"A formal architecture for privacy-preserving credential verification using blockchain and zero-knowledge proofs","https://scispace.com/paper/a-formal-architecture-for-privacy-preserving-credential-fjhggf6nrn2u","2025","Journal Article","International Journal of Apllied Mathematics","Kadhim Abdulfadhil Gatea","10.12732/ijam.v38i7s.654","https://scispace.compdf/a-formal-architecture-for-privacy-preserving-credential-fjhggf6nrn2u.pdf","- **Relevance Score:** 67/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses ZKPs to enforce privacy across blockchain layers; defines layered constraints linking security and privacy; formalizes credential verification; employs cryptographic reasoning rather than traditional specification languages.","This paper addresses the challenge of designing secure and private digital credentialing systems by leveraging advanced mathematical primitives from applied cryptography. The core of our proposed solution is the application of Zero-Knowledge Proofs (ZKPs), a class of cryptographic protocols that allows for the verification of assertions without disclosing the underlying secret data. We introduce a formal, layered architecture that demonstrates how the mathematical properties of ZKPs can be systematically translated into a robust, large-scale information system. The framework's design is validated against the complex requirements of the academic domain, which serves as a rigorous testbed for our architectural approach. The primary contribution is a blueprint for integrating complex cryptographic protocols into practical system design, demonstrating how mathematical guarantees of privacy can be preserved in a distributed and verifiable manner. This work provides a novel contribution at the intersection of applied cryptography, system architecture, and information security. "
"Towards an integrated formal analysis for security and trust","https://scispace.com/paper/towards-an-integrated-formal-analysis-for-security-and-trust-3ft6cj43rq","2005","Book Chapter","Formal Methods for Open Object-Based Distributed Systems","Fabio Martinelli","10.1007/11494881_8","https://scispace.com/pdf/towards-an-integrated-formal-analysis-for-security-and-trust-3ft6cj43rq.pdf","- **Relevance Score:** 56/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses CryptoCCS inference constructs to model both security protocols and credential‑based access control, providing a formal, holistic specification that links trust and authentication. Addresses multiple concerns (security, trust negotiation) but does not detail layer‑by‑layer coordination. Focuses on credential‑driven identity trust.","We aim at defining an integrated framework for the specification and (automated) analysis for security and trust in complex and dynamic scenarios. In particular, we show how the same machinery used for the formal verification of security protocols may be used to analyze access control policies based on trust management."
"Fortifying the Agentic Web: A Unified Zero-Trust Architecture Against Logic-layer Threats","https://scispace.com/paper/fortifying-the-agentic-web-a-unified-zero-trust-architecture-14qcdlg9aqga","2025","Journal Article","arXiv.org","Ken Huang
Yasir Mehmood
Hammad Atta
Jerry Huang
M. Baig
Sree Bhargavi Balija","10.48550/arxiv.2508.12259","https://scispace.compdf/fortifying-the-agentic-web-a-unified-zero-trust-architecture-14qcdlg9aqga.pdf","- **Relevance Score:** 53/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Presents a formal zero‑trust architecture with DIDs/VCs, defines cross‑layer constraints, but formal method details are limited; strong credential focus, moderate multi‑concern coverage.","This paper presents a Unified Security Architecture that fortifies the Agentic Web through a Zero-Trust IAM framework. This architecture is built on a foundation of rich, verifiable agent identities using Decentralized Identifiers (DIDs) and Verifiable Credentials (VCs), with discovery managed by a protocol-agnostic Agent Name Service (ANS). Security is operationalized through a multi-layered Trust Fabric which introduces significant innovations, including Trust-Adaptive Runtime Environments (TARE), Causal Chain Auditing, and Dynamic Identity with Behavioral Attestation. By explicitly linking the LPCI threat to these enhanced architectural countermeasures within a formal security model, we propose a comprehensive and forward-looking blueprint for a secure, resilient, and trustworthy agentic ecosystem. Our formal analysis demonstrates that the proposed architecture provides provable security guarantees against LPCI attacks with bounded probability of success."
"SAFE: A Declarative Trust Management System with Linked Credentials","https://scispace.com/paper/http://arxiv.org/abs/1510.04629v2","2015","Preprint","","Vamsi Thummala
Jeff Chase","","https://arxiv.org/pdf/1510.04629v2","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses a logic‑based language to declaratively manage credentials and trust, fitting credential‑centric frameworks; provides case studies and formal logic, but only loosely spans layers and multiple concerns, and lacks explicit comparative analysis.","We present SAFE, an integrated system for managing trust using a logic-based declarative language. Logical trust systems authorize each request by constructing a proof from a context---a set of authenticated logic statements representing credentials and policies issued by various principals in a networked system.
  A key barrier to practical use of logical trust systems is the problem of managing proof contexts: identifying, validating, and assembling the credentials and policies that are relevant to each trust decision. This paper describes a new approach to managing proof contexts using context linking and caching. Credentials and policies are stored as certified logic sets named by secure identifiers in a shared key-value store. SAFE offers language constructs to build and modify logic sets, link sets to form unions, pass them by reference, and add them to proof contexts. SAFE fetches and validates credential sets on demand and caches them in the authorizer. We evaluate and discuss our experience using SAFE to build secure services based on case studies drawn from practice: a secure name service resolver, a secure proxy shim for a key value store, and an authorization module for a networked infrastructure-as-a-service system with a federated trust structure."
"Authentication and Authorization Mechanisms in Secure Systems: Their Impact on Information Assurance and Access Control","https://scispace.com/paper/LfHmt8nQRdMJ","","","","A Chaisiri
K Boonmee","","https://sciencequill.com/index.php/TESRTCA/article/download/2024-06-04/13","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses formal methods to model authentication security; addresses security and performance concerns; focuses on credential‑based identity; mentions latency and overhead across layers.",""
"The Trust over IP Stack","https://scispace.com/paper/the-trust-over-ip-stack-4c8kfcrt6d","2019","Journal Article","","Matthew Davie
Dan Gisolfi
Daniel H. Hardman
John Jordan
Darrell O'Donnell
Drummond Reed","10.1109/MCOMSTD.001.1900029","","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Defines a four‑layer ToIP stack with governance metamodel spanning business, legal, and technical concerns; uses DIDs and Verifiable Credentials but lacks formal method specifications.","This article defines a four-layer architectural stack called the ToIP stack for establishing trust between peers over the Internet and other digital networks. Patterned after the TCP/IP stack that standardized packet exchange and created the Internet, the ToIP stack is a decentralized architecture that encompasses business, legal, and technological requirements. Layer One establishes decentralized trust roots using decentralized identifiers (DIDs), an emerging W3C standard for decentralized PKI. Layer Two is the DIDComm protocol, a transport-independent protocol that uses DIDs to form and communicate over a cryptographically secure connection. Layer Three is a suite of credential exchange protocols based on the W3C Verifiable Credentials standard for cryptographically verifiable digital credentials. Layer Four adds cryptographically verifiable governance frameworks using a metamodel for describing the business, legal, and technical policies under which a peer is operating as an issuer, holder, or verifier of digital credentials. This governance metamodel can be applied at all four Layers of the stack, producing a parallel ToIP Governance Stack that fully integrates the non-technical dimensions of trust establishment. Further work on defining, testing, and integrating the ToIP stack is planned for a new project at the Linux Foundation."
"Supporting structured credentials and sensitive policies through interoperable strategies for automated trust negotiation","https://scispace.com/paper/supporting-structured-credentials-and-sensitive-policies-36162y8cvg","2003","Journal Article","ACM Transactions on Information and System Security","Ting Yu
Marianne Winslett
Kent E. Seamons","10.1145/605434.605435","","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Formalizes negotiation protocols and strategies for credential‑based trust; uses rigorous formal modeling; addresses security and privacy concerns; lacks explicit multi‑layer analysis.","Business and military partners, companies and their customers, and other closely cooperating parties may have a compelling need to conduct sensitive interactions on line, such as accessing each other's local services and other local resources. Automated trust negotiation is an approach to establishing trust between parties so that such interactions can take place, through the use of access control policies that specify what combinations of digital credentials a stranger must disclose to gain access to a local resource. A party can use many different strategies to negotiate trust, offering tradeoffs between the length of the negotiation, the amount of extraneous information disclosed, and the computational effort expended. To preserve parties' autonomy, each party should ideally be able to choose its negotiation strategy independently, while still being guaranteed that negotiations will succeed whenever possible---that the two parties' strategies will interoperate. In this paper we provide the formal underpinnings for that goal, by formalizing the concepts of negotiation protocols, strategies, and interoperation. We show how to model the information flow of a negotiation for use in analyzing strategy interoperation. We also present two large sets of strategies whose members all interoperate with one another, and show that these sets contain many practical strategies. We develop the theory for black-box propositional credentials as well as credentials with internal structure, and for access control policies whose contents are (respectively are not) sensitive. We also discuss how these results fit into TrustBuilder, our prototype system for trust negotiation."
"A flexible architecture for privacy-aware trust management","https://scispace.com/paper/a-flexible-architecture-for-privacy-aware-trust-management-3dyujt7i31","2010","Journal Article","Journal of Theoretical and Applied Electronic Commerce Research","Klemens Böhm
Sandro Etalle
Jerry den Hartog
Christian Hütter
Slim Trabelsi
Daniel Trivellato
Nicola Zannone","10.4067/S0718-18762010000200006","https://scispace.com/pdf/a-flexible-architecture-for-privacy-aware-trust-management-3dyujt7i31.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Datalog‑based policy language to formally specify trust constraints; focuses on credential‑based trust with ontology‑driven semantics; addresses privacy and interoperability concerns but does not discuss multi‑layer coordination.","In service-oriented systems a constellation of services cooperate, sharing potentially sensitive information and responsibilities. Cooperation is only possible if the different participants trust each other. As trust may depend on many different factors, in a flexible framework for Trust Management (TM) trust must be computed by combining different types of information. In this paper we describe the TAS3 TM framework which integrates independent TM systems into a single trust decision point. The TM framework supports intricate combinations whilst still remaining easily extensible. It also provides a unified trust evaluation interface to the (authorization framework of the) services. We demonstrate the flexibility of the approach by integrating three distinct TM paradigms: reputation-based TM, credential-based TM, and Key Performance Indicator TM. Finally, we discuss privacy concerns in TM systems and the directions to be taken for the definition of a privacy-friendly TM architecture."
"More practical application of Trust management credentials","https://scispace.com/paper/more-practical-application-of-trust-management-credentials-1agqil1rmq","2015","Proceedings Article","Federated Conference on Computer Science and Information Systems","Anna Felkner
Adam Kozakiewicz","10.15439/2015F95","https://scispace.com/pdf/more-practical-application-of-trust-management-credentials-1agqil1rmq.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Defines a formal trust‑management language (RT⁽ᵀ⁾) with inference rules for credential‑based access, but stays at language level without addressing multi‑layer or multi‑concern constraints.","Trust management is an approach to access control in distributed open systems, where access control decisions are based on policy statements made by multiple principals. The family of Role-based Trust management languages (RT) is an effective means for representing security policies and credentials in decentralized, distributed, large scale access control systems. It provides a set of role assignment credentials. A credential provides information about the privileges of users and the security policies issued by one or more trusted authorities. The main purpose of this paper is to show how extensions can make the RT family languages more useful in practice. It shows how security policies can be made more realistic by including timing information, maintaining the procedure or parameterizing the validity of credentials."
