"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Constraining Credential Usage in Logic-Based Access Control","https://scispace.com/paper/constraining-credential-usage-in-logic-based-access-control-24alu4wg2q","2010","Proceedings Article","IEEE Computer Security Foundations Symposium","Lujo Bauer
Limin Jia
Divya Sharma","10.1109/CSF.2010.18","https://scispace.com/pdf/constraining-credential-usage-in-logic-based-access-control-24alu4wg2q.pdf","Authorization logics allow concise specification of flexible access-control policies, and are the basis for logic-based access-control systems. In such systems, resource owners issue credentials to specify policies, and the consequences of these policies are derived using logical inference rules. Proofs in authorization logics can serve as capabilities for gaining access to resources. Because a proof is derived from a set of credentials possibly issued by different parties, the issuer of a specific credential may not be aware of all the proofs that her credential may make possible. From this credential issuer’s standpoint, the policy expressed in her credential may thus have unexpected consequences. To solve this general problem, we propose a system in which credentials can specify constraints on how they are to be used. We show how to modularly extend wellstudied authorization logics to support the specification and enforcement of such constraints. A novelty of our design is that we allow the constraints to be arbitrary well-behaved functions over authorization proofs. Since all the information about an access is contained in the proofs, this makes it possible to express many interesting constraints. We study the formal properties of such a system, and give examples of constraints.","A system in which credentials can specify constraints on how they are to be used is proposed, and it is shown how to modularly extend wellstudied authorization logics to support the specification and enforcement of such constraints."
"A formal architecture for privacy-preserving credential verification using blockchain and zero-knowledge proofs","https://scispace.com/paper/a-formal-architecture-for-privacy-preserving-credential-fjhggf6nrn2u","2025","Journal Article","International Journal of Apllied Mathematics","Kadhim Abdulfadhil Gatea","10.12732/ijam.v38i7s.654","https://scispace.compdf/a-formal-architecture-for-privacy-preserving-credential-fjhggf6nrn2u.pdf","This paper addresses the challenge of designing secure and private digital credentialing systems by leveraging advanced mathematical primitives from applied cryptography. The core of our proposed solution is the application of Zero-Knowledge Proofs (ZKPs), a class of cryptographic protocols that allows for the verification of assertions without disclosing the underlying secret data. We introduce a formal, layered architecture that demonstrates how the mathematical properties of ZKPs can be systematically translated into a robust, large-scale information system. The framework's design is validated against the complex requirements of the academic domain, which serves as a rigorous testbed for our architectural approach. The primary contribution is a blueprint for integrating complex cryptographic protocols into practical system design, demonstrating how mathematical guarantees of privacy can be preserved in a distributed and verifiable manner. This work provides a novel contribution at the intersection of applied cryptography, system architecture, and information security. ",""
"Designing Trustless Identity: A Multi-Layered Framework for Decentralized Verification in Web3 Ecosystems","https://scispace.com/paper/designing-trustless-identity-a-multi-layered-framework-for-jdabd7htkltn","2024","Journal Article","International Journal of Advanced Research in Science, Communication and Technology","Venkata Baladari","10.48175/ijarsct-19392","","As digital interactions continue to shift toward decentralized platforms, the limitations of centralized identity systems such as data silos, lack of user control, and reliance on intermediaries have become increasingly apparent. This research introduces a structured, multi-layered framework to support the design and implementation of trustless digital identity systems aligned with the principles of Web3. The proposed model integrates five core components: standardized identity protocols, regulatory alignment, user-centric design, trusted institutional participation, and enterprise integration through middleware. Each layer addresses critical challenges such as legal recognition, interoperability, usability, and system scalability. By combining decentralized technologies with practical governance and user experience strategies, the framework aims to enable secure, verifiable, and portable identities that function across jurisdictions and platforms. This paper offers a foundational approach to advancing digital identity infrastructure in a way that is technically robust and socially inclusive ","This research proposes a multi-layered framework for trustless digital identity systems in Web3 ecosystems, integrating standardized protocols, regulatory alignment, user-centric design, institutional participation, and enterprise integration to enable secure, verifiable, and portable identities across jurisdictions and platforms."
"Supporting Formal Verification of Crosscutting Concerns","https://scispace.com/paper/supporting-formal-verification-of-crosscutting-concerns-2oua1yp9na","2001","Book Chapter","Lecture Notes in Computer Science","Torsten Nelson
Donald D. Cowan
Paulo S. C. Alencar","10.1007/3-540-45429-2_12","","This paper presents an approach to formal verification of the properties of systems composed of multiple crosscutting concerns. The approach models concerns as sets of concurrent processes, and provides a method of composition that mimics the composition operators of existing multiple-concern implementation languages. A case study demonstrates the composition process and shows how formal verification of different composition strategies can detect potential problems. We also discuss the need for a general model of concerns that can be handled by different formal languages.","This paper presents an approach to formal verification of the properties of systems composed of multiple crosscutting concerns, and provides a method of composition that mimics the composition operators of existing multiple-concern implementation languages."
"Exploring and Conceptualising Attestation","https://scispace.com/paper/exploring-and-conceptualising-attestation-1yaupznroy","2019","Book Chapter","International Conference on Conceptual Structures","Ian Oliver
John Howse
Gem Stapleton
Zohreh Shams
Mateja Jamnik","10.1007/978-3-030-23182-8_10","https://scispace.com/pdf/exploring-and-conceptualising-attestation-1yaupznroy.pdf","When formalising the rules of trust in the remote attestation of TPM-based computer systems it is paramount that the rules are precisely understood, supporting unambiguous communication of information about system requirements between engineers. We present a diagrammatic approach to modelling rules of trust using an extended version of concept diagrams. Within the context of our proof-of-concept Network Function Virtualisation and Attestation environment, these rules allow different level of trust to be explored and, importantly, allow us to identify when a computer system should not be trusted. To ensure that the modelling approach can be applied to general systems, we include generic patterns for extending our domain model and rules of trust. Consequently, through the use of a formal, yet accessible, diagrammatic notation, domain experts can define rules of trust for their systems.","A diagrammatic approach to modelling rules of trust using an extended version of concept diagrams is presented, which allows domain experts to define rules ofTrust for their systems."
"SSI, from Specifications to Protocol? Formally Verify Security!","https://scispace.com/paper/ssi-from-specifications-to-protocol-formally-verify-security-3d1q64oj34","2024","Proceedings Article","","Christoph Braun
R. Horne
Tobias Käfer
Sjouke Mauw","10.1145/3589334.3645426","","We evaluate a bundle of specifications from the Self-Sovereign Identity (SSI) paradigm to construct an authentication protocol for the Web. We demonstrate how relevant standards such as W3C Verifiable Credentials (VC), W3C Decentralised Identifiers (DIDs), and components of the Hyperledger Aries Framework are to be assembled methodologically into a protocol. We make those assumptions from standard trust models explicit that underlie the derived protocol, and verify security and privacy properties, notably secrecy, authentication, and unlinkability. This enables us to formally justify the additional precision that we urge these specifications to consider, to ensure that implementors of SSI-based systems do not neglect security-critical controls.","Formal verification of SSI-based authentication protocol derived from specifications, ensuring security and privacy properties."
"SoK: Trusting Self-Sovereign Identity","https://scispace.com/paper/sok-trusting-self-sovereign-identity-5b4cv5nkx4","2024","Journal Article","arXiv.org","Evan Krul
Hye-Young Paik
Sushmita Ruj
Salil S. Kanhere","10.48550/arxiv.2404.06729","","Digital identity is evolving from centralized systems to a decentralized approach known as Self-Sovereign Identity (SSI). SSI empowers individuals to control their digital identities, eliminating reliance on third-party data custodians and reducing the risk of data breaches. However, the concept of trust in SSI remains complex and fragmented. This paper systematically analyzes trust in SSI in light of its components and threats posed by various actors in the system. As a result, we derive three distinct trust models that capture the threats and mitigations identified across SSI literature and implementations. Our work provides a foundational framework for future SSI research and development, including a comprehensive catalogue of SSI components and design requirements for trust, shortcomings in existing SSI systems and areas for further exploration.","Trusting Self-Sovereign Identity (SoK) explores the trust challenges in Self-Sovereign Identity (SSI) systems and proposes three trust models to address them."
"CredTrust: Credential Based Issuer Management for Trust in Self-Sovereign Identity","https://scispace.com/paper/credtrust-credential-based-issuer-management-for-trust-in-2tedv7cz","2022","Proceedings Article","International Congress on Blockchain and Applications","Rahma Bintey Mufiz Mukta
Hye-Young Paik
Qinghua Lu
Salil S. Kanhere","10.1109/Blockchain55522.2022.00053","","Self Sovereign Identity (SSI) facilitates secure issuance and verification of digitised credentials without having to rely on a centralised authority. Most SSI implementations rely on blockchain to take advantage of decentralisation and cryptographic security over the credentials. Given that verifying the authenticity of credentials such as identification papers or proof of qualifications are critical to the system, current SSI solutions, assume the issuers to be “official” entities (e.g., government agencies) who must follow a stringent process to vet their credentials. However, there is no systematic support for directing the same level of trust agencies for individual users who may issue credentials (e.g., delegation of access, consent letter) in the context of business processes. A verifier who relies on user-issued credentials to complete a business process (e.g., a postal worker handing over parcel to someone other than the addressee) bears the risk of accepting these credentials without reliance on a trust agency. This paper proposes CredTrust, a blockchain based SSI framework that allows individual users to be “onboarded” to the platform as a verifiable issuer via the establishment of a trust registry in the blockchain. Our approach utilises the existing SSI credential generation and verification processes to create a “chain of trust” as a trust propagation method. Our evaluation results show that CredTrust is feasible and exhibits minimal overheads when compared with a conventional SSI based credential management system.","This paper proposes CredTrust, a blockchain based SSI framework that allows individual users to be “onboarded” to the platform as a verifiable issuer via the establishment of a trust registry in the blockchain."
"CredTrust: Credential Based Issuer Management for Trust in Self-Sovereign Identity","https://scispace.com/paper/credtrust-credential-based-issuer-management-for-trust-in-3mel4176","2022","Proceedings Article","","","10.1109/blockchain55522.2022.00053","","Self Sovereign Identity (SSI) facilitates secure issuance and verification of digitised credentials without having to rely on a centralised authority. Most SSI implementations rely on blockchain to take advantage of decentralisation and cryptographic security over the credentials. Given that verifying the authenticity of credentials such as identification papers or proof of qualifications are critical to the system, current SSI solutions, assume the issuers to be “official” entities (e.g., government agencies) who must follow a stringent process to vet their credentials. However, there is no systematic support for directing the same level of trust agencies for individual users who may issue credentials (e.g., delegation of access, consent letter) in the context of business processes. A verifier who relies on user-issued credentials to complete a business process (e.g., a postal worker handing over parcel to someone other than the addressee) bears the risk of accepting these credentials without reliance on a trust agency. This paper proposes CredTrust, a blockchain based SSI framework that allows individual users to be “onboarded” to the platform as a verifiable issuer via the establishment of a trust registry in the blockchain. Our approach utilises the existing SSI credential generation and verification processes to create a “chain of trust” as a trust propagation method. Our evaluation results show that CredTrust is feasible and exhibits minimal overheads when compared with a conventional SSI based credential management system. ","CredTrust as mentioned in this paper is a blockchain based self-sovereign identity (SSI) framework that allows individual users to be onboarded to the platform as a verifiable issuer via the establishment of a trust registry in the blockchain."
"Fortifying the Agentic Web: A Unified Zero-Trust Architecture Against Logic-layer Threats","https://scispace.com/paper/fortifying-the-agentic-web-a-unified-zero-trust-architecture-14qcdlg9aqga","2025","Journal Article","arXiv.org","Ken Huang
Yasir Mehmood
Hammad Atta
Jerry Huang
M. Baig
Sree Bhargavi Balija","10.48550/arxiv.2508.12259","https://scispace.compdf/fortifying-the-agentic-web-a-unified-zero-trust-architecture-14qcdlg9aqga.pdf","This paper presents a Unified Security Architecture that fortifies the Agentic Web through a Zero-Trust IAM framework. This architecture is built on a foundation of rich, verifiable agent identities using Decentralized Identifiers (DIDs) and Verifiable Credentials (VCs), with discovery managed by a protocol-agnostic Agent Name Service (ANS). Security is operationalized through a multi-layered Trust Fabric which introduces significant innovations, including Trust-Adaptive Runtime Environments (TARE), Causal Chain Auditing, and Dynamic Identity with Behavioral Attestation. By explicitly linking the LPCI threat to these enhanced architectural countermeasures within a formal security model, we propose a comprehensive and forward-looking blueprint for a secure, resilient, and trustworthy agentic ecosystem. Our formal analysis demonstrates that the proposed architecture provides provable security guarantees against LPCI attacks with bounded probability of success.","This paper proposes a unified zero-trust architecture for the Agentic Web, leveraging Decentralized Identifiers, Verifiable Credentials, and a Trust Fabric with innovations like Trust-Adaptive Runtime Environments and Causal Chain Auditing to prevent LPCI attacks with provable security guarantees."
