"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"From Model to Mechanism: Enforcing Delegated Authority in SSI with Language-Based Security","https://scispace.com/paper/from-model-to-mechanism-enforcing-delegated-authority-in-ssi-2r01zx7o705g","2025","Journal Article","Mathematics","Muhamed Turkanović
Vid Keršič
Alen Horvat
Dominik Beron
Špela Čučko","10.3390/math13182971","","… between users was represented in custom-made domain-specific languages (DSL) [24,25]. Representing delegation with DSL was also proposed for VCs by Hyperledger Aries using …","Delegation of authority remains a critical yet insufficiently addressed capability in Self-Sovereign Identity (SSI) systems. Building on an existing delegation model that introduced the concept of a Verifiable Mandate (VM) for expressing authority and access rights, this paper extends the approach with a rigorous formalization of delegation semantics, enabling unambiguous reasoning over roles, grants, and constraints. The formal model is aligned with standards from the World Wide Web Consortium (W3C), and its constructs are embedded into an extended credential schema that preserves compatibility with the Verifiable Credentials (VC) data model while introducing delegation-specific attributes. A generalized VM schema is defined, supporting both generic and business-specific instantiations, and ensuring structural and semantic interoperability. Policy compliance is operationalized through a policy-based enforcement architecture, where rules are authored in the Rego language and evaluated at runtime by the Open Policy Agent (OPA). The architecture incorporates trusted registries for schema and policy distribution, allowing verifiers to define and enforce context-specific delegation rules in a modular and interoperable manner. Validation through realistic scenarios, such as postal service and academic use cases, demonstrates how formal semantics, schema validation, and language-based policy enforcement can be combined to enable secure, verifiable, and context-aware delegation in SSI ecosystems. "
"Towards a catalogue of self-sovereign identity design patterns","https://scispace.com/paper/towards-a-catalogue-of-self-sovereign-identity-design-3pwvt0ks","2023","Journal Article","Applied Sciences","Spela Cucko
Vid Kersic
Muhamed Turkanović","10.3390/app13095395","https://scispace.com/pdf/towards-a-catalogue-of-self-sovereign-identity-design-3pwvt0ks.pdf","… high quality, and the broader adoption of SSI solutions. Hence, the main objective … SSI ecosystems by reviewing and analysing the literature, technical documentation, and existing SSI …","Self-sovereign identity (SSI) is a user-centric, decentralised identity approach that provides a means for identification, authentication, and authorisation without the involvement of external entities, responsible for identity provisioning and management in current centralised and federated approaches. In general, the basic building blocks of an SSI system include decentralised identifiers, verifiable credentials, identity wallets, a verifiable data registry, and three main actors: issuer, identity holder, and verifier. Even though the SSI field is dominated by proposals, SSI systems can be implemented in different ways, which is reflected in the absence of a well-defined architecture. Thus, the best implementation is still a matter of research, the requirements of the individual system, and its field of application. However, well-designed and implemented systems are crucial to avoiding failures, speeding up the development process, ensuring high quality, and the broader adoption of SSI solutions. Hence, the main objective of this study was to identify design patterns and good practices of the SSI ecosystems by reviewing and analysing the literature, technical documentation, and existing SSI implementations. Therefore, the study is built on existing knowledge, and presents a comprehensive catalogue of thirty-five SSI design patterns that can serve as a starting point for a possible SSI system design."
"ChorSSI: A Model-Driven Framework for Self-Sovereign Identity Systems on Blockchain","https://scispace.com/paper/chorssi-a-model-driven-framework-for-self-sovereign-identity-xtl2uy62txar","","Journal Article","","T. Cippitelli
Alessandro Marcelletti
Andrea Morichetta","10.18417/emisa.19.9","https://emisa-journal.org/emisa/article/view/331/221","… SSI paradigm, particularly for users lacking expertise in the domain. To simplify the development and usability of SSI … that supports the modelling of an SSI system and the execution of …",""
"Analyzing the threats to blockchain-based self-sovereign identities by conducting a literature survey","https://scispace.com/paper/analyzing-the-threats-to-blockchain-based-self-sovereign-4lmt8z48lh","2023","Journal Article","Applied Sciences","Daniela Pöhn
Michael Grabatin
Wolfgang Hommel","10.3390/app14010139","","… This is shown by a brief security analysis of selected existing SSI wallets. In order to get a … of SSI and elements applied by SSI. We then evaluate their application to current SSI systems …","Self-sovereign identity (SSI) is a digital identity management model managed in a decentralized manner. It allows identity owners to manage and store their digital identities in a software wallet, for example, on a smartphone, without relying on centralized providers. This approach tries to enhance the security and privacy of digital identities and, thereby, their owners. With the new eIDAS regulation, elements of SSI, such as the wallet, are being pushed onto the market. However, since the model is relatively new, the security threats are still not fully known. This is shown by a brief security analysis of selected existing SSI wallets. In order to get a picture of the known threats, we systematically analyze and categorize related work in the field of SSI and elements applied by SSI. We then evaluate their application to current SSI systems and identify future work. "
"Towards the classification of self-sovereign identity properties","https://scispace.com/paper/towards-the-classification-of-self-sovereign-identity-8ioira11","2022","Journal Article","IEEE Access","Š Čučko
Š Bećirović
A Kamišalić
S Mrdović","10.1109/access.2022.3199414","https://ieeexplore.ieee.org/iel7/6287639/9668973/09858139.pdf","… We believe legacy systems will become obsolete and be replaced gradually by SSI systems, but their compatibility with SSI is more convenient in the early stages of adoption. Therefore…","Self-Sovereign Identity (SSI) is a novel and emerging, decentralized digital identity approach that enables entities to control and manage their digital identifiers and associated identity data fully while enhancing trust, privacy, security, and the many other properties identified and analyzed in this paper. The paper provides an overview and classification of the SSI properties, focusing on an in-depth analysis, furthermore, presenting a comprehensive collection of SSI properties that are important for the implementation of the SSI system. In addition, it explores the general SSI process flow, and highlights the steps in which individual properties are important. After the initial purification and classification phase, we then validated properties among experts in the field of Decentralized and Self-Sovereign Identity Management using an online questionnaire, which resulted in a final set of classified and verified SSI properties. The results can be used for further work on definition and standardization of the SSI field. "
"A Method for Detecting Common Weaknesses in Self-Sovereign Identity Systems Using Domain-Specific Models and Knowledge Graph.","https://scispace.com/paper/a-method-for-detecting-common-weaknesses-in-self-sovereign-28egrn4e","2022","Proceedings Article","International Conference on Model-Driven Engineering and Software Development","Charnon Pattiyanon
Toshiaki Aoki
Daisuke Ishii","10.5220/0010824900003119","https://www.scitepress.org/PublishedPapers/2022/108249/108249.pdf","… Then, we conduct a domain analysis to develop linkages between the SSI … SSI system’s native properties using a DSML that is both versatile and comprehensive for modeling the SSI …",": A Self-Sovereign Identity (SSI) system is a decentralized identity management system based on claims that leverages blockchain technology to empower individuals to manage their personal information and au-tonomously authenticate services. The SSI system is unique in that it makes use of disparate terminologies, making analysis arduous and challenging for security specialists. Weakness analysis is a well-known security assurance technique for determining the presence of weaknesses in a target system. Weakness analysis is cru-cial to the deployment of the SSI system in that it can earn user trust and be verified secure if the majority of detected weaknesses are addressed properly. We seek to leverage domain experience in this work to lessen the effort required to analyze weaknesses by security specialists unfamiliar with the SSI system. This paper presents two domain-specific modeling languages (DSMLs) based on the unified modeling language (UML) communication diagram for embedding domain knowledge about the SSI system and common weaknesses. Then, with the assistance of domain knowledge graphs, this paper presents a method for detecting weaknesses in the links between the two models created by the proposed DSMLs. Precision and accuracy metrics are used to determine the proposed method’s performance."
"Modeling self-sovereign identity governance framework","https://scispace.com/paper/R9FQFQt_Ym8J","","","","M Sroor","","https://jyx.jyu.fi/bitstreams/94be7e88-50f8-49d1-b759-db1342725224/download","… the SSI principles and the evaluation specifications for SSI. The third section introduces governance and how it can be viewed in the SSI … DSL is the first and most critical part of the …",""
"Decentralized and self-sovereign identity: Systematic mapping study","https://scispace.com/paper/decentralized-and-self-sovereign-identity-systematic-mapping-3j5m4rt3dp","2021","Journal Article","IEEE Access","Spela Cucko
Muhamed Turkanović","10.1109/ACCESS.2021.3117588","https://ieeexplore.ieee.org/iel7/6287639/6514899/09558805.pdf","… Allen [22] proposed ten guiding principles of SSI laying out the requirements for SSI system. … as a set of objectives that SSI systems should achieve. Thus, SSI is not dependent on a …","Self-Sovereign Identity is an emerging, user-centric, decentralized identity approach utilizing some form of decentralized technology. It provides a means for digital identification without reliance on any external authority, enabling entities to control their identity and data flow during digital interactions while enhancing security and privacy. With the rise of blockchain technology, Self-Sovereign Identity is gathering momentum in academia and industry while the number of research papers increases rapidly. However, Self-Sovereign Identity is still a young unstructured field in its early stages of research. Thus, a systematic mapping methodology was adopted to provide a coarse-grained overview of decentralized and Self-Sovereign Identity and structure the research area by identifying, analyzing, and classifying the research papers according to predefined parameters, which is to say according to their contribution, application domain, IT field, research type, research method, and place of publication. Furthermore, the nature and scope of the research were determined, while existing research topics, gained insights into trends, demographics, challenges, gaps, and opportunities for future research were also presented. The results suggest that validation research and solution proposals prevail, addressing decentralized identity in a general matter. Papers mainly propose systems/solutions, architectures, and frameworks, focusing on authentication, security, privacy, and trust, while there are hardly any studies researching usability, user experience, patterns, and good practices."
"Framework for Self-Sovereign Identity","https://scispace.com/paper/4encBiYbB3UJ","","","","T Cippitelli
A Marcelletti","","","… modelling of an SSI system and the execution of the related interactions. The design relies on BPMN choreography diagrams, permitting the representation of SSI interactions between …",""
"SSL-XIoMT: Secure, scalable, and lightweight cross-domain IoMT sharing with SSI and ZKP authentication","https://scispace.com/paper/ssl-xiomt-secure-scalable-and-lightweight-cross-domain-iomt-dcgl337cooph","","Journal Article","IEEE open journal of the Computer Society","Lyhour Hak
Somchart Fugkeaw","10.1109/ojcs.2025.3570087","https://ieeexplore.ieee.org/iel8/8782664/9024218/11003572.pdf","… SSL-XIoMT, an optimized SSI and ZKP authentication framework within a consortium Hyperledger-based environment. This innovative system integrates SSI under advanced Zero-…",""
