"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"RDF-Based Semantics for Selective Disclosure and Zero-Knowledge Proofs on Verifiable Credentials","https://scispace.com/paper/rdf-based-semantics-for-selective-disclosure-and-zero-cmgcpjhrc1fm","","Journal Article","","Christoph Braun
Tobias Käfer","10.1007/978-3-031-94575-5_21","","- **Relevance Score:** 91/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses RDF/OWL semantics to model VC structures, directly formalizes core VC concepts, provides detailed ontology and alignment tables, but focuses on privacy extensions rather than broad use‑case coverage.",""
"Design Space Exploration of Verifiable Credential Schemas using Partial Graph Modeling","https://scispace.com/paper/d8jZnNm0j3YJ","","","","M Farkas
BZ Péter
I Kocsis","","https://www.inf.u-szeged.hu/~cscs/cscs2024/pdf/cscs2024.pdf#page=36","- **Relevance Score:** 56/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses a partial graph metamodel to formalize VC schemas, provides detailed mapping of graph elements to VC concepts, but offers limited overall VC data model description.",""
"Towards a standardized model for privacy-preserving Verifiable Credentials","https://scispace.com/paper/towards-a-standardized-model-for-privacy-preserving-pyi8iztqfl","2021","Proceedings Article","Availability, Reliability and Security","Jesús García-Rodríguez
Rafael Torres Moreno
Jorge Bernal Bernabe
Antonio F. Skarmeta","10.1145/3465481.3469204","","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses a validation meta‑schema to formalize predicates, provides a proof‑of‑concept OLYMPUS integration with VC serialization, offers integration guidelines, but lacks full VC model formalization and detailed mapping.","Lack of standardization and the subsequent difficulty of integration has been one of the main reasons for the scarce adoption of privacy-preserving Attribute-Based Credentials (p-ABC). Integration with the W3C’s Verifiable Credentials (VC) specification would help by encouraging homogenization between different p-ABC schemes and bringing them all closer to other digital credentials. What is more, p-ABCs can help to solve privacy issues that have been identified in applications of VCs to use cases like vaccination passports. However, there has not been much work focusing on the collaboration between p-ABCs and VCs. We address this topic by establishing initial steps for extra standardization of elements that will help with the integration of p-ABCs into the standard. Namely, we propose a data model for predicates, which are a staple of p-ABC systems, and tools and guidelines to ease the adaptation process like a validation meta-schema. These ideas have been applied in a proof-of-concept implementation of the OLYMPUS distributed p-ABC scheme paired with serialization following the VC data model."
"A Survey on Decentralized Identifiers and Verifiable Credentials","https://scispace.com/paper/http://arxiv.org/abs/2402.02455v2","2024","Preprint","","Carlo Mazzocca
Abbas Acar
Selcuk Uluagac
Rebecca Montanari
Paolo Bellavista
Mauro Conti","10.1109/COMST.2025.3543197","https://arxiv.org/pdf/2402.02455v2","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Offers comprehensive VC overview and discusses adoption challenges, but provides no formal model, ontology, mapping, or tooling.","Digital identity has always been considered the keystone for implementing secure and trustworthy communications among parties. The ever-evolving digital landscape has gone through many technological transformations that have also affected the way entities are digitally identified. During this digital evolution, identity management has shifted from centralized to decentralized approaches. The last era of this journey is represented by the emerging Self-Sovereign Identity (SSI), which gives users full control over their data. SSI leverages decentralized identifiers (DIDs) and verifiable credentials (VCs), which have been recently standardized by the World Wide Web Community (W3C). These technologies have the potential to build more secure and decentralized digital identity systems, remarkably contributing to strengthening the security of communications that typically involve many distributed participants. It is worth noting that the scope of DIDs and VCs extends beyond individuals, encompassing a broad range of entities including cloud, edge, and Internet of Things (IoT) resources. However, due to their novelty, existing literature lacks a comprehensive survey on how DIDs and VCs have been employed in different application domains, which go beyond SSI systems. This paper provides readers with a comprehensive overview of such technologies from different perspectives. Specifically, we first provide the background on DIDs and VCs. Then, we analyze available implementations and offer an in-depth review of how these technologies have been employed across different use-case scenarios. Furthermore, we examine recent regulations and initiatives that have been emerging worldwide. Finally, we present some challenges that hinder their adoption in real-world scenarios and future research directions."
"Formalising Linked-Data based Verifiable Credentials for Selective Disclosure","https://scispace.com/paper/formalising-linked-data-based-verifiable-credentials-for-3tgutv81","2022","Proceedings Article","","","10.1109/eurospw55150.2022.00013","","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Describes VC concepts and selective disclosure; proposes a formal definition but lacks a concrete ontology/metamodel and explicit element‑by‑element mapping.","In this paper, we propose a formal definition for Linked-Data based verifiable credential to enable secure selective disclosure among one or multiple verifiable creden-tials a user has. Previous schemes considered using a single verifiable credential and could not hide the user&#x0027;s identifying information when performing selective disclosure. We pro-pose the first Linked-Data based verifiable credentials that can perform selective disclosure free from the restrictions the previous scheme had, and prove its property. We also discuss a novel use of combining multiple certificates issued by independent issuers to still allow users to perform selective disclosure on the set of credentials. Our scheme has been implemented as an open source Web-based application that generates a verifiable presentation for a given selection of attributes. The performance evaluation is also provided in the paper. "
"Decentralised Digital Identity and Verifiable Credential Tracking and Management System","https://scispace.com/paper/decentralised-digital-identity-and-verifiable-credential-4y1zswj3hw","2023","Proceedings Article","","Sthembile Mthethwa
Tanita Singano
Lungisani Ndlovu
R. Khutlang
Daniel Shadung
Bongani Ngebeni","10.1109/icecet58911.2023.10389306","","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses W3C DIDs and VCs to build a self‑sovereign identity system, but provides no formal ontology, metamodel, or explicit mapping of VC concepts.","Digital identity has rapidly gained interest as organisations strive toward digital transformation. However, the lack of adequate digital identity management mechanisms has become a major concern. Consequently, decentralised digital identities are increasingly being used as a form of credentialing. This requires secure, reliable, scalable and privacy-preserving credential issuance and verification mechanisms to prove the legitimacy of the credential. On the other hand, most existing systems provide centralised solutions that primarily rely on third parties. Meanwhile, these systems do not allow end-users to own, control, and share their credentials with relevant parties. This paper proposes a secure and reliable de centralised digital identity, verifiable credential tracking, and management system. The proposed system guarantees the authenticity and integrity of the user credentials and allows users to selectively share a subset of their verifiable credentials with relevant stakeholders through the model known as self-sovereign identity (SSI). SSI facilitates end users to have sole ownership over the ability to control their accounts and personal data. To achieve the objectives of the study, the proposed system adopts the World Wide Web Consortium (W3C), Decentralised Identifiers (DIDs), Verifiable Credentials (VCs), and Distributed Ledger Technologies (DLTs). The system outperforms competitors in terms of both storage and speed and, thus, delivers exceptional efficiency and interoperability."
"A self-sovereign way to exchange educational credentials","https://scispace.com/paper/a-self-sovereign-way-to-exchange-educational-credentials-3pqptu8d9v","2023","Journal Article","EPiC series in computing","Emmanouil Koukoularis
Vasileios Markopoulos
Nikos Voutsinas","10.29007/ldrn","https://scispace.compdf/a-self-sovereign-way-to-exchange-educational-credentials-3pqptu8d9v.pdf","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses W3C VC and OpenID Connect specs to describe a self‑sovereign credential exchange model, but provides no formal ontology, metamodel, or explicit mapping of VC elements.","In a time of ever-increasing digital transformation, where the amount of data transferred and verified in digital form has vastly increased, new specifications have been released, enabling the exchange of educational credentials in a privacy-respecting manner while maintaining the anonymity of the contributing parties. Hereafter a model is described for educational credentials exchange, built upon the latest W3C and OpenID Connect specifications for Verifiable Credentials and Verifiable Presentations. These emerging technologies and specifications drive the digital transformation towards Web 3.0, while universities can leverage these to provide students and graduates with a secure and self-sovereign method of sharing digital credentials, simplifying the diploma verification process necessary for job applications or when pursuing post-graduate studies. This model encompasses the core principles the next version of the digital diplomas platform of the Greek HEIs (eDiplomas) is based on. "
"Verifiable credentials flavors explained","https://scispace.com/paper/QafKDYNi23MJ","","","","K Young","","https://www.lfph.io/wp-content/uploads/2021/02/Verifiable-Credentials-Flavors-Explained.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses an RDF ontology to model VC flavors, offering a concrete ontology but limited depth on core VC concepts and explicit element‑by‑element mappings.",""
"An Interoperable Access Control System based on Self-Sovereign Identities","https://scispace.com/paper/an-interoperable-access-control-system-based-on-self-jwoq54weixpu","2022","Repository","","","10.5445/ir/1000150884","","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses SHACL to model credential requirements, implements a prototype, but provides limited VC model description and no detailed formal mapping to VC concepts.","The extreme growth of the World Wide Web in the last decade together with recent scandals related to theft or abusive use of personal information have left users unsatisfied withtheir digital identity providers and concerned about their online privacy. Self-SovereignIdentity (SSI) is a new identity management paradigm which gives back control over personal information to its rightful owner - the individual. However, adoption of SSI on theWeb is complicated by the high overhead costs for the service providers due to the lackinginteroperability of the various emerging SSI solutions. In this work, we propose an AccessControl System based on Self-Sovereign Identities with a semantically modelled AccessControl Logic. Our system relies on the Web Access Control authorization rules usedin the Solid project and extends them to additionally express requirements on VerifiableCredentials, i.e., digital credentials adhering to a standardized data model. Moreover,the system achieves interoperability across multiple DID Methods and types of VerifiableCredentials allowing for incremental extensibility of the supported SSI technologies bydesign. A Proof-of-Concept prototype is implemented and its performance as well as multiple system design choices are evaluated: The End-to-End latency of the authorizationprocess takes between 2-5 seconds depending on the used DID Methods and can theoretically be further optimized to 1.5-3 seconds. Evaluating the potential interoperabilityachieved by the system shows that multiple DID Methods and different types of VerifiableCredentials can be supported. Lastly, multiple approaches for modelling required Verifiable Credentials are compared and the suitability of the SHACL language for describingthe RDF graphs represented by the required Linked Data credentials is shown. "
"From Model to Mechanism: Enforcing Delegated Authority in SSI with Language-Based Security","https://scispace.com/paper/from-model-to-mechanism-enforcing-delegated-authority-in-ssi-2r01zx7o705g","2025","Journal Article","Mathematics","Muhamed Turkanović
Vid Keršič
Alen Horvat
Dominik Beron
Špela Čučko","10.3390/math13182971","","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Extends VC schema with delegation, formalizes semantics, provides OPA‑based enforcement; offers prototype and case studies but formal VC model coverage is limited.","Delegation of authority remains a critical yet insufficiently addressed capability in Self-Sovereign Identity (SSI) systems. Building on an existing delegation model that introduced the concept of a Verifiable Mandate (VM) for expressing authority and access rights, this paper extends the approach with a rigorous formalization of delegation semantics, enabling unambiguous reasoning over roles, grants, and constraints. The formal model is aligned with standards from the World Wide Web Consortium (W3C), and its constructs are embedded into an extended credential schema that preserves compatibility with the Verifiable Credentials (VC) data model while introducing delegation-specific attributes. A generalized VM schema is defined, supporting both generic and business-specific instantiations, and ensuring structural and semantic interoperability. Policy compliance is operationalized through a policy-based enforcement architecture, where rules are authored in the Rego language and evaluated at runtime by the Open Policy Agent (OPA). The architecture incorporates trusted registries for schema and policy distribution, allowing verifiers to define and enforce context-specific delegation rules in a modular and interoperable manner. Validation through realistic scenarios, such as postal service and academic use cases, demonstrates how formal semantics, schema validation, and language-based policy enforcement can be combined to enable secure, verifiable, and context-aware delegation in SSI ecosystems. "
