"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Towards a standardized model for privacy-preserving verifiable credentials","https://scispace.com/paper/towards-a-standardized-model-for-privacy-preserving-pyi8iztqfl","2021","Proceedings Article","Availability, Reliability and Security","Jesús García-Rodríguez
Rafael Torres Moreno
Jorge Bernal Bernabe
Antonio F. Skarmeta","10.1145/3465481.3469204","https://dl.acm.org/doi/pdf/10.1145/3465481.3469204","… propose a data model for representing predicates over attributes in Verifiable Credentials and … This system is not a novel idea, but a formalization of the natural entities and processes for …","Lack of standardization and the subsequent difficulty of integration has been one of the main reasons for the scarce adoption of privacy-preserving Attribute-Based Credentials (p-ABC). Integration with the W3C’s Verifiable Credentials (VC) specification would help by encouraging homogenization between different p-ABC schemes and bringing them all closer to other digital credentials. What is more, p-ABCs can help to solve privacy issues that have been identified in applications of VCs to use cases like vaccination passports. However, there has not been much work focusing on the collaboration between p-ABCs and VCs. We address this topic by establishing initial steps for extra standardization of elements that will help with the integration of p-ABCs into the standard. Namely, we propose a data model for predicates, which are a staple of p-ABC systems, and tools and guidelines to ease the adaptation process like a validation meta-schema. These ideas have been applied in a proof-of-concept implementation of the OLYMPUS distributed p-ABC scheme paired with serialization following the VC data model."
"RDF-Based Semantics for Selective Disclosure and Zero-Knowledge Proofs on Verifiable Credentials","https://scispace.com/paper/rdf-based-semantics-for-selective-disclosure-and-zero-cmgcpjhrc1fm","","Journal Article","","Christoph Braun
Tobias Käfer","10.1007/978-3-031-94575-5_21","","… Our work connects the W3C Verifiable Credentials (VC) data model and zero-knowledge … We then present a data model for credential presentation and its semantics, where we show …",""
"Mapping the W3C Provenance Ontology (PROV-O) to the Basic Formal Ontology (BFO): Epistemological Considerations and Preliminary Implementation","https://scispace.com/paper/mapping-the-w3c-provenance-ontology-prov-o-to-the-basic-4idxhjm3m2","2024","Journal Article","","Tyler Procko
Omar Ochoa","10.2139/ssrn.4852748","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4852748","… group, under the auspices of the W3C, completed its work on the PROV Data Model (PROV-DM), producing an OWL serialization of the Provenance Ontology called PROV-O, along …",""
"Verifiable credentials flavors explained","https://scispace.com/paper/QafKDYNi23MJ","","","","K Young","","https://www.lfph.io/wp-content/uploads/2021/02/Verifiable-Credentials-Flavors-Explained.pdf","… A common standardized data model enables standardized credential packaging, … part of the name-value pair to an RDF ontology. What is an RDF ontology? It is a knowledge graph that …",""
"SolidVC: a decentralized framework for Verifiable Credentials on the web","https://scispace.com/paper/solidvc-a-decentralized-framework-for-verifiable-credentials-3jmff94pd2","2019","Dissertation","","Kayode Yadilichi. Ezike","","https://dspace.mit.edu/bitstream/handle/1721.1/121667/1102055877-MIT.pdf?sequence=1&isAllowed=y","… Consortium (W3C) proposed a specification for what is now the Verifiable Credentials Data Model. This … In SolidVC, I represent credentials with a custom ontology called svc [5]. This …","Credentials are an integral part of our lives, as they express our capabilities and enable access to restricted services and benefits. In the early 2010s, the Verifiable Claims Working Group of the World Wide Web Consortium (W3C) proposed a specification for what is now the Verifiable Credentials Data Model. This living specification, which is still in development, outlines a cogent framework for the issuance, storage, presentation, and verification of credentials on the Web. Many of the leading Verifiable Credentials projects leverage Distributed Ledger Technology (DLT), potentially compromising Web interoperability and sometimes exposing otherwise personal data. SolidVC is a decentralized Verifiable Credentials platform built with the open protocols of the Web. It is implemented on top of Solid, a Web framework developed at MIT in 2016 that allows decentralized applications to interact with personal user data to provide services in an access controlled environment. Thesis Supervisor: Lalana Kagal Title: Principal Research Scientist"
"The W3C PROV family of specifications for modelling provenance metadata","https://scispace.com/paper/the-w3c-prov-family-of-specifications-for-modelling-1e0oodgcbt","2013","Proceedings Article","Extending Database Technology","Paolo Missier
Khalid Belhajjame
James Cheney","10.1145/2452376.2452478","https://dl.acm.org/doi/pdf/10.1145/2452376.2452478","… interoperability, and with a formal semantics. At the core of the family is a data model [PROV-DM]… The model is expressed as an OWL ontology [PROV-O] but a humanreadable relational …","Provenance, a form of structured metadata designed to record the origin or source of information, can be instrumental in deciding whether information is to be trusted, how it can be integrated with other diverse information sources, and how to establish attribution of information to authors throughout its history. The PROV set of specifications, produced by the World Wide Web Consortium (W3C), is designed to promote the publication of provenance information on the Web, and offers a basis for interoperability across diverse provenance management systems. The PROV provenance model is deliberately generic and domain-agnostic, but extension mechanisms are available and can be exploited for modelling specific domains. This tutorial provides an account of these specifications. Starting from intuitive and informal examples that present idiomatic provenance patterns, it progressively introduces the relational model of provenance along with the constraints model for validation of provenance documents, and concludes with example applications that show the extension points in use."
"Design Space Exploration of Verifiable Credential Schemas using Partial Graph Modeling","https://scispace.com/paper/d8jZnNm0j3YJ","","","","M Farkas
BZ Péter
I Kocsis","","https://www.inf.u-szeged.hu/~cscs/cscs2024/pdf/cscs2024.pdf#page=36","… data model can be expressed as subject-property-value relationships, and thus verifiable credentials … We define a generic metamodel and predicate set 2, which generates models that …",""
"A practical approach to ontology-based data modelling for semantic interoperability","https://scispace.com/paper/qSXuXgk9wV4J","","","","T Hagelien
H Preisig
J Friis
P Klein","","https://www.researchgate.net/profile/Peter-Klein-18/publication/350293557_A_Practical_Approach_to_Ontology-Based_Data_Modelling_for_Semantic_Interoperability/links/605ce657a6fdccbfea0844fb/A-Practical-Approach-to-Ontology-Based-Data-Modelling-for-Semantic-Interoperability.pdf","… Ontologies in computational science are usually constructed by a set of semantic triples or Resource Description Framework (RDF) triples, as specified by the W3C … data model ontology. …",""
"Query-driven verification of data integration in the RDF data model","https://scispace.com/paper/query-driven-verification-of-data-integration-in-the-rdf-1ayicw2x","2023","Journal Article","Lobachevskii Journal of Mathematics","Sergey A. Stupnikov","10.1134/S1995080223010389","https://www.academia.edu/download/106843573/Stupnikov.pdf","… The method applies formal specification language based … W3C for the representation of data on the Web in a machine-accessible format. The RDF is chosen as the unifying data model …",""
"Provenance data models and assertions: a demonstrative approach","https://scispace.com/paper/provenance-data-models-and-assertions-a-demonstrative-4z1w3p3eel","2021","Book Chapter","","Rajiv Pandey
Mrinal Pande","10.1007/978-3-030-64619-6_5","https://www.academia.edu/download/110611954/978-3-030-64619-6_5.pdf","… assertions for provenance on a University Ontology using the PROV-DM data model. … The latest recommendation by W3C in Time Ontology [6] has also not exploited provenance to its …","Provenance as perceived is a trail of a piece of a data item that helps in linking derived pieces of web resources or Internet of Everything (IoE) data to its creators. Provenance allows the software agents and developers to assert that devices across the IoE landscape can be made trustworthy if the same has a valid derivation path that is associated with it and is reliable/trustworthy. Provenance is considered as metadata that must be embedded into an OWL ontology, this metadata supports the semantic agents/reasoners to evaluate the data or workflow trail of the item in question. Contemporary researchers have proposed several models of trust that are based on mathematical calculations, however, the implementation of trust on semantically generated and modified documents i.e. ontologies at large is still evolving. This chapter thus aims to discuss, deliberate, and implement trust in an existing ontology using provenance assertions. This implementation of trust is based on the PROV-DM (Data Model) that has been suggested by the World Wide Web consortium. The chapter illustrates the implementation and inferencing of trust embedded in an OWL-based University Ontology. Provenance assertions using various scenarios and their inference have been highlighted to signify the validity and consistency of the ontology an XML serialized dataset."
"A provenance model for quantified self data","https://scispace.com/paper/a-provenance-model-for-quantified-self-data-kyzq3q8eub","2016","Book Chapter","International Conference on Universal Access in Human-Computer Interaction","Andreas Schreiber","10.1007/978-3-319-40250-5_37","https://elib.dlr.de/110536/1/20160721%20A%20Provenance%20Model%20for%20Quantified%20Self%20Data.pdf","… We provided an ontology and a provenance data model for Quantified Self data. Both are based on the open W3C standards PROV-O and PROV-DM. The provenance model reflects all …","Quantified Self became popular in recent years. People are tracking themselves with Wearables, smartphone apps, or desktop applications. They collect, process and store huge amounts of personal data for medical and other reasons. Due to the complexity of different data sources, apps, and cloud services, it is hard to follow the data flow and to have trust in data integrity and safety. We present a solution that helps to get insight in Quantified Self data flows and to answer questions related to data security. We provide a provenance model for Quantified Self data based on the W3C standard PROV. Using that model, developers and users can record provenance of Quantified Self apps and services with a standardized notation. We show the feasibility of the presented provenance model with a small workflow using steps data from Fitbit fitness tracker."
"Prov-dm: The prov data model","https://scispace.com/paper/prov-dm-the-prov-data-model-5greedzs90","2013","","","Khalid Belhajjame
Reza B'Far
James Cheney
Sam Coppens
Stephen Cresswell
Yolanda Gil
Paul Groth
Graham Klyne
Timothy Lebo
James P. McCusker
Simon Miles
James D. Myers
Satya S. Sahoo
Curt Tilmes","","https://travesia.mcu.es/bitstream/10421/7483/1/PROV-DM.pdf","… PROV-DM is the conceptual data model that forms a basis for the W3C provenance (PROV) family of specifications. PROV-DM distinguishes core structures, forming the essence of …","Provenance is information about entities, activities, and people involved in producing a piece of data or thing, which can be used to form assessments about its quality, reliability or trustworthiness. PROV-DM is the conceptual data model that forms a basis for the W3C provenance (PROV) family of specifications. PROV-DM distinguishes core structures, forming the essence of provenance information, from extended structures catering for more specific uses of provenance. PROV-DM is organized in six components, respectively dealing with: (1) entities and activities, and the time at which they were created, used, or ended; (2) derivations of entities from entities; (3) agents bearing responsibility for entities that were generated and activities that happened; (4) a notion of bundle, a mechanism to support provenance of provenance; (5) properties to link entities that refer to the same thing; and, (6) collections forming a logical structure for its members. This document introduces the provenance concepts found in PROV and defines PROV-DM types and relations. The PROV data model is domain-agnostic, but is equipped with extensibility points allowing domain-specific information to be included. Two further documents complete the specification of PROV-DM. First, a companion document specifies the set of constraints that provenance should follow. Second, a separate document describes a provenance notation for expressing instances of provenance for human consumption; this notation is used in examples in this document."
"Designing the W3C open annotation data model","https://scispace.com/paper/designing-the-w3c-open-annotation-data-model-52w0fbep7m","2013","Proceedings Article","Web Science","Robert Sanderson
Paolo Ciccarese
Herbert Van de Sompel","10.1145/2464464.2464474","https://dl.acm.org/doi/pdf/10.1145/2464464.2464474","… During the process of designing the Open Annotation data model, more than 50 existing systems and ontologies were researched2 and mappings generated where possible to ensure …","The Open Annotation Core Data Model specifies an interoperable framework for creating associations between related resources, called annotations, using a methodology that conforms to the Architecture of the World Wide Web. Open Annotations can easily be shared between platforms, with sufficient richness of expression to satisfy complex requirements while remaining simple enough to also allow for the most common use cases, such as attaching a piece of text to a single web resource. This paper presents the W3C Open Annotation Community Group specification and the rationale behind the scoping and technical decisions that were made. It also motivates interoperable Annotations via use cases, and provides a brief analysis of the advantages over previous specifications."
"W3C PROV to describe provenance at the dataset, feature and attribute levels in a distributed environment","https://scispace.com/paper/w3c-prov-to-describe-provenance-at-the-dataset-feature-and-42e12n8j8p","2017","Journal Article","Computers, Environment and Urban Systems","Guillem Closa
Joan Masó
Benjamin Proß
Xavier Pons","10.1016/J.COMPENVURBSYS.2017.01.008","https://scispace.com/pdf/w3c-prov-to-describe-provenance-at-the-dataset-feature-and-42e12n8j8p.pdf","… W3C PROV provenance model to the geospatial environment is presented. As a proof of concept, we provide an application of W3C … based on the W3C PROV ontology at the feature …",""
"Extensible unifying data model design for data integration in FAIR data infrastructures","https://scispace.com/paper/extensible-unifying-data-model-design-for-data-integration-4azif1qw84","2018","Book Chapter","","Sergey A. Stupnikov
Leonid A. Kalinichenko","10.1007/978-3-030-23584-0_2","","… The OWL reference schema is developed on the basis of W3C … way formalization of data model semantics means a construction of transformations of source and canonical data model …","According to the Open Science paradigm data sources are to be concentrated within research data infrastructures intended to support the whole cycle of data management and processing. FAIR data management and stewardship principles that had being developed and announced recently state that data within a data infrastructure have to be findable, accessible, interoperable and reusable. Note that data sources can be quite heterogeneous and represented using very different data models. Variety of data models includes traditional relational model and its object-relational extensions, array and graph-based models, semantic models like RDF and OWL, models for semi-structured data like NoSQL, XML, JSON and so on. This particular paper overviews data model unification techniques considered as a formal basis for (meta)data interoperability, integration and reuse within FAIR data infrastructures. These techniques are intended to deal with heterogeneity of data models and their data manipulation languages used to represent data and provide access to data in data sources. General principles of data model unification, languages and formal methods required, stages of data model unification are considered and illustrated by examples. Application of the techniques for data integration within FAIR data infrastructures is discussed."
"The international data spaces information model–an ontology for sovereign exchange of digital content","https://scispace.com/paper/kOewZdmlJZsJ","","","","S Bader
J Pullmann
C Mader
S Tramp
C Quix","","https://publica.fraunhofer.de/bitstreams/c32e0ad6-f6d2-4119-9e50-e9200fa46a59/download","… website supplying the ontology documentation page, generated in W3C style by Widoco … To the best of our knowledge, no other data model supports such a holistic approach and …",""
"MDE-Based Graphical Tool for Modeling Data Provenance According to the W3C PROV Standard.","https://scispace.com/paper/mde-based-graphical-tool-for-modeling-data-provenance-gshd7n81cy","","Journal Article","","Marcos Alves Vieira
Sergio Carvalho","10.5220/0012354700003645","https://www.researchgate.net/profile/Marcos-Alves-Vieira/publication/378366051_MDE-Based_Graphical_Tool_for_Modeling_Data_Provenance_According_to_the_W3C_PROV_Standard/links/65df3cdcc3b52a1170fc6bab/MDE-Based-Graphical-Tool-for-Modeling-Data-Provenance-According-to-the-W3C-PROV-Standard.pdf","… In the first stage of the graphical data provenance modeling tool development, we transformed the PROV data model into a cohesive Ecore metamodel, serving as the foundational …",""
