"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Formal verification of the W3C web authentication protocol","https://scispace.com/paper/formal-verification-of-the-w3c-web-authentication-protocol-q89zwsdkah","2018","Proceedings Article","","Iness Ben Guirat
Harry Halpin","10.1145/3190619.3190640","https://scispace.com/pdf/formal-verification-of-the-w3c-web-authentication-protocol-q89zwsdkah.pdf","The science of security can be set on firm foundations via the formal verification of protocols. New protocols can have their design validated in a mechanized manner for security flaws, allowing protocol designs to be scientifically compared in a neutral manner. Given that these techniques have discovered critical flaws in protocols such as TLS 1.2 and are now being used to re-design protocols such as TLS 1.3, we demonstrate how formal verification can be used to analyze new protocols such as the W3C Web Authentication API. We model W3C Web Authentication with the formal verification language ProVerif, showing that the protocol itself is secure. However, we also stretch the boundaries of formal verification by trying to verify the privacy properties of W3C Web Authentication given in terms of the same origin policy. We use ProVerif to show that without further mandatory requirements in the specification, the claimed privacy properties do not hold. Next steps on how formal verification can be further integrated into standards and the further development of the privacy properties of W3C Web Authentication is outlined.","Title: Formal Verification of the W3C Web Authentication Protocol Authors: Iness Ben Guirat,Harry Halpin Keywords: formal verification, ProVerif, authentication, W3C Web Authentication, science of security"
"Uma arquitetura para sistemas de busca semântica para recuperação de informações em repositórios de biodiversidade","https://scispace.com/paper/uma-arquitetura-para-sistemas-de-busca-semantica-para-2qw74at39o","2014","Dissertation","","Flor K. Amanqui","10.11606/D.55.2014.TDE-03072014-150009","https://scispace.com/pdf/uma-arquitetura-para-sistemas-de-busca-semantica-para-2qw74at39o.pdf","","utiliza ontologias e mecanismos de inferência para explorar o conhecimento do domínio e compartilhar a mesma estrutura de informação entre pessoas e agentes de software no processo de recuperação de documentos. Ontologias:
 O W3C afirma que as ontologias são a tecnologia de consolidação para a construção da Web Semântica. O termo é emprestado da Filosofia, em que uma ontologia é um relato sistemático da existência.  define ontologia como uma especificação formal e explícita de uma conceituação compartilhada. Conceituação se refere a um modelo abstrato de algum fenômeno do mundo, identificando os conceitos relevantes desse fenômeno. Explícito significa que os conceitos utilizados e as restrições sobre seu uso são explicitamente definidos. Formal refere-se ao fato de que a ontologia deve ser legível por máquinas. Compartilhado refere-se à noção de que uma ontologia captura o conhecimento consensual, isto é, não é privado de algum indivíduo, mas aceito por um grupo. Ontologias:
 Ontologias são utilizadas para promover a interoperabilidade entre sistemas, ao representarem os dados compartilhados por diversas aplicações . Ontologias são amplamente utilizadas para fins diferentes e em diferentes comunidades . Ontologias:
 De acordo com , a ontologia deve ser um modelo de conhecimento compartilhado e consensual, acordado por uma comunidade. Dessa forma, espera-se que objetivos sejam alcançados, que o conhecimento extraído seja coerente com o domínio e que a formalização esteja de acordo com o nível exigido da aplicação. Ontologias:
 Os componentes básicos de uma ontologia são classes (organizadas em uma taxonomia), relações, axiomas e instâncias. Esses componentes são explicados a seguir. Componentes:
 Existe um conjunto mínimo de componentes para à representação de uma ontologia. Componentes:
 Eles são Taxonomia, Classe, Relação, Axioma Formal e Instância . Componentes:
 A seguir, uma breve explicação de cada um: Componentes:
 • Taxonomia: serve para classificar informação em uma hierarquia (árvore), utilizando o relacionamento pai-filho; Componentes:
 • Classes: representam conceitos que são retirados de um domínio amplo e são organizados em taxonomias por meio de herança; Componentes:
 • Relações: representam os tipos de interações entre os conceitos de um domínio. Componentes:
 • Axiomas formais: servem para modelar sentenças que são sempre verdadeiras. , os axiomas formais são usados para representar o conhecimento que não pode ser definido formalmente por outros componentes. Axiomas formais também são usados para verificar a consistência da própria ontologia ou a consistência do conhecimento armazenado, além de serem muito usados para inferir novos conhecimentos;"
"Multiparty Selective Disclosure using Attribute-Based Encryption","https://scispace.com/paper/multiparty-selective-disclosure-using-attribute-based-iep861ja9c5z","2025","Proceedings Article","","Shigenori Ohashi","10.1109/compsac65507.2025.00123","https://scispace.compdf/multiparty-selective-disclosure-using-attribute-based-iep861ja9c5z.pdf","","necessary information, the approach prevents information disclosure beyond a Verifier's permissions and safeguards user privacy. • Security and efficiency: By combining the strengths of SD-JWT and ABE, the proposed mechanism achieves high security while maintaining efficient encryption and decryption processes. I. INTRODUCTION:
 The proposed system can be applied to a wide range of use cases in digital identity management. For example, it can be utilized in the sharing of patient information in the healthcare domain, identity verification (KYC: Know Your Customer) processes in financial institutions, and supply chain tracking. I. INTRODUCTION:
 In these fields, a mechanism is needed that enables appropriate information to be shared among multiple stakeholders while protecting user privacy. This paper details the design of the proposed mechanism. Additionally, the feasibility of the overall system is evaluated. I. INTRODUCTION:
 The paper is organized as follows: Section 2 discusses related research, Section 3 describes the proposed method and valid use cases, Section 4 evaluates the proposed method and discusses the results, and Section 5 summarizes. II. RELATED WORK A. Verifiable Credentials:
 As challenges in digital identity management become increasingly prominent , Verifiable Credential (VC) has emerged as a technology that balances privacy protection and information reliability. VC provides a framework that allows users to manage and share their qualifications and attribute information digitally and verifiably. II. RELATED WORK A. Verifiable Credentials:
 Its roots can be traced back to the late 1990s, when Public Key Infrastructure (PKI) and digital certificates began to gain prominence. II. RELATED WORK A. Verifiable Credentials:
 PKI ensures the reliability and authentication of data through digital signatures and encryption, but its centralized model has been criticized for issues such as privacy breaches and single points of failure . II. RELATED WORK A. Verifiable Credentials:
 Against this backdrop, the World Wide Web Consortium (W3C) proposed the ""Verifiable Credentials Data Model 1.0"" in 2017, marking a significant step in standardizing the VC framework . This model integrates with Decentralized Identity (DID), enabling users to retain control over their information. II. RELATED WORK A. Verifiable Credentials:
 This approach goes beyond traditional centralized systems and introduces a flexible and privacy-preserving decentralized model. II. RELATED WORK A. Verifiable Credentials:
 The use cases proposed by W3C demonstrate the practicality and wide applicability of VCs . For instance, government-issued digital IDs can streamline online service registration and identity verification. Similarly, educational credentials such as degree certificates and qualifications can be digitally issued and shared efficiently. II. RELATED WORK A. Verifiable Credentials:
 In the healthcare sector, patients can share only the necessary information with specific healthcare providers, thereby protecting their privacy while improving service efficiency. In the financial sector, VCs can optimize KYC processes in banks and financial institutions, reducing risks associated with fraud and data breaches. II. RELATED WORK A. Verifiable Credentials:
 For international travel, digital passports and visas can expedite airport and immigration procedures. Additionally, e-commerce applications often involve the purchase of agerestricted products, where VCs enable users to share only minimal information to prove their eligibility."
"Formal Specification of Object-Oriented Meta-modelling","https://scispace.com/paper/formal-specification-of-object-oriented-meta-modelling-50zqgmeuqj","2000","Book Chapter","Fundamental Approaches to Software Engineering","Gunnar Övergaard","10.1007/3-540-46428-X_14","https://scispace.com/pdf/formal-specification-of-object-oriented-meta-modelling-50zqgmeuqj.pdf","Modelling languages such as the Unified Modeling Language are used during the early phases of system development to capture requirements and to express high-level designs. Many such languages have no universally fixed interpretations since different development projects often use key concepts, like Class, Generalization and Association, in slightly different ways. Therefore meta-modelling, i.e. the precise specification of the concepts used in a model, is of importance in order to avoid misunderstandings.

The BOOM framework, presented in this paper, is intended for this kind of meta-modelling. The framework consists of a collection of modelling constructs specified with a small object-oriented language. The framework is simple enough for an engineer to adjust the modelling concepts to project specific needs. It includes all necessary aspects of language specification, among them definition of abstract syntax, well-formedness rules, and dynamic semantics. To demonstrate its use, this paper includes a specification of some of the constructs defined in the Unified Modeling Language.","Title: Formal Specification of Object-Oriented Meta-modelling Authors: Gunnar Övergaard"
"Modelando acessibilidade na web: uma proposta para o desenvolvimento de material didático baseado no perfil do usuário","https://scispace.com/paper/modelando-acessibilidade-na-web-uma-proposta-para-o-3w0ndwy7qm","2007","Journal Article","","Patrícia B. Scherer Bassani
Marine Bello Flores
Marcelo Iserhardt Ritzel
Regina de Oliveira Heidrich","10.22456/1679-1916.14306","https://scispace.com/pdf/modelando-acessibilidade-na-web-uma-proposta-para-o-3w0ndwy7qm.pdf","Este estudo se insere nas pesquisas que vem sendo realizadas na area de educacao a distância, enfocando o desenvolvimento de material instrucional para cursos Web. Busca articular as pesquisas nas areas de Inteligencia Artificial e Web Semântica, de forma a propor uma ontologia que oriente a acao de um agente capaz de perceber as interacoes entre usuario e o ambiente, de forma a identificar o perfil do aluno a distância, especialmente no que se refere a navegabilidade, interface e cognicao, ou mesmo o conhecimento sobre a interface. O modelo proposto busca contemplar sujeitos com diferentes necessidades visuais, auditivas e cognitivas.","relações que mapeiam um ou mais elementos do domínio para um elemento único; axiomas, sentenças sobre o domínio que são sempre verdadeiras e que restringem as interpretações e o uso de nomes e instâncias, que são consideradas os indivíduos da ontologia. Generalizando, pode-se dizer que as ontologias constituiem-se de conceitos que associam nomes de entidades representando o conhecimento declarativo de um domínio. Assim, as ontologias podem ser utilizadas como uma teoria lógica de um domínio de conhecimento. Complementando o conjunto de padrões sugeridos pelo W3C, na estrutura da Web Semântica, tem-se ainda as camadas de regras e lógica que provêem os formalismos, a fim de permitir o processamento automático das informações, permitindo o raciocínio de máquinas, seguida da camada de prova. A última camada se caracteriza por ser a camada da confiança, onde as assinaturas digitais funcionam como mecanismos com a finalidade de evitar inconsistências, servindo para garantir a segurança das informações."
"Reflecting on ontologies: towards ontology-based agent-oriented software engineering","https://scispace.com/paper/reflecting-on-ontologies-towards-ontology-based-agent-4cemc4ynqu","2009","","","Ghassan Beydoun
Brian Henderson-Sellers
Jun Shen
Graham Low","","https://scispace.com/pdf/reflecting-on-ontologies-towards-ontology-based-agent-4cemc4ynqu.pdf","""Ontology"" in association with ""software engineering"" is becoming commonplace. This paper argues for the need to place ontologies at the centre of the software development lifecycle for multi agent systems to enhance reuse of software workproducts as well as to unify agent-based software engineering knowledge. The paper bridges the state-of-the-art of ontologies research from Knowledge Engineering (KE) within Artificial Intelligence and Metamodelling within Software Engineering (SE). It presents a sketch of an ontology-based Multi Agent System (MAS) methodology discussing key roles on ontologies and their impact of workproducts, illustrating these in a MAS software development project for an important application that utilizes dynamic web services composition.","SDLC to be detailed in Section 4. This is in accordance with as shown in Figure which also compares two classification schemes (of ) and differentiates between domain-independent ontologies and domain-dependent ontologies (a discrimination also adopted in this paper). Background: Bridging Ontologies in KE to Models and Metamodels in SE:
 To link ontologies to metamodels in current SE, two stacked architectures are commonly used. It is worth noting the OMG architecture based on strict metamodelling wherein the only inter-level relationship permitted is ""instance of"" (in Figure ). This is not universally accepted within SE, for instance, the architecture used in ISO/IEC 24744 (ISO/IEC, 2007) (Figure ) uses the powertype pattern , which permits both instance-of and generalization relationships between levels. Indeed, as observed in several papers summarized in  application of the four layer hierarchy used by the OMG to methodologies results in several contradictory situations -hence the creation of the newer architecture in Figure . For our purpose, we can say that a metamodel describes a domain that is representative of more than one instance in a less abstract domain and, importantly, each model/metamodel describes a domain of discourse, the language used for a metamodel domain and a model domain (although relative) is distinct. We can now ask which 'metamodels' or 'models' (or both) are useful, both theoretically and pragmatically, to link our SE-defined ""ontology"" definition.  suggest that ontologies and models may be different technologies since they appear to be derived from different subfields of computing and knowledge representation and there appear to be several projects, for example within the OMG and W3C, aimed at producing a bridge between the technologies. Their conclusion is that ontologies are a subset of models since ontologies fulfil the criteria for being models but have additional characteristics i.e. they are specializations in the objectoriented (OO) sense. While noting that much of ontology design originated in OO design,  suggest that OO stresses operational rather than the structural properties of classes, which are the focus of ontology design. This suggests an alignment with data models. On the other hand, the equivalencing of models with database-focussed models, as is done by , unnecessarily restricts the meaning of model for such a comparison to be useful here. In contrast,  takes a broader meaning to the term ""conceptual model"". It notes some missing concepts in the UML -in particular, the treatment of disjoint classes, set intersection and set complement. They argue that ontology instances may also be required without the prior definition of a class (not permissible using UML). Many other authors equate ontologies with models despite noting the difference in intent i.e. that an ontology is descriptive and a model typically (but not always) prescriptive e.g. . For example,  states that ""Ontologies are also like conceptual schemata in database systems"" which ""provide a logical description of shared data""; and  clearly indicates that he regards an ontology as belonging to the model domain and not the metamodel domain.  suggest differences based on arguing that an ontology is descriptive whereas a metamodel is prescriptive, belonging to the solution domain."
"An Ontology-Driven Personalization Approach for Data Warehouse Exploitation","https://scispace.com/paper/an-ontology-driven-personalization-approach-for-data-13osi3xlws","2014","","","Lama El Sarraj
Bernard Espinasse
Thérèse Libourel","","https://scispace.com/pdf/an-ontology-driven-personalization-approach-for-data-13osi3xlws.pdf","Data Warehouses (DW) resources are shared by users’ from different backgrounds (e.g., domain, culture, education, profession). Those resources (e.g., OLAP queries, Excel files) are interpreted differently from a user to another. Unfortunately, misinterpreting data could induce serious problems and conflicts. To guarantee relevant interpretation of resources, additional semantic description of resources concepts is necessary. In this context, we present an Ontology-driven Personalization System (OPS) based on three connected ontologies: domain ontology, DW ontology and resources ontology. OPS return a set of personalized resources search based on users’ domain and his recurring interests. In addition, resources are enhanced with a semantic description provided by the ontologies. This paper focuses on the methodology used to develop connected ontologies used by OPS. Keywords-data warehouse, ontology, personalization, decision support systems, decision making, healthcare institution management.","modeled domain. D. Formalization of the ontology: In general, terminological axioms have the form of inclusions (C ⊑ D) or equivalence (C ≡ D) such as (C, D denote concepts or roles). D. Formalization of the ontology:
 Based on this definition, the ontology is formalized as 5-uplet   expression that associate to each class an operator (inclusion or exclusion) and an expression to other classes.  Formal: is the formalism followed by the ontology model (e.g., RDF, OWL). To facilitate the creation and the visualization of ontologies there are OWL ontology editors, such as Protégé  that manipulates ontologies (e.g., edit, load, define taxonomies). Protégé provides a detailed view for each concept in ontology. There are also visualization tools of ontologies, the most common ones are IsaViz , OWLViz , Growl , Welkin . D. Formalization of the ontology:
 UML is a standard used to model information systems and software engineering. UML is a semi-formal formalism. UML is a graphical language for visualizing, specifying and building tool components. UML provides different diagrams (e.g., class diagrams). However, UML is not suitable to represent complex reasoning and inferences . One of the major advantages of UML is that it is widely used in the academic environment and even by non-professionals. UML notations facilitate the knowledge visualization, especially of ontologies. Most informatics designers use UML to describe their diagram. D. Formalization of the ontology:
 Several studies propose to model ontologies with UML , , , . There are many commonalities between the formal languages of ontologies and UML. A comparison UML/OWL is studied , but the only drawback is the lack of semantics in UML. For those reasons, we can consider UML as an adequate formal model for the representation of ontologies. D. Formalization of the ontology:
 The process to create an ontology can be accomplished by: (i) modeling the ontology with UML to have a consensus between different users' experts, (ii) transforming UML model into an OWL model, to reason on the ontology. E. Conclusion:
 Even if the personalization of DW is a recent field of research, various studies propose methods to treat this problem. In their study, the authors in  compare different works of DW personalization domain, they take in consideration three main aspects: (i) personalization objectives, customized schema or queries (the result or the visualization), (ii) user model type, that has been selected to define the user (rules, scores, preferences, annotations) and his contextualization, (iii) the algorithms implemented for DW personalization. These approaches do not seem totally adapted to our problematic. Indeed, the specificities of data exploited by a big number of users' from different backgrounds, require additional semantic to describe resources provided by DWs. We present in the next section the context and the aim of this work. III. PROBLEMATIC:
 This section presents the context of our research introduced by a case study presenting a DW schema. Then we present the aim of our research."
"Automated Software Systems Generation for Process-oriented Organizations","https://scispace.com/paper/automated-software-systems-generation-for-process-oriented-1hfj98qtr7","2014","","","Escola de Engenharia","","https://scispace.com/pdf/automated-software-systems-generation-for-process-oriented-1hfj98qtr7.pdf","","on slots (facets, sometimes called role restrictions). Ontologies: An ontology, together with a set of individual instances of classes, constitutes a knowledge base. In reality, there is a fine line where the ontology ends and the knowledge base begins . Ontologies:
 Since ontologies define a common vocabulary for humans and software systems who need to share information in a domain, they may include machine-interpretable definitions of basic concepts in the domain and the relations among them. Ontologies are described recurring to languages. The Ontology Definition Metamodel from OMG (2009b) enumerates several metamodels for languages to define and to use ontologies, like: Ontologies:
 • description logics (DL) , a formalism to represent knowledge; Ontologies:
 • common logic (CL) (ISO/IEC, 2007), a first-order logical language intended for information ex- • resource description framework (RDF) (W3C, 2004), a framework for representing information in the Web; Ontologies:
 • web ontology language (OWL) (W3C, 2009), an ontology language for the semantic web (Berners-  (the semantic web is an initiative to allow the exchanging of content on the World Wide Web beyond the boundaries of applications and websites with formally defined meaning ). OWL 2 ontologies provide classes, properties, individuals, and data values and are stored as Semantic Web documents; Ontologies:
 • topic maps (TM) , a technology for encoding knowledge and connecting this encoded knowledge to relevant information resources. Ontologies:
 Additionally, the World Wide Web Consortium defines the SPARQL (W3C, 2008), a query language for RDF. Ontologies:
 Table .4 lists some currently available ontologies together with the languages used to describe those ontologies. In addition, ontologies for biomedical, engineering, mathematical, or finances are publicly available. Ontologies:
 The use of ontologies can boost the search and the interchange of information across distinct software systems. Initiatives like the semantic web, which promotes that the information has an explicit meaning, allow that software can automatically discover, process, and integrate information. For that, it is beneficial that information systems embody ontologies of the domains where they operate. According to , the usually accepted stages through which an ontology is built are: Ontologies:
 • specification, where the scope and the purpose are identified; Ontologies:
 • conceptualization, where a conceptual model is built to be check against the specification of the previous step; Ontologies:
 • formalization, where the conceptual description is transformed into a formal model; Ontologies:
 • implementation, where the formalized ontology is implemented in a knowledge representation language; Ontologies:
 • maintenance, where updates and corrections of the implemented ontology occur. Ontologies:
 Approaches to use ontologies in information systems, in the case for supply-chain management, were already proposed by  as a way to, at runtime, separate the domain knowledge of one component from other components and delivering it upon request. Ontologies:
 Most research focuses on the open standards of web services and semantic web but pays less attention to semantics-based enterprise modeling, where automated service discovery and service composition are difficult . Since ontologies are viewed as increasingly important tools for structuring domains of interests, proposals also exist for a reference ontology of business models ."
"A formalisation of deep metamodelling","https://scispace.com/paper/a-formalisation-of-deep-metamodelling-3wim3tt8un","2014","Journal Article","Formal Aspects of Computing","Alessandro Rossini
Juan de Lara
Esther Guerra
Adrian Rutle
Uwe Wolter","10.1007/S00165-014-0307-X","https://scispace.com/pdf/a-formalisation-of-deep-metamodelling-3wim3tt8un.pdf","Metamodelling is one of the pillars of model-driven engineering, used for language engineering and domain modelling. Even though metamodelling is traditionally based on a two-metalevel approach, several researchers have pointed out limitations of this solution and proposed an alternative deep (also called multi-level) approach to obtain simpler system specifications. However, this approach currently lacks a formalisation that can be used to explain fundamental concepts such as deep characterisation, double linguistic/ontological typing and linguistic extension. This paper provides such a formalisation based on the Diagram Predicate Framework, and discusses its practical realisation in the metaDepth tool.","variation points in the realisation of deep metamodelling, in classifying the existing tools according to these options, in expressing correctness constraints regarding deep instantiation, as well as in understanding the equivalences and relations between systems with and without deep characterisation. Introduction:
 This paper further develops the formalisation of deep metamodelling published in [RdG + 12]. Compared to the previous work, we extend it with a presentation of linguistic extensions. Moreover, we provide a declarative semantics of deep metamodelling (i.e., deep characterisation through potency, double linguistic/ontological typing and linguistic extension). Finally, we discuss an implementation of the proposed formalisation within the METADEPTH  tool. Introduction:
 The remainder of the paper is structured as follows. Section 2 illustrates the limitations of traditional metamodelling through an example in the domain of component-based web applications. Section 3 introduces deep metamodelling. Section 4 outlines DPF. Section 5 explains different concepts of deep metamodelling through its formalisation in DPF. Section 6 shows how deep metamodelling relates to traditional metamodelling by means of flattening constructions. Section 7 shows a practical implementation of deep metamodelling, discussing how the findings of the proposed formalisation affect this tool. In Section 8, the current research in deep metamodelling is summarised. In Section 9, some concluding remarks and ideas for future work are presented. Metamodelling:
 Metamodels are frequently used to define the (abstract) syntax of a modelling language, i.e., the set of modelling concepts, their attributes and their relationships, as well as the rules for combining these concepts to specify valid models . Metamodels are specified using structural metamodelling languages such as the MOF. MOF-like metamodelling languages allow for the specification of simple constraints such as multiplicity and uniqueness constraints, hereafter called structural constraints. However, these structural constraints may not be sufficient to specify complex system requirements. Hence, metamodels are often complemented with textual constraint languages such as the Object Constraint Language (OCL)  to specify more complex constraints, hereafter called attached constraints. Metamodelling:
 A model is said to be typed by a metamodel if each element in the model is typed by an element in the metamodel, while a model is said to conform to a metamodel if it is typed by the metamodel and, in addition, satisfies all (structural and attached) constraints of the metamodel. Metamodelling:
 In a traditional metamodelling stack (or hierarchy), models at each metalevel conform to the corresponding metamodel of the modelling language at the adjacent metalevel above (see Figure ). This pattern is often referred to as linear metamodelling in the literature . Moreover, in strict metamodelling, a model element at each metalevel has exactly one type at the adjacent metalevel above. The top-most model of a traditional metamodelling stack may not conform to any model or may be a reflexive model, i.e., a model which conforms to itself. The length (or depth) of a traditional metamodelling stack is fixed (i.e., it cannot change depending on the requirements) and the metalevels are conventionally numbered from 1 onwards starting from the bottom-most."
"A Metamodel and UML Profile for Networked Ontologies – The Complete Reference","https://scispace.com/paper/a-metamodel-and-uml-profile-for-networked-ontologies-the-1222exayx7","2006","","","Saartje Brockmans
Peter Haase","","https://scispace.com/pdf/a-metamodel-and-uml-profile-for-networked-ontologies-the-1222exayx7.pdf","In this paper we present integrated MOF compliant metamodels and UML profiles for OWL DL, the Semantic Web Rule Language (SWRL) and Ontology Mappings. Based on these metamodels and profiles, UML tools can be used for visual modeling of rule-extended ontologies and ontology mappings.","networked ontologies (mappings, versioning, ... ) no such standards exist yet. In favor of general applicability we therefore provide generic metamodels for these extensions that allow translations to different formalisms, as shown in Figure .3 . Design considerations:
 A metamodel for a language that allows the definition of ontologies naturally follows from the modelling primitives offered by the ontology language. OWL ontologies themselves are RDF documents. They instantiate the RDF data model, and use URIs to name entities. The formal semantics of OWL is derived from Description Logics (DL), an extensively researched KR formalism. Hence, most primitives offered by OWL can also be found in a Description Logic. Three species of OWL have been defined. One variant called OWL Full can represent arbitrary RDF components inside of OWL documents. This allows, for example, to combine the OWL language with arbitrary other representation languages. From a conceptual perspective a metamodel for OWL Full necessarily has to include elements for the representation of RDF. Design considerations:
 Another variant called OWL DL states syntactic conditions on OWL documents, which ensure that only the primitives defined within the OWL language itself can be used. OWL DL closely corresponds to the SHOIN(D) description logic and all language features can be reduced to the primitives of the SHOIN(D) logic. Naturally, a metamodel for OWL DL is smaller and less complex than a metamodel for OWL Full. Similarly, an OWL DL metamodel can be built in a way such that all elements can be easily understood by people familiar with description logics. A third variant called OWL Lite disallows some constructors of OWL DL, specifically number restrictions are limited to arities 0 and 1. Furthermore, the oneOf class constructor is missing. Other constructors such as class complement, which are syntactically disallowed in OWL Lite, can nevertheless be represented via the combination of syntactically allowed constructors An ODM for OWL DL:
 The rest of this section will provide a summary of the OWL language whilst introducing our metamodel. Interested readers may refer to the specifications  for a full account of OWL. Our metamodel for OWL DL ontologies ( ) has a one-to-one mapping to the abstract syntax of OWL DL and thereby to its formal semantics. It primarily uses basic well-known concepts from UML2. Additionally, the metamodel is augmented with constraints, expressed in the Object Constraint Language ([WK04]), specifying invariants that have to be fulfilled by all models that instantiate the metamodel. The metamodel is augmented with several OCL constraints. Constraints are given in footnotes. Ontologies:
 URIs are used to identify all objects in OWL. Figure .1 shows the central part of the OWL DL metamodel. Among others, it shows that every element of an ontology is a subclass of the class OntologyElement and hence a member of an Ontology."
