"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Formal verification of the xDAuth protocol","https://scispace.com/paper/formal-verification-of-the-xdauth-protocol-5alr1xdz4t","2016","Journal Article","IEEE Transactions on Information Forensics and Security","Quratulain Alam
Saher Tabbasum
Saif Ur Rehman Malik
Masoom Alam
Tamleek Ali
Adnan Akhunzada
Samee U. Khan
Athanasios V. Vasilakos
Rajkumar Buyya","10.1109/TIFS.2016.2561909","https://www.academia.edu/download/104000077/xDAuthProtocolVerification.pdf","… by providing already issued credentials. After successful … the authentication protocols using the Alloy model checker. In … domain access control frameworks and formal verification. She …","Service-oriented architecture offers a flexible paradigm for information flow among collaborating organizations. As information moves out of an organization boundary, various security concerns may arise, such as confidentiality, integrity, and authenticity that needs to be addressed. Moreover, verifying the correctness of the communication protocol is also an important factor. This paper focuses on the formal verification of the xDAuth protocol, which is one of the prominent protocols for identity management in cross domain scenarios. We have modeled the information flow of xDAuth protocol using high-level Petri nets to understand the protocol information flow in a distributed environment. We analyze the rules of information flow using Z language, while Z3 SMT solver is used for the verification of the model. Our formal analysis and verification results reveal the fact that the protocol fulfills its intended purpose and provides the security for the defined protocol specific properties, e.g., secure secret key authentication, and Chinese wall security policy and secrecy specific properties, e.g., confidentiality, integrity, and authenticity."
"Formal methods and validation techniques for ensuring automotive systems security","https://scispace.com/paper/formal-methods-and-validation-techniques-for-ensuring-4lidf1yeam","2023","Journal Article","Information","Moez Krichen","10.3390/info14120666","","… , such as uniqueness of user credentials and resistance to … It enables the formal verification of security properties and … security code reviews to ensure consistency and focus. These …","The increasing complexity and connectivity of automotive systems have raised concerns about their vulnerability to security breaches. As a result, the integration of formal methods and validation techniques has become crucial in ensuring the security of automotive systems. This survey research paper aims to provide a comprehensive overview of the current state-of-the-art formal methods and validation techniques employed in the automotive industry for system security. The paper begins by discussing the challenges associated with automotive system security and the potential consequences of security breaches. Then, it explores various formal methods, such as model checking, theorem proving, and abstract interpretation, which have been widely used to analyze and verify the security properties of automotive systems. Additionally, the survey highlights the validation techniques employed to ensure the effectiveness of security measures, including penetration testing, fault injection, and fuzz testing. Furthermore, the paper examines the integration of formal methods and validation techniques within the automotive development lifecycle, including requirements engineering, design, implementation, and testing phases. It discusses the benefits and limitations of these approaches, considering factors such as scalability, efficiency, and applicability to real-world automotive systems. Through an extensive review of relevant literature and case studies, this survey provides insights into the current research trends, challenges, and open research questions in the field of formal methods and validation techniques for automotive system security. The findings of this survey can serve as a valuable resource for researchers, practitioners, and policymakers involved in the design, development, and evaluation of secure automotive systems."
"Formal methods in industry","https://scispace.com/paper/formal-methods-in-industry-1p5t1ybmesve","2024","Journal Article","Formal Aspects of Computing","Maurice H. ter Beek
Roderick Chapman
Rance Cleaveland
Hubert Garavel
Rong Gu
Ivo ter Horst
Jeroen J. A. Keiren
Thierry Lecomte
Michaël Leuschel
Kristin Yvonne Rozier
Augusto Sampaio
Cristina Seceleanu
Martyn Thomas
Tim A. C. Willemse
Lijun Zhang","10.1145/3689374","https://dl.acm.org/doi/pdf/10.1145/3689374","… Aerospace systems use formal verification extensively, with … systems, guided by FAA certification standards including DO-… the internal consistency of an artefact, and the consistency of …","Formal methods encompass a wide choice of techniques and tools for the specification, development, analysis, and verification of software and hardware systems. Formal methods are widely applied in industry, in activities ranging from the elicitation of requirements and the early design phases all the way to the deployment, configuration, and runtime monitoring of actual systems. Formal methods allow one to precisely specify the environment in which a system operates, the requirements and properties that the system should satisfy, the models of the system used during the various design steps, and the code embedded in the final implementation, as well as to express conformance relations between these specifications. We present a broad scope of successful applications of formal methods in industry, not limited to the well-known success stories from the safety-critical domain, like railways and other transportation systems, but also covering other areas such as lithography manufacturing and cloud security in e-commerce, to name but a few. We also report testimonies from a number of representatives from industry who, either directly or indirectly, use or have used formal methods in their industrial project endeavours. These persons are spread geographically, including Europe, Asia, North and South America, and the involved projects witness the large coverage of applications of formal methods, not limited to the safety-critical domain. We thus make a case for the importance of formal methods, and in particular of the capacity to abstract and mathematical reasoning that are taught as part of any formal methods course. These are fundamental Computer Science skills that graduates should profit from when working as computer scientists in industry, as confirmed by industry representatives. "
"Alloy4CMD: A Formal Approach for Component-based Modeling of Distributed Ledger Technology Architecture","https://scispace.com/paper/woOv6mAfx28J","","","","A Lohachab
S Garg
MB Amin","","https://dl.acm.org/doi/pdf/10.1145/3772069","… bounded consistency checks using the Alloy Analyzer. Our … within the software modeling and formal verification research … , we develop a formal approach that employs Alloy to specify …",""
"A survey of practical formal methods for security","https://scispace.com/paper/a-survey-of-practical-formal-methods-for-security-1rnvx28skl","2021","Posted Content","arXiv: Formal Languages and Automata Theory","Tomas Kulik
Brijesh Dongol
Peter Gorm Larsen
Hugo Daniel Macedo
Steve Schneider
Peter W. V. Tran-Jørgensen
Jim Woodcock","","https://dl.acm.org/doi/pdf/10.1145/3522582","… proof of the internal consistency of the system design [115]. … -art research in formal verification across these dimensions, … Formal verification of OS security model with alloy and event-…","In today's world, critical infrastructure is often controlled by computing systems. This introduces new risks for cyber attacks, which can compromise the security and disrupt the functionality of these systems. It is therefore necessary to build such systems with strong guarantees of resiliency against cyber attacks. One way to achieve this level of assurance is using formal verification, which provides proofs of system compliance with desired cyber security properties. The use of Formal Methods (FM) in aspects of cyber security and safety-critical systems are reviewed in this article. We split FM into the three main classes: theorem proving, model checking and lightweight FM. To allow the different uses of FM to be compared, we define a common set of terms. We further develop categories based on the type of computing system FM are applied in. Solutions in each class and category are presented, discussed, compared and summarised. We describe historical highlights and developments and present a state-of-the-art review in the area of FM in cyber security. This review is presented from the point of view of FM practitioners and researchers, commenting on the trends in each of the classes and categories. This is achieved by considering all types of FM, several types of security and safety critical systems and by structuring the taxonomy accordingly. The article hence provides a comprehensive overview of FM and techniques available to system designers of security-critical systems, simplifying the process of choosing the right tool for the task. The article concludes by summarising the discussion of the review, focusing on best practices, challenges, general future trends and directions of research within this field."
"Bridging Formal Verification and Machine Learning for Load Balancing in Cloud Environments: A Survey","https://scispace.com/paper/Wa8CjITZxQAJ","","","","S Shukla
V Yadav","","https://hal.science/hal-05367472v1/file/Survey%20paper%20on%20FM%20with%20ML.pdf","… Formal methods [1] [2] mathematical frameworks are used to ensure the correctness, consistency… Formal tools like Event-B, Z notation, Alloy, and TLA+ offer mathematical precision and …",""
"Formal methods for security","https://scispace.com/paper/formal-methods-for-security-1roytsaqpx","2019","Book Chapter","","Erik Poll","","https://sites.engineering.ucsb.edu/~sherwood/pubs/NSF-15-formalsec.pdf","… a specification geared towards formal verification from the … that deal with heterogeneous trust, consistency issues, and side … to construct formally, although finite model finders (eg, Alloy […","At first sight – and even at second sight – security looks like an interesting application area for formal methods. One reason for this is that security flaws have a higher impact than more harmless bugs. This might justify or even require the extra effort to invest in using formal methods. Indeed, the highest levels of certification using the Common Criteria security evaluation standard require the use of formal methods. Another reason is that some security problems are orthogonal to – or at least largely independent of – the functionality of a system. Indeed, security vulnerabilities can be seen as ‘anti-functionality’: functionality that is unintentionally provided, also to attackers, which should not be available at all. Given that writing complete functional specifications is hard, and totally unfeasible in most cases, concentrating on partial specs that ensure some generic safety properties problems might provide a better return of investment, also because such specs could be re-used across applications. Unfortunately, things are not so simple. Security properties can be tricky to specify. Indeed, attackers can be very creative in finding and exploiting new loopholes. A common and natural way to specify security properties is in a ‘negative’ way, by saying that something – some type of attack – is not supposed to be possible. For example, a web application should not be vulnerable to SQL injection or XSS. List of these negative properties are useful in testing, as they suggest negative tests (i.e. test-cases which are supposed to fail, by triggering some error response), but they are not immediately helpful in construction. Moreover, these lists of negative properties are typically incomplete. They only address a limited set of known potential problems, not all potential problems. Moreover, sometimes security problems arise because it turns out fundamental assumptions about programs can be broken by an attacker, invalidating the very abstractions that we use in formal methods to reason about programs. Classic examples here are fault attacks (for example the Rowhammer attack to flip some bits in DRAM memory) or information"
"The fusion of large language models and formal methods for trustworthy ai agents: A roadmap","https://scispace.com/paper/the-fusion-of-large-language-models-and-formal-methods-for-69760tmemcej","2024","Journal Article","","Yedi Zhang
Yufan Cai
Xinyue Zuo
Xiaokun Luan
Kailong Wang
Zhe Hou
Yifan Zhang
Zhiyuan Wei
Meng Sun
Jun Sun
Jing Sun
Jin Song Dong","10.48550/arxiv.2412.06512","https://arxiv.org/pdf/2412.06512","… , including reasoning and certification techniques, can help … analysis of LLMs via formal verification techniques. Next, we … for semantic consistency, FCH requires the verification of …","Large Language Models (LLMs) have emerged as a transformative AI paradigm, profoundly influencing daily life through their exceptional language understanding and contextual generation capabilities. Despite their remarkable performance, LLMs face a critical challenge: the propensity to produce unreliable outputs due to the inherent limitations of their learning-based nature. Formal methods (FMs), on the other hand, are a well-established computation paradigm that provides mathematically rigorous techniques for modeling, specifying, and verifying the correctness of systems. FMs have been extensively applied in mission-critical software engineering, embedded systems, and cybersecurity. However, the primary challenge impeding the deployment of FMs in real-world settings lies in their steep learning curves, the absence of user-friendly interfaces, and issues with efficiency and adaptability. This position paper outlines a roadmap for advancing the next generation of trustworthy AI systems by leveraging the mutual enhancement of LLMs and FMs. First, we illustrate how FMs, including reasoning and certification techniques, can help LLMs generate more reliable and formally certified outputs. Subsequently, we highlight how the advanced learning capabilities and adaptability of LLMs can significantly enhance the usability, efficiency, and scalability of existing FM tools. Finally, we show that unifying these two computation paradigms -- integrating the flexibility and intelligence of LLMs with the rigorous reasoning abilities of FMs -- has transformative potential for the development of trustworthy AI software systems. We acknowledge that this integration has the potential to enhance both the trustworthiness and efficiency of software engineering practices while fostering the development of intelligent FM tools capable of addressing complex yet real-world challenges. "
"Assuring the security of software architecture using argument models: patterns, templates, and tool support","https://scispace.com/paper/fkBdw0kKYv4J","","","","M Zeroual","","https://theses.hal.science/tel-05457149/document","… its OCL plug-in as a formal tool for semantic verification. The … Security cases are formally mandated either by a certification … supported by the formal verification results presented using …",""
"Formal Verification of Complex Software Systems—A Study","https://scispace.com/paper/O47rgrMKIjEJ","","","","B Beckert
O Denninger
J Klamroth","","https://www.cyberagentur.de/wp-content/uploads/2026/01/OevIT-Vorstudien-Los-1-Software.pdf","… by architectural means (eg, redundancy) rather than with formal … of frameworks that facilitate the construction of verification tools. … and plugins build around or on top of Alloy and Kodkod. …",""
