"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"From Model to Mechanism: Enforcing Delegated Authority in SSI with Language-Based Security","https://scispace.com/paper/from-model-to-mechanism-enforcing-delegated-authority-in-ssi-2r01zx7o705g","2025","Journal Article","Mathematics","Muhamed Turkanović
Vid Keršič
Alen Horvat
Dominik Beron
Špela Čučko","10.3390/math13182971","","Delegation of authority remains a critical yet insufficiently addressed capability in Self-Sovereign Identity (SSI) systems. Building on an existing delegation model that introduced the concept of a Verifiable Mandate (VM) for expressing authority and access rights, this paper extends the approach with a rigorous formalization of delegation semantics, enabling unambiguous reasoning over roles, grants, and constraints. The formal model is aligned with standards from the World Wide Web Consortium (W3C), and its constructs are embedded into an extended credential schema that preserves compatibility with the Verifiable Credentials (VC) data model while introducing delegation-specific attributes. A generalized VM schema is defined, supporting both generic and business-specific instantiations, and ensuring structural and semantic interoperability. Policy compliance is operationalized through a policy-based enforcement architecture, where rules are authored in the Rego language and evaluated at runtime by the Open Policy Agent (OPA). The architecture incorporates trusted registries for schema and policy distribution, allowing verifiers to define and enforce context-specific delegation rules in a modular and interoperable manner. Validation through realistic scenarios, such as postal service and academic use cases, demonstrates how formal semantics, schema validation, and language-based policy enforcement can be combined to enable secure, verifiable, and context-aware delegation in SSI ecosystems. ","This paper extends a delegation model for Self-Sovereign Identity (SSI) systems with a formalized semantics, enabling unambiguous reasoning over roles, grants, and constraints, and operationalizes policy compliance through a policy-based enforcement architecture."
"Blockchain-Based Credential Models: Enhancing Verification With Soulbound Tokens","https://scispace.com/paper/blockchain-based-credential-models-enhancing-verification-mosu9xxnvew2","2025","Journal Article","","Deylna Manayra Felisha Rehtaliani
Andry Alamsyah","10.1109/icera66156.2025.11087269","","Centralized credential verification relies on institution-controlled databases that lack cross-jurisdiction scalability, expose single points of failure, and are vulnerable to data tampering undermining fair, timely hiring processes. To address these issues, this study proposes a decentralized verification model that binds academic and professional credentials to user-controlled wallets as non-transferable Soulbound Tokens (SBTs), aligned with Ethereum draft EIP4973. Requirements were informed by a focused literature review and semi-structured interviews with experts in academia, human resources, and technology practitioners. The model is formalized through a use-case diagram, actor-role workflow, and modular pseudocode that defines registry, minting, and time-based auto-revocation logic. Sensitive data is stored off-chain via IPFS, while verification logic executes entirely on-chain. Interoperability and privacy are supported through Verifiable Credentials for selective disclosure. Conceptual validation demonstrates how the model supports real-time credential querying and automated revocation without issuer reliance. The contribution is limited to model conceptual, prototype deployment and empirical performance testing are reserved for future research.","This study proposes a decentralized credential verification model using Soulbound Tokens (SBTs) to enhance scalability, security, and fairness in hiring processes, leveraging Ethereum's EIP4973 and Verifiable Credentials for interoperability and privacy."
"Formalising Linked-Data based Verifiable Credentials for Selective Disclosure","https://scispace.com/paper/formalising-linked-data-based-verifiable-credentials-for-3tgutv81","2022","Proceedings Article","","","10.1109/eurospw55150.2022.00013","","In this paper, we propose a formal definition for Linked-Data based verifiable credential to enable secure selective disclosure among one or multiple verifiable creden-tials a user has. Previous schemes considered using a single verifiable credential and could not hide the user&#x0027;s identifying information when performing selective disclosure. We pro-pose the first Linked-Data based verifiable credentials that can perform selective disclosure free from the restrictions the previous scheme had, and prove its property. We also discuss a novel use of combining multiple certificates issued by independent issuers to still allow users to perform selective disclosure on the set of credentials. Our scheme has been implemented as an open source Web-based application that generates a verifiable presentation for a given selection of attributes. The performance evaluation is also provided in the paper. ","In this article , the authors propose a formal definition for Linked-Data based verifiable credential to enable secure selective disclosure among one or multiple verifiable creden-tials a user has."
"SSI, from Specifications to Protocol? Formally Verify Security!","https://scispace.com/paper/ssi-from-specifications-to-protocol-formally-verify-security-3d1q64oj34","2024","Proceedings Article","","Christoph Braun
R. Horne
Tobias Käfer
Sjouke Mauw","10.1145/3589334.3645426","","We evaluate a bundle of specifications from the Self-Sovereign Identity (SSI) paradigm to construct an authentication protocol for the Web. We demonstrate how relevant standards such as W3C Verifiable Credentials (VC), W3C Decentralised Identifiers (DIDs), and components of the Hyperledger Aries Framework are to be assembled methodologically into a protocol. We make those assumptions from standard trust models explicit that underlie the derived protocol, and verify security and privacy properties, notably secrecy, authentication, and unlinkability. This enables us to formally justify the additional precision that we urge these specifications to consider, to ensure that implementors of SSI-based systems do not neglect security-critical controls.","Formal verification of SSI-based authentication protocol derived from specifications, ensuring security and privacy properties."
"On-Chain Verifiable Credential with Applications in Education","https://scispace.com/paper/on-chain-verifiable-credential-with-applications-in-1h8yll18o2","2024","Journal Article","ECTI Transactions on Computer and Information Technology","Nopporn Chotikakamthorn
Aye Mi San
Chanboon Sathitwiriyawong","10.37936/ecti-cit.2024183.256091","","A verifiable credential (VC) has been standardized and applied in various domains, including education. Due to its immutability, blockchain has been considered and used for credential issuance and verification. Most existing methods, however, are not compatible with the W3C VC standard. In this paper, an on-chain VC issuance and verification method has been described. The method is based on the standard VC data model and applicable to any credential type. It decomposes a VC document into a VC template and the corresponding value array(s). This allows a VC to be issued on-chain in the Bitcoin BTC network, which has a limited data embedding capacity. The proposed method reduces blockchain resource consumption due to the reusability of a VC template. In addition, it allows the use of a concise VC fingerprint format instead of a full VC for credential exchange. Two issuance modes, namely the full on-chain and partial on-chain, are proposed targeting different use cases. The proposed method has been applied for issuing and verifying two learning credential types. The method was evaluated on the Bitcoin Testnet to measure time and space complexities. With the reduced-size VC fingerprint, the proposed method can embed a VC on a traditional paper-based credential as a compact-sized QR code. The proposed method offered faster VC issuance and verification than an existing standard-based verifiable credential method. ","The proposed method offered faster VC issuance and verification than an existing standard-based verifiable credential method and allows the use of a concise VC fingerprint format instead of a full VC for credential exchange."
"Fortifying the Agentic Web: A Unified Zero-Trust Architecture Against Logic-layer Threats","https://scispace.com/paper/fortifying-the-agentic-web-a-unified-zero-trust-architecture-14qcdlg9aqga","2025","Journal Article","arXiv.org","Ken Huang
Yasir Mehmood
Hammad Atta
Jerry Huang
M. Baig
Sree Bhargavi Balija","10.48550/arxiv.2508.12259","https://scispace.compdf/fortifying-the-agentic-web-a-unified-zero-trust-architecture-14qcdlg9aqga.pdf","This paper presents a Unified Security Architecture that fortifies the Agentic Web through a Zero-Trust IAM framework. This architecture is built on a foundation of rich, verifiable agent identities using Decentralized Identifiers (DIDs) and Verifiable Credentials (VCs), with discovery managed by a protocol-agnostic Agent Name Service (ANS). Security is operationalized through a multi-layered Trust Fabric which introduces significant innovations, including Trust-Adaptive Runtime Environments (TARE), Causal Chain Auditing, and Dynamic Identity with Behavioral Attestation. By explicitly linking the LPCI threat to these enhanced architectural countermeasures within a formal security model, we propose a comprehensive and forward-looking blueprint for a secure, resilient, and trustworthy agentic ecosystem. Our formal analysis demonstrates that the proposed architecture provides provable security guarantees against LPCI attacks with bounded probability of success.","This paper proposes a unified zero-trust architecture for the Agentic Web, leveraging Decentralized Identifiers, Verifiable Credentials, and a Trust Fabric with innovations like Trust-Adaptive Runtime Environments and Causal Chain Auditing to prevent LPCI attacks with provable security guarantees."
"Linking Models, Metamodels, Ontologies and Modelling Languages","https://scispace.com/paper/linking-models-metamodels-ontologies-and-modelling-languages-1f6h5hmko9","2012","Book Chapter","","Brian Henderson-Sellers","10.1007/978-3-642-29825-7_7","","In his investigation of the correspondences of terminology in the metamodelling and the ontology subdisciplines, Henderson-Sellers (2011b) concludes, as here, that there is a correspondence between a domain-specific ontology and the method domain in Fig. 1.10 (roughly OMG layer M2 in the architecture of Fig. 1.9). This ontology must be represented by a language, where this language may itself be defined by a metamodel (OMG M2 or ISO Metamodel Domain). This is named, variously, meta-ontology, ontology specification language, foundational ontology or higher level ontology (see Fig. 5.7 and previous discussion). Such a language provides reasoning support not possible in software modelling languages such as UML or ER, which many researchers are tempted to use and/or extend for this purpose.","In his investigation of the correspondences of terminology in the metamodelling and the ontology subdisciplines, Henderson-Sellers (2011b) concludes that there is a correspondence between a domain-specific ontology and the method domain in Fig. 1.10."
"Designing Trustless Identity: A Multi-Layered Framework for Decentralized Verification in Web3 Ecosystems","https://scispace.com/paper/designing-trustless-identity-a-multi-layered-framework-for-jdabd7htkltn","2024","Journal Article","International Journal of Advanced Research in Science, Communication and Technology","Venkata Baladari","10.48175/ijarsct-19392","","As digital interactions continue to shift toward decentralized platforms, the limitations of centralized identity systems such as data silos, lack of user control, and reliance on intermediaries have become increasingly apparent. This research introduces a structured, multi-layered framework to support the design and implementation of trustless digital identity systems aligned with the principles of Web3. The proposed model integrates five core components: standardized identity protocols, regulatory alignment, user-centric design, trusted institutional participation, and enterprise integration through middleware. Each layer addresses critical challenges such as legal recognition, interoperability, usability, and system scalability. By combining decentralized technologies with practical governance and user experience strategies, the framework aims to enable secure, verifiable, and portable identities that function across jurisdictions and platforms. This paper offers a foundational approach to advancing digital identity infrastructure in a way that is technically robust and socially inclusive ","This research proposes a multi-layered framework for trustless digital identity systems in Web3 ecosystems, integrating standardized protocols, regulatory alignment, user-centric design, institutional participation, and enterprise integration to enable secure, verifiable, and portable identities across jurisdictions and platforms."
"OntoROPA D2: Proposed Design Specification and Approach","https://scispace.com/paper/ontoropa-d2-proposed-design-specification-and-approach-mspwlb5k9cll","2021","Repository","","Casanovas Pompeu
Alvite-Díez, María-Luisa","10.5281/zenodo.4930887","","Deliverable 2 of OntoROPA Research Project for NGI ONTOCHAIN (H2020 n° 957338). OntoROPA design specification is focused on a modular, distributed, and ontological approach for the design of two layers—software and data—where each module is the answer to a legal requirement. Data comply with standards for the aim of interoperability, and the design of both layers are subjected to a legal governance scheme, specifically set to harmonize an innovative design for the marketplace within a law, policy, and ethics framework. On top of that, Deliverable 2 explores the possibilities that blockchain technology offers: the use of TEE for secure processing, the use of verifiable credentials with standard certificates for identity management, and the use of oracles for accessing external services. ",""
"On Ontology, ontologies, Conceptualizations, Modeling Languages, and (Meta)Models","https://scispace.com/paper/on-ontology-ontologies-conceptualizations-modeling-languages-336uskt4j3","2007","","","Giancarlo Guizzardi","","https://scispace.com/pdf/on-ontology-ontologies-conceptualizations-modeling-languages-336uskt4j3.pdf","In philosophy, the term ontology has been used since the 17th century to refer both to a philosophical discipline (Ontology with a capital “O”), and as a domain-independent system of categories that can be used in the conceptualization of domain-specific scientific theories. In the past decades there has been a growing interest in the subject of ontology in computer and information sciences. In the last few years, this interest has expanded considerably in the context of the Semantic Web and MDA (Model-Driven Architecture) research efforts, and due to the role ontologies are perceived to play in these initiatives. In this paper, we explore the relations between Ontology and ontologies in the philosophical sense with domain ontologies in computer science. Moreover, we elaborate on formal characterizations for the notions of ontology, conceptualization and metamodel, as well as on the relations between these notions. Additionally, we discuss a set of criteria that a modeling language should meet in order to be considered a suitable language to model phenomena in a given domain, and present a systematic framework for language evaluation and design. Furthermore, we argue for the importance of ontology in both philosophical senses aforementioned for designing and evaluating a suitable general ontology representation language, and we address the question whether the so-called Ontology Web languages can be considered as suitable general ontology representation languages. Finally, we motivate the need for two complementary classes of modeling languages in Ontology Engineering addressing two separate sets of concerns.","In this article, the authors explore the relations between ontology and ontologies in the philosophical sense with domain ontologies and discuss a set of criteria that a modeling language should meet in order to be considered a suitable language to model phenomena in a given domain, and present a systematic framework for language evaluation and design."
