"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Formal model for ontology mapping creation","https://scispace.com/paper/formal-model-for-ontology-mapping-creation-2taiw5dvm2","2006","Book Chapter","International Semantic Web Conference","Adrian Mocan
Emilia Cimpian
Mick Kerrigan","10.1007/11926078_33","https://scispace.com/pdf/formal-model-for-ontology-mapping-creation-2taiw5dvm2.pdf","In a semantic environment data is described by ontologies and heterogeneity problems have to be solved at the ontological level. This means that alignments between ontologies have to be created, most probably during design-time, and used in various run-time processes. Such alignments describe a set of mappings between the source and target ontologies, where the mappings show how instance data from one ontology can be expressed in terms of another ontology. We propose a formal model for mapping creation. Starting from this model we explore how such a model maps onto a design-time graphical tool that can be used in creating alignments between ontologies. We also investigate how such a model helps in expressing the mappings in a logical language, based on the semantic relationships identified using the graphical tool.","Title: Formal Model for Ontology Mapping Creation Authors: Adrian Mocan,Emilia Cimpian,Mick Kerrigan"
"An Ontology-Based Metalanguage with Explicit Instantiation","https://scispace.com/paper/an-ontology-based-metalanguage-with-explicit-instantiation-mjb0g5ifzr","2009","Dissertation","","Alfons Laarman","","https://scispace.com/pdf/an-ontology-based-metalanguage-with-explicit-instantiation-mjb0g5ifzr.pdf","MDE (Model Driven Engineering) promotes the use of models in software development process. Models are abstractions of reality made for communication, documentation and analysis. Models are expressed in a modeling language. Every language can be represented by a model and thus can be expressed in a meta-language. The model of the meta-language is often described in the meta-language itself. This stack of models (model, modeling language and meta-language) is called the modeling architecture and is commonly found in MDE technologies.
Recent research shows anomalities in traditional modeling architectures which limit the application of MDE. They observe that several common concepts we find in the modeling languages lack explicit representation. We present a meta-language which does represent these concepts as first class entities: Ontology Grounded Meta-Language (OGML). We regard language design as making ontological commitments, OGML makes these commitments explicit when expressing the traditional modeling languages in it. Currently the emphasis of OGML is on making explicit the instantiation mechanism of modeling languages.
The result is a better understanding of the traditional languages and their properties, better computability of operations on models (transformations) and better interoperability in tool support. To show the benefits of OGML we conducted a case study expressing several languages in OGML. This demonstrates the relevance of the language and the degree to which our goals have been achieved.","OGML as a basis and extends it with an explicit definition of (the semantics of) the instanceOf relation. Related Work in Approach: We found several works that take a similar approach to ours with to solve the problems identified in Chapter 3. Formal Ontology:
 Evermann et al.  use the Formal Ontology for the grounding of existing modeling languages. They give an interpretation function for (UML) model constructs in terms of the BWW ontology. This allows them to analyze the ontological correctness of these constructs. These works thereby provide valuable insights in the nature and meaning of the constructs. Guarino et al.  and Wand et al.  both give a precise definition of attribution . Wand relates this to current modeling practices found in UML and MOF. Wand also proposes a set of rules, which could guide the use of constructs in modeling. Guarino's and Wand's work is also based on the BWW ontology. Formal Ontology:
 Guizzardi et al. [45] and Degen et al.  propose an ""upper layer ontology"" based on FCO. This could be used as a metamodel. They use detailed subcategories of universals: sortals, rigid, anti-rigid, non-rigid, etc. They give mathematical descriptions from ontology to formalize the constraints on language constructs. Although these works provide useful contributions to the modeling community, they do not aim at providing complete solutions for modeling and metamodeling. They do however tackle the problem of lack of real-world relation (relating back to Chapter 1). Describing the Modeling Architecture:
 Gogolla et al.  give a formal representation of the traditional modeling architecture. They only considered UML and MOF. They described all models in the MOF modeling architecture using a minimal model in the form of a graph. Using OCL queries, they express the relations between the different layers in the architecture. They conclude with some interesting questions, which are related to our OGML results: Describing the Modeling Architecture:
 -Are the (instanceOf) relations between the models dependent on the languages? In the approach of OGML, this question is answered positively. -What is the optimal minimal model in terms of understandability? They propose to condense it to a single node. From ontological point of view, this would indeed create more confusion, since it breaks several Rules for truthful real-world representations . In our minimal model: OGMLX, we were able to preserve as much real-world knowledge without creating any ambiguity: the main taxonomy of OGMLX conforms to the ontological square of FCO. From the point of view of the metalanguage, the choice for an OGMLX construct is always determined precisely. -Is it possible to have layer-dependent constraints on the model? Recognizing meta-and modeling languages as semantics descriptions for the instanceOf relations, as OGML does, allows exactly this. In the next chapter, we discuss more potential gains from the instanceOf definition in OGML. -What is the ""typing"" 16   Bézivin of the UMLAssociation in terms of MOF? The ""typing"" of the UMLAssociation is found to map differently to MOFAssociations depending on their order (binary, ternary or n-ary). This result is similar to the different ways we were able to express the UMLAssociation in Chapter 5."
"Formal Verification of Ecosystem Restoration Requirements using UML and
  Alloy","https://scispace.com/paper/formal-verification-of-ecosystem-restoration-requirements-33w6eauou3","2024","Preprint","","Tiago Sousa
Benoît Ries
Nicolas Guelfi","10.48550/arxiv.2405.20722","https://scispace.compdf/formal-verification-of-ecosystem-restoration-requirements-33w6eauou3.pdf","United Nations have declared the current decade (2021-2030) as the ""UN Decade on Ecosystem Restoration"" to join R\&D forces to fight against the ongoing environmental crisis. Given the ongoing degradation of earth ecosystems and the related crucial services that they offer to the human society, ecosystem restoration has become a major society-critical issue. It is required to develop rigorously software applications managing ecosystem restoration. Reliable models of ecosystems and restoration goals are necessary. This paper proposes a rigorous approach for ecosystem requirements modeling using formal methods from a model-driven software engineering point of view. The authors describe the main concepts at stake with a metamodel in UML and introduce a formalization of this metamodel in Alloy. The formal model is executed with Alloy Analyzer, and safety and liveness properties are checked against it. This approach helps ensuring that ecosystem specifications are reliable and that the specified ecosystem meets the desired restoration goals, seen in our approach as liveness and safety properties. The concepts and activities of the approach are illustrated with CRESTO, a real-world running example of a restored Costa Rican ecosystem. ","on the small scope hypothesis. Assessment: This hypothesis asserts that most errors in a model can be detected within a small instance, al-Fig. . Alloy Analyzer output presenting a counterexample for the ""speciesInRestorationGoal"" safety property check. Assessment:
 The counterexample demonstrates that species may not be present in an ecosystem with a restoration goal associated with it, which invalidates the defined safety property in our formal model. lowing for efficient verification of complex requirements. Assessment:
 The Alloy Analyzer leverages this principle, however, its performance may degrade as the complexity of the model increases , which is a limitation to consider. Assessment:
 Nevertheless, our approach demonstrates its effectiveness by identifying inconsistencies and errors in the early stages of the software development lifecycle. By providing a formalized metamodel in Alloy, our method enables stakeholders to precisely capture the intended requirements of an ecosystem as well as restoration goals. Assessment:
 This level of precision reduces ambiguities and enhances the clarity of communication among stakeholders, contributing to a higher level of confidence in the validity of ecosystem requirements. Assessment:
 Our work contributes to integrate formal methods into software engineering by offering a robust and efficient approach for formalizing and verifying ecosystem restoration requirements using Alloy. Assessment:
 This enhances the quality and reliability of software systems while advancing formal methods and software engineering in this domain, laying the groundwork for future research and innovation. Related Work:
 The application of modeling languages and formal methods has become increasingly important across various domains. In this related work section, we provide an overview of existing research utilizing UML and formal methods, highlighting the unique contributions of our approach in addressing the challenges of ecosystem restoration. Related Work:
 UML has been praised as the ""de facto standard"" of software engineering . Despite this, its application extends beyond software engineering and into fields such as environmental modeling and sustainable ecosystem management . Related Work:
 For instance in , Khaiter et al. conceptualized a UML metamodel for an environmental software modeling framework, which serves as a tool for addressing sustainability tasks. Their work outlines the framework's multi-layered architecture and its primary software components, using UML diagrams to depict the internal functional logic of each component. Related Work:
 Compared to those studies, our approach applies a semi-formal UML metamodel specifically for ecosystem restoration requirements and formalizes it with formal methods such as Alloy. Hence, our approach leverages the strengths of both approaches to create more robust and reliable models, particularly in the context of software engineering. Related Work:
 The use of formal methods remains relatively limited in the ecosystem domain, likely due to the complex, dynamic, and often non-linear nature of ecological systems that pose challenges for applying formal techniques. Nevertheless, there are a handful of studies where formal methods have been successfully employed within the ecosystem domain. Related Work:
 For instance, in , Thomas et al. discuss the application of model-checking within ecosystems, automatically assessing the dynamics of ecological systems by verifying whether a state-transition graph satisfies a dynamical property expressed as a temporal logic formula. Related Work:
 This article offers an inventory of existing ecological state-transition graphs and a clear presentation of the model-checking methodology, using ecosystem vegetation models as examples. Related Work:
 Additionally, in , Konigsberg et al. present a formal methodology for modeling and verifying predator-prey interactions in an ecosystem using first-order logic and qualitative methods to verify satisfiability and address performance concerns."
"On Ontology, ontologies, Conceptualizations, Modeling Languages, and (Meta)Models","https://scispace.com/paper/on-ontology-ontologies-conceptualizations-modeling-languages-336uskt4j3","2007","","","Giancarlo Guizzardi","","https://scispace.com/pdf/on-ontology-ontologies-conceptualizations-modeling-languages-336uskt4j3.pdf","In philosophy, the term ontology has been used since the 17th century to refer both to a philosophical discipline (Ontology with a capital “O”), and as a domain-independent system of categories that can be used in the conceptualization of domain-specific scientific theories. In the past decades there has been a growing interest in the subject of ontology in computer and information sciences. In the last few years, this interest has expanded considerably in the context of the Semantic Web and MDA (Model-Driven Architecture) research efforts, and due to the role ontologies are perceived to play in these initiatives. In this paper, we explore the relations between Ontology and ontologies in the philosophical sense with domain ontologies in computer science. Moreover, we elaborate on formal characterizations for the notions of ontology, conceptualization and metamodel, as well as on the relations between these notions. Additionally, we discuss a set of criteria that a modeling language should meet in order to be considered a suitable language to model phenomena in a given domain, and present a systematic framework for language evaluation and design. Furthermore, we argue for the importance of ontology in both philosophical senses aforementioned for designing and evaluating a suitable general ontology representation language, and we address the question whether the so-called Ontology Web languages can be considered as suitable general ontology representation languages. Finally, we motivate the need for two complementary classes of modeling languages in Ontology Engineering addressing two separate sets of concerns.","Title: On Ontology, ontologies, Conceptualizations, Modeling Languages, and (Meta)Models Authors: Giancarlo Guizzardi (Corresponding Author) Keywords: Formal Ontology, Conceptual Modeling, Metamodeling, Language Adequacy"
"Evaluación empírica del mapeo de reglas de negocio para el desarrollo de ontologías","https://scispace.com/paper/evaluacion-empirica-del-mapeo-de-reglas-de-negocio-para-el-4lxdnp3d6f","2014","Journal Article","RISTI: Revista Ibérica de Sistemas e Tecnologias de Informação","Emiliano Reynares
María Laura Caliusco
María Rosa Galli","10.17013/RISTI.14.83-99","https://scispace.com/pdf/evaluacion-empirica-del-mapeo-de-reglas-de-negocio-para-el-4lxdnp3d6f.pdf","The methodologies for the development of ontologies aimed to be used as software artifacts remain to be an open research area. Although the most widely recognized are rooted on UML given the acceptance of that language in the community of software engineering, none of them are fully mature. Recent works propose the mapping of SBVR expressions to ontology statements as a building technique, but just an empirical study comparing SBVR and UML-rooted techniques has been performed until now. This work analyzes the technical feasibility of SBVR to OWL 2 mappings by depicting a first differentiated replication of the original experiment varying the treatments, the size and composition of the experimental units, and comparing the performance of SBVR and ODM-based techniques. The findings allow sustaining the technical feasibility of the SBVR to OWL 2 mappings as an ontology development technique able to be applied by the software engineering community.","m a c i ó n . S u aplicación implica un proceso de aprendizaje dificultoso tanto para profesionales de la ingeniería de software como para investigadores que no se encuentren particularmente familiarizados con tales conocimientos . Introducción:
 A fin de evitar tal inconveniente, un grupo de propuestas metodológicas se basó en estándares ampliamente reconocidos en el campo de la ingeniería de software . En general, tales propuestas hacen uso del Lenguaje de Modelado Unificado (UML) (Object Management Group (OMG), 2011) y del Lenguaje de Restricción de Objetos (OCL) (Object Management Group (OMG), 2012) para el modelado conceptual de la ontología (Wang y Chan, 2001)(Guizzardi y otros, 2002)(de . Sus principales ventajas radican en la amplia aceptación que posee en la comunidad de ingeniería de software, su representación gráfica estandarizada de los modelos, la gran disponibilidad de herramientas que le brindan soporte y su naturaleza extensible . Sin embargo, la falta de una semántica precisa de conjuntos y la ausencia de una teoría de modelos asociada impide la ejecución de razonadores automatizados sobre modelos UML. Tampoco OCL posee una teoría formal de modelos ni una teoría formal de prueba de modelos, por lo que tampoco resulta un candidato posible para la ejecución de procesos automatizados de razonamiento . El lenguaje Ontology Definition Metamodel (ODM) (Object Management Group (OMG), 2009) es otro enfoque en esta misma dirección . ODM es una familia de meta-modelos MOF (Object Management Group (OMG), 2011a), mapeos entre dichos meta-modelos, y mapeos desde y hacia el lenguaje UML (Object Management Group (OMG), 2011b), además de un conjunto de perfiles que permiten el modelado de ontologías mediante herramientas basadas en UML. Introducción:
 En forma opuesta a la notación gráfica de las propuestas basadas en UML, trabajos recientes han remarcado que la definición ontológica de conceptos en un lenguaje formal es muy similar a la descripción de dichos conceptos por medio del lenguaje natural: en ambos casos una expresión es construida mediante la combinación de símbolos de acuerdo a reglas gramaticales . Basándose en este punto de vista, algunos autores han propuesto el mapeo de expresiones lingüísticas de reglas de negocio a constructores ontológicos como una técnica de desarrollo de ontologías ."
"Using formal metamodels to check consistency of functional views in information systems specification","https://scispace.com/paper/using-formal-metamodels-to-check-consistency-of-functional-25vlp3knbn","2008","Journal Article","Information & Software Technology","Régine Laleau
Fiona A. C. Polack","10.1016/J.INFSOF.2007.10.007","https://scispace.com/pdf/using-formal-metamodels-to-check-consistency-of-functional-25vlp3knbn.pdf","UML notations require adaptation for applications such as Information Systems (IS). Thus we have defined IS-UML. The purpose of this article is twofold. First, we propose an extension to this language to deal with functional aspects of IS. We use two views to specify IS transactions: the first one is defined as a combination of behavioural UML diagrams (collaboration and state diagrams), and the second one is based on the definition of specific classes of an extended class diagram. The final objective of the article is to consider consistency issues between the various diagrams of an IS-UML specification. In common with other UML languages, we use a metamodel to define IS-UML. We use class diagrams to summarize the metamodel structure and a formal language, B, for the full metamodel. This allows us to formally express consistency checks and mapping rules between specific metamodel concepts.","Title: Using formal metamodels to check consistency of functional views in information systems specification Authors: Régine Laleau (Corresponding Author),Fiona Polack Keywords: Information System Design, Unified Modelling Language Notation, Metamodel, Formal Notation"
"A language for ontology-based metamodeling systems","https://scispace.com/paper/a-language-for-ontology-based-metamodeling-systems-34qboinicj","2010","Book Chapter","Advances in Databases and Information Systems","Stéphane Jean
Yamine Ait-Ameur
Guy Pierra","10.1007/978-3-642-15576-5_20","https://scispace.com/pdf/a-language-for-ontology-based-metamodeling-systems-34qboinicj.pdf","Nowadays, metamodeling techniques and ontologies play a central role in many computer science problems such as data exchange, integration of heterogeneous data and models or software reuse. Yet, if many metamodeling repositories and ontology repositories have been proposed, few attempts have been made to combine their advantages into a single repository with a dedicated language. In this paper, we present the capabilities of the OntoQL language for managing the various levels of information stored in a metamodeling systems where (1) both data, models and metamodels are available and (2) semantic descriptions are provided using ontologies. Some of the main characteristics of OntoQL are: management of the metamodel level using the same operators as the ones applied to data and to model levels, semantic queries through ontologies and SQL compatibility. We report several applications where this language has been extensively and successfully used.","Title: A Language for Ontology-Based Metamodeling Systems Authors: Stéphane Jean,Yamine Aït-Ameur,Guy Pierra Introduction:
 In the last two decades, with the appearance of model driven engineering techniques where both data, models and mappings between models are represented as data, metadata play a major role and become central concepts manipulated by these techniques. They are used in the definition of computer based solutions for interoperability, data exchange, software reuse, model transformation and so on. At the origin, databases with their system catalogs and functional languages with continuations (like in Lisp) were the first systems that permitted the explicit manipulation of these metadata. Introduction:
 When designing information systems, the introduction of metadata leads to information systems whose architecture is composed of three levels representing: data, models and metamodels. Such systems are named metamodel based systems (MMS). Three domains present relevant examples putting into practice MMS systems: 1) ontologies, 2) database and 3) software engineering. Introduction:
 1. In the semantic web, ontology models are used for representing ontologies. Introduction:
 Yet, these ontologies are themselves models of their instances. As a consequence, managing these data actually requires the three levels of information. 2. In database systems, data are instances of schemas whose structure is represented by instantiating metadata stored in the system catalog. Introduction:
 3. In software engineering, UML environments are designed on the basis of the MOF architecture  that also uses three levels of information. Introduction:
 A major problem that arises when managing MMS is the growing number of evolving metamodels. Coming back to our three examples, we notice that: Introduction:
 1. many ontology models are used: OWL , RDFS  or PLIB . Moreover, most of these models are evolving regularly to satisfy new user needs; 2. each database system has its own system catalog structure supporting common features, with specificities not available in other system catalogs; 3. each UML environment supports a specific subset of the UML standard. Introduction:
 To support metamodels evolution, the OMG proposal consists in introducing a fourth upper level: the metametamodel . Thus new metamodels are created as instances of this upper level. If this approach has been followed in software engineering and databases with systems such as ConceptBase  or Rondo  and languages such as mSQL  or QML , it is not generalized to ontology-based applications. These systems and languages could be used to represent ontologies but they would not exploit specific features of ontologies such as universal identification of concepts using namespaces/URI or multilingual descriptions."
"Toward an Ontology-Driven Unifying Metamodel for UML Class Diagrams, EER, and ORM2","https://scispace.com/paper/toward-an-ontology-driven-unifying-metamodel-for-uml-class-3hn07dr2tu","2013","Book Chapter","International Conference on Conceptual Modeling","C. Maria Keet
Pablo Rubén Fillottrani","10.1007/978-3-642-41924-9_26","https://scispace.com/pdf/toward-an-ontology-driven-unifying-metamodel-for-uml-class-3hn07dr2tu.pdf","Software compatibility and application integration can be achieved using their respective conceptual data models However, each model may be represented in a different language While such languages seem similar yet known to be distinct, no unifying framework exists that respects all of their language features Aiming toward filling this gap, we designed a common, ontology-driven, metamodel of the static, structural, components of ER, EER, UML v241, ORM, and ORM2, such that each is a fragment of the encompassing consistent metamodel This paper presents and overview and notable insights obtained on the real common core entities and constraints, roles and relationships, and attributes and value types that we refine with the notion of dimensional attribute","cardinality, and the subset constraint. Attributions are represented differently in each language, but, ontologically, they denote the same notions. Several implicit aspects, such as dimensional attribute and its reusability and relationship versus predicate, have been made explicit. Conclusions:
 Due to space limitations, the details of the complete metamodel is not described; it has been developed already and revealed that, aside from identification, there are no crucial irreconcilable disagreements in the languages. We have commenced with the formalisation. Once completed, this metamodel will help in the comprehension of differences between heterogenous conceptual models and in the development of tools that will aid information integration. Acknowledgements This work is based upon research supported by the National Research Foundation of South Africa (Project UID: 80584) and the Argentinian Ministry of Science and Technology."
"An ontological metamodel for cyber-physical system safety, security, and resilience coengineering","https://scispace.com/paper/an-ontological-metamodel-for-cyber-physical-system-safety-19juhr4jaf","2021","Journal Article","Software and Systems Modeling","Georgios Bakirtzis
Timothy J. Sherburne
Stephen Adams
Barry M. Horowitz
Peter A. Beling
Cody Fleming","10.1007/S10270-021-00892-Z","https://scispace.com/pdf/an-ontological-metamodel-for-cyber-physical-system-safety-19juhr4jaf.pdf","Cyber-physical systems are complex systems that require the integration of diverse software, firmware, and hardware to be practical and useful. This increased complexity is impacting the management of models necessary for designing cyber-physical systems that are able to take into account a number of “-ilities”, such that they are safe and secure and ultimately resilient to disruption of service. We propose an ontological metamodel for system design that augments an already existing industry metamodel to capture the relationships between various model elements (requirements, interfaces, physical, and functional) and safety, security, and resilient considerations. Employing this metamodel leads to more cohesive and structured modeling efforts with an overall increase in scalability, usability, and unification of already existing models. In turn, this leads to a mission-oriented perspective in designing security defenses and resilience mechanisms to combat undesirable behaviors. We illustrate this metamodel in an open-source GraphQL implementation, which can interface with a number of modeling languages. We support our proposed metamodel with a detailed demonstration using an oil and gas pipeline model.","mitigative actions if things are measured to be abnormal-given an initial notion of what normal behavior means in the design phase and is updated throughout the rest of the lifecycle. In the rest of the paper, we will use sentinel to indicate this design pattern. Mission aware cybersecurity:
 There are many other possible methodologies and uses of the metamodel, but this section serves as a relatively concrete guide for its use. The brief familiarity with mission aware is necessary for the case study demonstration of the metamodel (Sect. 4), because the modeling artifacts assume this engineering methodology. Metamodels for system design:
 The problem of creating useful metamodels for software system design and the overall need for systems-level metamodels is not new, and indeed, the long-term vision of using metamodels to integrate methods and tools and maintain consistency within different model views has not changed . Beyond the Vitech metamodel, which was built specifically to address an industry need, there are other approaches to structured modeling that have emerged in the past two decades. The consensus and general trajectory of this line of research seems to be toward specialized ontologies for a particular application and not a general metamodel for all system design. Specialized ontologies can bridge diverse views necessary for the particular type of system, in this case CPS, leading to better management of already existing model types. In particular, by specializing, one can capture precise semantics for hierarchical decomposition, which we posit is one way to achieve multilevel modeling . Any graphical language can be described or otherwise contained by the OMG meta object facility (MOF) specification . However, MOF relates to the implementation of diagrammatic languages and not to the structured modeling we want to facilitate to assure a number of ""-ilities"". With this in mind, we see a gap in structured modeling for the domain of CPS, where we need to provide evidence of safe and secure operation before deployment. Metamodels for system design:
 Practical reports on modeling methods show that currently we lack effective collaboration, are error-prone in syncing models, and often metamodels are only useful if used fully . Our metamodel partially overcomes these challenges by working across design artifacts, allowing checks of agreement by using a consistent metamodel outside of a particular modeling language or tool, and does not require full conformance to assist in decision-making. This means that depending on the CPS application, system modelers can use the appropriate subgraph of the overall metamodel. Metamodels for system design:
 In general, expertly constructing metamodels requires an iterative process . Informal modeling tools must be connected to concrete semantics. These semantics often come from the relationships between metamodel entities and not necessarily from the entities themselves. Beyond the actual construction of a metamodel, there is still no deep understanding about what information a metamodel should include, how it should be included, and in what way it should be related . This means that a large part of metamodeling construction happens by example."
"An Ontological Metamodel for Cyber-Physical System Safety, Security, and Resilience Coengineering","https://scispace.com/paper/an-ontological-metamodel-for-cyber-physical-system-safety-2bfcwh2ip6","2020","Journal Article","arXiv: Software Engineering","Georgios Bakirtzis
Timothy J. Sherburne
Stephen Adams
Barry M. Horowitz
Peter A. Beling
Cody Fleming","10.1007/S10270-021-00892-Z","https://scispace.com/pdf/an-ontological-metamodel-for-cyber-physical-system-safety-2bfcwh2ip6.pdf","System complexity has become ubiquitous in the design, assessment, and implementation of practical and useful cyber-physical systems. This increased complexity is impacting the management of models necessary for designing cyber-physical systems that are able to take into account a number of ``-ilities'', such that they are safe and secure and ultimately resilient to disruption of service. We propose an ontological metamodel for system design that augments an already existing industry metamodel to capture the relationships between various model elements and safety, security, and resilient considerations. Employing this metamodel leads to more cohesive and structured modeling efforts with an overall increase in scalability, usability, and unification of already existing models. In turn, this leads to a mission-oriented perspective in designing security defenses and resilience mechanisms to combat undesirable behaviors. We illustrate this metamodel in an open-source GraphQL implementation, which can interface with a number of modeling languages. We support our proposed metamodel with a detailed demonstration using an oil and gas pipeline model.","mitigative actions if things are measured to be abnormal-given an initial notion of what normal behavior means in the design phase and is updated throughout the rest of the lifecycle. In the rest of the paper, we will use sentinel to indicate this design pattern. Mission aware cybersecurity:
 There are many other possible methodologies and uses of the metamodel, but this section serves as a relatively concrete guide for its use. The brief familiarity with mission aware is necessary for the case study demonstration of the metamodel (Sect. 4), because the modeling artifacts assume this engineering methodology. Metamodels for system design:
 The problem of creating useful metamodels for software system design and the overall need for systems-level metamodels is not new, and indeed, the long-term vision of using metamodels to integrate methods and tools and maintain consistency within different model views has not changed . Beyond the Vitech metamodel, which was built specifically to address an industry need, there are other approaches to structured modeling that have emerged in the past two decades. The consensus and general trajectory of this line of research seems to be toward specialized ontologies for a particular application and not a general metamodel for all system design. Specialized ontologies can bridge diverse views necessary for the particular type of system, in this case CPS, leading to better management of already existing model types. In particular, by specializing, one can capture precise semantics for hierarchical decomposition, which we posit is one way to achieve multilevel modeling . Any graphical language can be described or otherwise contained by the OMG meta object facility (MOF) specification . However, MOF relates to the implementation of diagrammatic languages and not to the structured modeling we want to facilitate to assure a number of ""-ilities"". With this in mind, we see a gap in structured modeling for the domain of CPS, where we need to provide evidence of safe and secure operation before deployment. Metamodels for system design:
 Practical reports on modeling methods show that currently we lack effective collaboration, are error-prone in syncing models, and often metamodels are only useful if used fully . Our metamodel partially overcomes these challenges by working across design artifacts, allowing checks of agreement by using a consistent metamodel outside of a particular modeling language or tool, and does not require full conformance to assist in decision-making. This means that depending on the CPS application, system modelers can use the appropriate subgraph of the overall metamodel. Metamodels for system design:
 In general, expertly constructing metamodels requires an iterative process . Informal modeling tools must be connected to concrete semantics. These semantics often come from the relationships between metamodel entities and not necessarily from the entities themselves. Beyond the actual construction of a metamodel, there is still no deep understanding about what information a metamodel should include, how it should be included, and in what way it should be related . This means that a large part of metamodeling construction happens by example."
