"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Self-sovereign-identity & eIDAS: a contradiction? Challenges and chances of eIDAS 2.0","https://scispace.com/paper/6MinCVJPv-QJ","","","","S Schwalm
I Alamillo-Domingo","","https://www.researchgate.net/profile/Steffen-Schwalm/publication/361902742_Self-Sovereign-Identity_eIDAS_a_Contradiction_Challenges_and_Chances_of_eIDAS_20/links/62cbd0a3cab7ba7426e4ae04/Self-Sovereign-Identity-eIDAS-a-Contradiction-Challenges-and-Chances-of-eIDAS-20.pdf","… eIDAS with the aim to establish a framework for a European Digital Identity; in other words, eIDAS … but further development of eIDAS in the context of decentralization and the upcoming …",""
"Self-Sovereign Identity and eIDAS 2.0: An Analysis of Control, Privacy, and Legal Implications","https://scispace.com/paper/3_7_IhqmxgEJ","","","","N Sitouah
M Esposito
F Bruschi","","https://arxiv.org/pdf/2601.19837","… Research Objectives This study adopts a normative and analytical comparative approach to evaluate the compatibility of SSI with the eIDAS 2.0 regulatory framework. The primary …",""
"A survey on decentralized identifiers and verifiable credentials","https://scispace.com/paper/a-survey-on-decentralized-identifiers-and-verifiable-3a25dj4phs","2024","Journal Article","arXiv.org","Carlo Mazzocca
Abbas Acar
Selcuk Uluagac
Rebecca Montanari
Paolo Bellavista
Mauro Conti","10.48550/arxiv.2402.02455","https://arxiv.org/pdf/2402.02455","… that have profoundly reshaped digital identity management, … the emerging paradigm of SelfSovereign Identity (SSI), which … ], establishing the European Digital Identity Framework. This …","Digital identity has always been considered the keystone for implementing secure and trustworthy communications among parties. The ever-evolving digital landscape has gone through many technological transformations that have also affected the way entities are digitally identified. During this digital evolution, identity management has shifted from centralized to decentralized approaches. The last era of this journey is represented by the emerging Self-Sovereign Identity (SSI), which gives users full control over their data. SSI leverages decentralized identifiers (DIDs) and verifiable credentials (VCs), which have been recently standardized by the World Wide Web Community (W3C). These technologies have the potential to build more secure and decentralized digital identity systems, remarkably contributing to strengthening the security of communications that typically involve many distributed participants. It is worth noting that the scope of DIDs and VCs extends beyond individuals, encompassing a broad range of entities including cloud, edge, and Internet of Things (IoT) resources. However, due to their novelty, existing literature lacks a comprehensive survey on how DIDs and VCs have been employed in different application domains, which go beyond SSI systems. This paper provides readers with a comprehensive overview of such technologies from different perspectives. Specifically, we first provide the background on DIDs and VCs. Then, we analyze available implementations and offer an in-depth review of how these technologies have been employed across different use-case scenarios. Furthermore, we examine recent regulations and initiatives that have been emerging worldwide. Finally, we present some challenges that hinder their adoption in real-world scenarios and future research directions."
"Integrating Verifiable Credentials and Decentralized Identifiers in Cross-Border Payments: Use Cases, Benefits, Opportunities, and Interoperability Benefits","https://scispace.com/paper/fXI0U_oVizUJ","","","","OEG Rıos","","https://blockstand.eu/blockstand/uploads/2025/05/Use_cases__benefits__opportunities_and_interoperability_benefits_of_integrating_VCs_and_DIDs_in_cross_border_payment.pdf","… By integrating DIDs and VCs within this framework, businesses can … how Self-Sovereign Identity (SSI) solutions can be integrated within the eIDAS framework to enhance digital identity …",""
"A model for assessing the adherence of E-identity solutions to self-sovereign identity","https://scispace.com/paper/a-model-for-assessing-the-adherence-of-e-identity-solutions-4a736jphzc","","Journal Article","","Cristian Lepore
Romain Laborde
Jessica Eynard
Mohamed Ali Kandi
Giorgia Macilotti
Afonso Ferreira
Michelle Sibilla","10.1007/978-3-031-60215-3_15","https://hal.science/hal-04558484v2/file/ModelToAssessEID%20%281%29.pdf","… major assessments under the eIDAS framework, and their list … providers in SSI is also positive even though under the eIDAS, … eIDAS contributes to robust interoperability across Europe. …","Self-Sovereign Identity (SSI) represents a new concept to manage digital identities, aiming to empower individuals by giving them control over their data. However, the concept is still elusive, and many design patterns coexist without an agreed-upon standard which allows anyone to build identity systems while declaring adherence to SSI. We contribute by formalizing a definition of Self-Sovereign Identity and a corresponding evaluation model of digital identity solutions. We then demonstrate our model value with an in-depth analysis of VIDchain, a business product that promotes Self-Sovereign Identity services in compliance with European regulations. Ultimately, our analysis discusses the quest for a perfect SSI solution and supplies end users with a tool to choose the SSI e-identity solution that best fits their needs. "
"Toward interoperable self-sovereign identities","https://scispace.com/paper/53sNl_Dbbh0J","","","","H Yildiz
A Küpper
D Thatmann
S Göndör","","https://ieeexplore.ieee.org/iel7/6287639/6514899/10246272.pdf","… SSI interoperability to achieve it ultimately. In Section V, we propose a definition of interoperability in the context of SSI… Aries ecosystem and have verifiable credentials issued by an …",""
"Digital identities and verifiable credentials","https://scispace.com/paper/digital-identities-and-verifiable-credentials-3geoh1z1d5","2021","Journal Article","Web Intelligence","Johannes Sedlmeir
Reilly Smethurst
Alexander Rieger
Gilbert Fridgen","10.1007/S12599-021-00722-Y","https://link.springer.com/content/pdf/10.1007/s12599-021-00722-y.pdf","… key differences when the governance of decentralized digital identity systems is compared to the governance of blockchain-based systems. Moreover, governance frameworks should …",""
"A taxonomy of challenges for self-sovereign identity systems","https://scispace.com/paper/a-taxonomy-of-challenges-for-self-sovereign-identity-systems-2e87ixxeua","","Journal Article","IEEE Access","Abylay Satybaldy
Md. Sadek Ferdous
Mariusz Nowostawski","10.1109/access.2024.3357940","https://ieeexplore.ieee.org/iel7/6287639/6514899/10413448.pdf","… architectural framework for the SSI stack (Section IV), the identified development phases for … It is important to note that AnonCreds predates the W3C Verifiable Credentials standard and …","Creating and utilizing digital identities are fundamental steps towards accessing online services. In order to facilitate the management of user identities, the concept of identity management has been introduced. Various systems and protocols have been developed to manage online identities. However, these systems are provider-centric, focusing on aiding providers in managing their user bases. As a result, users often have limited control over their identity data and remain unaware of how centralized identity providers use or potentially misuse their data. Self-Sovereign Identity (SSI) has emerged as a new paradigm in the digital identity management landscape, aiming to empower users by allowing them greater control over their identity data. Although SSI is a relatively new domain, there have been numerous efforts, primarily from the industry, to introduce SSI standards, protocols, and systems, with multiple options in each category. Researchers eager to contribute to the SSI domain might find it challenging to understand the interconnections among these components. Notably, the SSI domain faces several challenges, as highlighted in various research works. These challenges must be addressed before SSI can achieve widespread adoption. This article presents a comprehensive systematic literature review of SSI, offers a detailed taxonomy, and identifies and analyzes the open challenges in SSI. "
"Next-Generation Digital Identity Systems for E-Governance Using Blockchain Technology","https://scispace.com/paper/rGu3FRAsfkoJ","","","","M Mejail","","https://www.fsrap.com/index.php/TICDA/article/download/52/52","… egovernance. This paper proposes a next-generation digital identity framework based on … Decentralized Identifiers (DIDs), Verifiable Credentials (VCs), and smart contracts to support …",""
"Blockchain-Based Digital Identity Management: A Comprehensive Review of Security, Privacy, Regulatory Perspectives, and Future Directions","https://scispace.com/paper/x5mty1ZakcMJ","","","","EMAJ Alaridhi
DS Naji","","https://journals.uokerbala.edu.iq/index.php/UOKJ/article/download/4319/2878","… Secure and reliable digital identity management has become a cornerstone … framework enabling self-sovereign identity (SSI), decentralized identifiers (DIDs), and verifiable credentials (…",""
"Self-sovereign identity: A conceptual framework and research agenda","https://scispace.com/paper/KVU9-y_ZkbsJ","","","","D Richter
J Anke","","https://link.springer.com/content/pdf/10.1007/s12525-025-00867-8.pdf","… wallet applications, which allow them to store and present digitally verifiable credentials. … SSI in IS, we propose a consolidated conceptual framework (Fig. 1). The framework unpacks SSI…",""
"Architectural insights into trustee's authentication manager: Leveraging ssi and eidas","https://scispace.com/paper/architectural-insights-into-trustees-authentication-manager-mwhrs7l162","2023","Journal Article","","A. Grammatopoulos
Ioannis Stylianou
Eneko Gómez Ramos
Ivan Gutierrez-Aguero
Cristina Regueiro
Ilias Politis","10.1109/camad59638.2023.10478431","","… eIDAS network to obtain verified user identity data from reliable sources [6]. … SSI facilitates user authentication, the eIDAS framework assists in providing users with verifiable credentials …",""
"Evolution of Digital Identity in Europe: Experimenting with the eIDAS 2.0 Framework and the EU Digital Identity Wallet","https://scispace.com/paper/mvxbDyi1uXAJ","","","","A Vanella","","https://webthesis.biblio.polito.it/secure/35272/1/tesi.pdf","… eIDAS 2.0 and the SSI model, comparing it with previous approaches and highlighting its strengths and challenges. Then, it explores the EU Digital Identity … a pair of eIDAS nodes will be …",""
"An interoperable access control system based on self-sovereign identities","https://scispace.com/paper/an-interoperable-access-control-system-based-on-self-jwoq54weixpu","2022","Repository","","V Papanchev","10.5445/ir/1000150884","https://scholar.archive.org/work/ngu45gyp6rh3fczgziyxe3jllu/access/wayback/https://publikationen.bibliothek.kit.edu/1000150884/149344800","… the SSI technologies, functional interoperability between SSI … SSI technology and its high overhead make adoption of SSI … Verifiable Credentials and the usage of well-established SSI …","The extreme growth of the World Wide Web in the last decade together with recent scandals related to theft or abusive use of personal information have left users unsatisfied withtheir digital identity providers and concerned about their online privacy. Self-SovereignIdentity (SSI) is a new identity management paradigm which gives back control over personal information to its rightful owner - the individual. However, adoption of SSI on theWeb is complicated by the high overhead costs for the service providers due to the lackinginteroperability of the various emerging SSI solutions. In this work, we propose an AccessControl System based on Self-Sovereign Identities with a semantically modelled AccessControl Logic. Our system relies on the Web Access Control authorization rules usedin the Solid project and extends them to additionally express requirements on VerifiableCredentials, i.e., digital credentials adhering to a standardized data model. Moreover,the system achieves interoperability across multiple DID Methods and types of VerifiableCredentials allowing for incremental extensibility of the supported SSI technologies bydesign. A Proof-of-Concept prototype is implemented and its performance as well as multiple system design choices are evaluated: The End-to-End latency of the authorizationprocess takes between 2-5 seconds depending on the used DID Methods and can theoretically be further optimized to 1.5-3 seconds. Evaluating the potential interoperabilityachieved by the system shows that multiple DID Methods and different types of VerifiableCredentials can be supported. Lastly, multiple approaches for modelling required Verifiable Credentials are compared and the suitability of the SHACL language for describingthe RDF graphs represented by the required Linked Data credentials is shown. "
"A Model for Assessing the Adherence of E-Identity Solutions to Self-Sovereign Identity","https://scispace.com/paper/a-model-for-assessing-the-adherence-of-e-identity-solutions-4a736jphzc","","Journal Article","","Cristian Lepore
Romain Laborde
Jessica Eynard
Mohamed Ali Kandi
Giorgia Macilotti
Afonso Ferreira
Michelle Sibilla","10.1007/978-3-031-60215-3_15","","… major assessments under the eIDAS framework, and their list is … in SSI is also positive even though under the eIDAS, Member … , and eIDAS contributes to robust interoperability across …","Self-Sovereign Identity (SSI) represents a new concept to manage digital identities, aiming to empower individuals by giving them control over their data. However, the concept is still elusive, and many design patterns coexist without an agreed-upon standard which allows anyone to build identity systems while declaring adherence to SSI. We contribute by formalizing a definition of Self-Sovereign Identity and a corresponding evaluation model of digital identity solutions. We then demonstrate our model value with an in-depth analysis of VIDchain, a business product that promotes Self-Sovereign Identity services in compliance with European regulations. Ultimately, our analysis discusses the quest for a perfect SSI solution and supplies end users with a tool to choose the SSI e-identity solution that best fits their needs. "
"Designing an academic electronic identity management system for student mobility using eidas eid and self-sovereign identity technologies","https://scispace.com/paper/BEyqKXXMXm4J","","","","P Kavassalis","","https://eunis.org/download/2020/EUNIS_2020_paper_63.pdf","… digital identity. Section 3 describes the core principles of the … framework for HEIs integration towards eIDAS, which leverages the potential of the emerging Self Sovereign Identity (SSI) …",""
"A semantic framework for defining and assessing e-identity management ecosystems based on self-sovereign identity principles","https://scispace.com/paper/_NtNvYA7NqoJ","","","","C Lepore","","https://theses.hal.science/tel-05554605/file/2025TLSES209.pdf","… framework based on architectural metrics. We develop a framework that operationalizes SSI … The mapping of eIDAS to the Trust Over IP framework [18], along with similar mappings in …",""
