"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"The essence of multilevel metamodeling","https://scispace.com/paper/the-essence-of-multilevel-metamodeling-4gr43qnume","2001","Book Chapter","Lecture Notes in Computer Science","Colin Atkinson
Thomas Kühne","10.1007/3-540-45441-1_3","https://www.academia.edu/download/30668025/essence.pdf","… a sound basis for a multi-level modeling architecture. This … instantiation mechanism as deep instantiation. Only with a … be concisely captured in terms of constraints on, and relationships …","As the UMLattempts to make the transition from a single, albeit extensible, language to a framework for a family of languages, the nature and form of the underlying meta-modeling architecture will assume growing importance. It is generally recognized that without a simple, clean and intuitive theory of how metamodel levels are created and related to one another, the UML2.0 vision of a coherent family of languages with a common core set of concepts will remain elusive. However, no entirely satisfactory metamodeling approach has yet been found. Current (meta-)modeling theories used or proposed for the UML all have at least one fundamental problem that makes them unsuitable in their present form. In this paper we bring these problems into focus, and present some fundamental principles for overcoming them. We believe that these principles need to be embodied within the metamodeling framework ultimately adopted for the UML2.0 standard."
"Handling multiple levels in agent-based models of complex socio-environmental systems: A comprehensive review","https://scispace.com/paper/handling-multiple-levels-in-agent-based-models-of-complex-3cikit3f","2022","Journal Article","Frontiers in Applied Mathematics and Statistics","Arthur Brugière
Doanh Nguyen-Ngoc
Alexis Drogoul","10.3389/fams.2022.1020353","https://www.frontiersin.org/journals/applied-mathematics-and-statistics/articles/10.3389/fams.2022.1020353/pdf","… from the classical ABM metamodel. A complete review of the … focuses on the operational instantiation of processes such as … can be answered by which multi-level coupling solutions, we …","Agent-based modeling (ABM) has been successfully used, since its emergence in the 1990s, to model and simulate the dynamics at work in complex socio-environmental systems, in many domains and applications where interactions between people and their environments give rise to emergent phenomena that are difficult to study otherwise (urban planning, land-use change, adaptation to environmental changes, biodiversity protection in socio-ecosystems, environmental pollution control, etc.). The inclusion of multiple levels of analysis, abstraction, and representation in these models, however, is much more recent and is still the subject of many proposals and discussions within a relatively informal field, Multilevel Agent-Based Modeling (ML-ABM), which is most often presented as an approach that extends the classical ABM paradigm to include multilevel concepts. Over the past decade, ML-ABM has been increasingly adopted and explored by researchers as an effective paradigm for framing and defining the mechanisms underlying multilevel dynamics. However, due to the youth of the field, no single definition, methodology, or tool unifies studies in this rapidly expanding area. This review will begin with an introduction to socio-environmental systems (SES) and the challenges that modeling approaches face in representing them properly, especially regarding the complexity of human behaviors and organizations. ABM presents opportunities for modeling SESs with respect to these challenges, including the simulation of individual and social behavior and their ability to provide a descriptive and generative representation of the simulated system. However, ABM is limited in its ability to represent levels and scales, as these concepts are absent from the classical ABM metamodel. A complete review of the ML-ABM literature will be carried out, structured around a continuum that emerged during the review: that of the distribution of behaviors (and thus, from a software engineering perspective, of control) across the levels, from approaches that allow only one level to be active at a time, to approaches that rely on simultaneous activity and feedback loops between several levels. Different design choices will, thus, be presented to meet the different needs of multi-level representation, focusing on the interest on modelers and the strengths and limitations of each. In particular, we will highlight a limitation shared by all the reviewed approaches, namely their inability to represent several parallel hierarchies of levels and their interactions, a capability that appears more and more crucial to finely represent social behaviors in SES. A new perspective on the interest that the AGR approach could represent to allow this representation of hierarchies allows us to conclude on the research perspectives are still open."
"Designing Models and Systems to Support IT Management: A Case for Multilevel Modeling.","https://scispace.com/paper/designing-models-and-systems-to-support-it-management-a-case-aetwtrboay","2016","","","Ulrich Frank","","https://www.wi-inf.uni-due.de/FGFrank-eol-2018/documents/Konferenzbeitraege/ML-ITML-Multi2016.pdf","… tecture and a corresponding meta-modeling and programming facility … Multi-level domain modeling with m-objects and m-… Dual deep instantiation and its conceptbase implementation. In …","Refering to the domain of IT management, this paper demonstrates conceptual strengths and economic benefits of multilevel modeling. In the past, IT management was primarily focussed on technical aspects of IT infrastructures. In recent years, more and more organizations became aware of the pivotal relevance their IT infrastructures has for staying competitive. Therefore, IT managers are expected to not only provide IT services, but also to justify investments and costs with respect to the benefit the IT creates. On the one hand this responsibility demands for methods that allow for reducing the complexity of both, the IT infrastructure and the business. On the other hand, it is required accounting for interdependencies between these two areas. Specialized frameworks for IT management provide guidelines for specifying, managing and controlling IT services. Enterprise architectures or enterprise models support the alignment of IT and business by integrating models of the IT infrastructure and of enterprise software systems with models of the organizational action system. Against this background, specific requirements of modeling IT infrastructures will be looked at in more detail. It will then be demonstrated that a multilevel language architecture and a corresponding meta-modeling and programming facility represent a powerful foundation for the development of advanced tools for IT management."
"A Methodological Approach to Legal Governance Validation","https://scispace.com/paper/CYqKlZXWcGoJ","","","","M Palmirani
P Casanovas
U Pagallo
G Sartor","","https://optimai.eu/wp-content/uploads/2024/07/AICOL23-Three-Steps-Methodology-final5.pdf","… automated asymmetric multi-level governance are needed, … recreate their types and instantiations in many ways. Agents, … ; (ii) a metamodel for legal governance to be implemented by …",""
"Leveraging multi-level modeling for multi-domain quality assessment","https://scispace.com/paper/leveraging-multi-level-modeling-for-multi-domain-quality-syby7c3m8wub","","","","Maria Teresa Rossi
Martina Dal Molin
Ludovico Iovino
Martina De Sanctis
Manuel Wimmer","10.1109/models-c53483.2021.00085","","… Smart governance exploits KPIs coming from standard guide… This means that we can instantiate multiple Ecore models as … frameworks developed for one metamodel (customization) as …","Quality Evaluation Systems (QESs) are a class of software systems which receive evaluation requests and quality requirement specifications as inputs and produce results as outputs of an assessment process. This class of systems usually work with a quality model including quality definitions and metrics, and produce the output as a quantitative evaluation of a subject. QESs can be implemented using model-driven techniques and dedicated languages, for domain-specific evaluation of different subjects. However, applying traditional two-level metamodeling techniques for this scenario entails that every time a QES is required, a new modeling framework, with consequent engine for interpreting the newly defined models, must be re-developed from scratch. To overcome this repetitive process, in this paper, we propose a Multi-Level Modeling (MLM) approach for realizing the artifacts involved in the development phase of a QES which are reusable across multiple domains. We demonstrate the approach with running examples from three different application domains comprising different evaluation scenarios."
"A three steps methodological approach to legal governance validation","https://scispace.com/paper/a-three-steps-methodological-approach-to-legal-governance-22ypnvf73uka","2024","Journal Article","","Pompeu Casanovas
Mustafa Hashmi
Louis de Koker
Ho-Pun Lam","10.48550/arxiv.2407.20691","https://arxiv.org/pdf/2407.20691","… automated asymmetric multi-level governance are needed, … recreate their types and instantiations in many ways. Agents, … ; (ii) a metamodel for legal governance to be implemented by …","We present in this position paper a methodology to validate legal governance regulatory models from an empirical approach, as illustrated by means of three diagrams: (i) a scheme drawing the rule and meta-rule of law; (ii) a metamodel for legal governance; (iii) a causal validation scheme for legal compliance. These visualisations refer to different sets of notions corresponding respectively to (i) a general scheme with three dimensions and four clusters, (ii) a meta-model encompassing legal compliance through design (LCtD) and ecological validity, and (iii) the con-struction of an empirical validation model of causal chains. The final aim of the methodology is to build and test smart legal ecosystems (SLE) for Industry 4.0 and 5.0. "
"Extending supervision metamodel to complex system context","https://scispace.com/paper/extending-supervision-metamodel-to-complex-system-context-4no54rz04o","2015","Proceedings Article","World Conference on Complex Systems","Farid Lahboube
Ounsa Roudies
Nissrine Souissi","10.1109/ICOCS.2015.7483242","https://www.researchgate.net/profile/Nissrine-Souissi/publication/305194840_Extending_supervision_metamodel_to_complex_system_context/links/59c22228aca272295a0d9db6/Extending-supervision-metamodel-to-complex-system-context.pdf","… Convinced of the importance of a transversal and multilevel … , in the fourth section, an instantiation of the MM for the … role to each actor in compliance with project governance charter. …","Complex systems deployment projects usually face some major difficulties leading sometimes to spectacular failures. Efforts to overcome this complexity are focused mostly in adapting the concepts of project management engineering in order to be adapted as much as possible to the constraints imposed by those systems. This paper proposes a new approach to the problematic of a complex system deployment through a supervision metamodel. By considering the complex system and the System of Systems paradigms, this work explores a new way to overcome the known complexity of the projects carried out in similar environment and expanding the engineering project concept according to this context."
"Reference architectures modelling and compliance checking","https://scispace.com/paper/reference-architectures-modelling-and-compliance-checking-1t51d1kv","2022","Journal Article","Software and Systems Modeling","Alessio Bucaioni
Amleto Di Salle
Ludovico Iovino
Ivano Malavolta
Patrizio Pelliccione","10.1007/s10270-022-01022-z","https://link.springer.com/content/pdf/10.1007/s10270-022-01022-z.pdf","… the field of multi-level modelling [47] for transforming MyRA into a domain metamodel (RAmm in … It means that one component in the concrete architecture can instantiate more than one …","Abstract Reference architectures (RAs) are successfully used to represent families of concrete software architectures in several domains such as automotive, banking, and the Internet of Things. RAs inspire architects when designing concrete architectures, and they help to guarantee compliance with architectural decisions, regulatory requirements, as well as architectural qualities. Despite their importance, reference architectures still suffer from a number of open technical issues, including (i) the lack of a common interpretation, a precise notation for their representation and documentation, and (ii) the lack of conformance mechanisms for checking the compliance of concrete architectures to their related reference architecture, architectural decisions, regulatory requirements, etc. This paper addresses these two issues by introducing a model-driven approach that leverages (i) a domain-independent metamodel for the representation of reference architectures and (ii) the combination of model transformation and weaving techniques for the automatic conformance checking of concrete architectures. We evaluate the applicability, effectiveness, and generalizability of our approach using illustrative examples from the web browsers and automotive domains, including an assessment from an independent practitioner. "
"A Multi-level Ontology-based Approach for Descriptors of Catalogued Resources.","https://scispace.com/paper/a-multi-level-ontology-based-approach-for-descriptors-of-2b1mraim","","Journal Article","","Vânia Jesus de Araujo Soares Borges
Natalia Queiroz de Oliveira
Maria Luiza Machado Campos","","https://ceur-ws.org/Vol-3346/Paper4.pdf","… properties to handle what MLM calls deep instantiation. In … will have a model for the governance of the descriptor types, as … , if we interpret an ontological metamodel as a domain specific …","Technological advances and open data initiatives have increased data availability on the Web. These data, published in heterogeneous repositories, represent valuable sources for exploration and decision-making processes. The FAIR principles brought a special focus on the importance of metadata to effectively interoperate and reuse these data (and metadata). However, interoperating metadata associated with the resources catalogued in repositories is still a challenge, as each of them has its own complex architecture. Vocabularies such as DCAT aim to contribute as a step further on this, establishing a common set of elements for catalogue entries. This paper proposes a DCAT ontological analysis, applying multi-level conceptual modeling to treat ambiguities and enrich semantics. The proposed model aims to make the DCAT structures adherent to the reality aspects that need to be represented, establishing ontological commitments in an explicit way, which helps the understanding of those who will use it."
"A Model-Driven Engineering Approach to AI-Powered Healthcare Platforms","https://scispace.com/paper/a-model-driven-engineering-approach-to-ai-powered-healthcare-3syj71qqotpd","2025","Journal Article","","Kramer Bernd
El-Tazi Neamat","10.48550/arxiv.2510.09308","","… essential for both safety and regulatory compliance [1,2]. … and healthcare ontologies directly into the metamodel of a model-… a conceptual framework, but to instantiate it as a functioning …","Artificial intelligence (AI) has the potential to transform healthcare by supporting more accurate diagnoses and personalized treatments. However, its adoption in practice remains constrained by fragmented data sources, strict privacy rules, and the technical complexity of building reliable clinical systems. To address these challenges, we introduce a model driven engineering (MDE) framework designed specifically for healthcare AI. The framework relies on formal metamodels, domain-specific languages (DSLs), and automated transformations to move from high level specifications to running software. At its core is the Medical Interoperability Language (MILA), a graphical DSL that enables clinicians and data scientists to define queries and machine learning pipelines using shared ontologies. When combined with a federated learning architecture, MILA allows institutions to collaborate without exchanging raw patient data, ensuring semantic consistency across sites while preserving privacy. We evaluate this approach in a multi center cancer immunotherapy study. The generated pipelines delivered strong predictive performance, with support vector machines achieving up to 98.5 percent and 98.3 percent accuracy in key tasks, while substantially reducing manual coding effort. These findings suggest that MDE principles metamodeling, semantic integration, and automated code generation can provide a practical path toward interoperable, reproducible, and trustworthy digital health platforms. "
