"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Dual deep modeling : multi-level modeling with dual potencies and its formalization in F-Logic","https://scispace.com/paper/dual-deep-modeling-multi-level-modeling-with-dual-potencies-1n42hivp5s","2018","Journal Article","Software and Systems Modeling","Bernd Neumayr
Christoph G. Schuetz
Manfred A. Jeusfeld
Michael Schrefl","10.1007/S10270-016-0519-Z","https://scispace.com/pdf/dual-deep-modeling-multi-level-modeling-with-dual-potencies-1n42hivp5s.pdf","An enterprise database contains a global, integrated, and consistent representation of a company’s data. Multi-level modeling facilitates the definition and maintenance of such an integrated conceptual data model in a dynamic environment of changing data requirements of diverse applications. Multi-level models transcend the traditional separation of class and object with clabjects as the central modeling primitive, which allows for a more flexible and natural representation of many real-world use cases. In deep instantiation, the number of instantiation levels of a clabject or property is indicated by a single potency. Dual deep modeling (DDM) differentiates between source potency and target potency of a property or association and supports the flexible instantiation and refinement of the property by statements connecting clabjects at different modeling levels. DDM comes with multiple generalization of clabjects, subsetting/specialization of properties, and multi-level cardinality constraints. Examples are presented using a UML-style notation for DDM together with UML class and object diagrams for the representation of two-level user views derived from the multi-level model. Syntax and semantics of DDM are formalized and implemented in F-Logic, supporting the modeler with integrity checks and rich query facilities.","Dual deep modeling (DDM) differentiates between source potency and target potency of a property or association and supports the flexible instantiation and refinement of the property by statements connecting clabjects at different modeling levels."
"Multi-level modelling in the Modelverse.","https://scispace.com/paper/multi-level-modelling-in-the-modelverse-qgfmr3cije","2014","","","Simon Van Mierlo
Bruno Barroca
Hans Vangheluwe
Eugene Syriani
Thomas Kühne","","http://ceur-ws.org/Vol-1286/p9.pdf","In this paper, we introduce the Modelverse, a metamodelling framework and model repository. It clearly distinguishes and supports physical and linguistic conformance relations and allows for deep characterization and deep instantiation using potency. We introduce language fragments, which are reusable pieces of a language definition, consisting of an abstract syntax definition, as well as the definition of concrete syntax, semantics, and a mapping onto physical (representational) concepts, as suitable concepts for modular language design and reuse. We focus on multi-level modelling, and use the Modelverse to model a four-level language hierarchy, demonstrating its deep instantiation and characterization capabilities, as well as the use of modelling language fragments.","The Modelverse is introduced, a metamodelling framework and model repository that clearly distinguishes and supports physical and linguistic conformance relations and allows for deep characterization and deep instantiation using potency, and language fragments are introduced, which are reusable pieces of a language definition."
"Extending Deep Meta-Modelling for Practical Model-Driven Engineering","https://scispace.com/paper/extending-deep-meta-modelling-for-practical-model-driven-xl4y4zzi2i","2014","Journal Article","The Computer Journal","Juan de Lara
Esther Guerra
Ruth Cobos
Jaime Moreno-Llorena","10.1093/COMJNL/BXS144","https://scispace.com/pdf/extending-deep-meta-modelling-for-practical-model-driven-xl4y4zzi2i.pdf","Meta-modelling is one of the pillars of Model-Driven Engineering (MDE), where it is used for language engineering and domain modelling. Even though the current trend is the use of two-level meta-modelling frameworks, several researchers have pointed out limitations of this scheme for some scenarios and suggested a metamodelling approach with an arbitrary number of meta-levels in order to obtain more flexible and simpler system descriptions. Unfortunately, such multi-level meta-modelling systems are still in their infancy, lacking for example, integration with model manipulation languages, a characterization of different possibilities for instantiation and inheritance, and primitives for interconnecting multi-level languages in a flexible way. In this paper, we propose a number of extensions to multi-level (also called deep) meta-modelling, based on the needs raised by its use for practical MDE. In particular, we discuss on the issues related to code generation from deep languages, the benefits of allowing inheritance at every meta-level, and patterns and techniques for a fine-grain control of the meta-level of elements. Finally, we provide primitives to control the impedance mismatch when connecting models at different meta-levels.","A number of extensions to multi-level (also called deep) meta-modelling are proposed, based on the needs raised by its use for practical MDE, including patterns and techniques for a fine-grain control of the meta-level of elements and primitives to control the impedance mismatch when connecting models at different meta-levels."
"Multi-Level Regulatory Governance","https://scispace.com/paper/multi-level-regulatory-governance-pdasove9wi","2009","Report Series","Research Papers in Economics","Delia Rodrigo
Lorenzo Allio
Pedro Andres-Amo","10.1787/224074617147","https://scispace.com/pdf/multi-level-regulatory-governance-pdasove9wi.pdf","Multi-level regulatory governance is becoming a priority in many OECD countries. High quality regulation at a certain level of government can be compromised by poor regulatory policies and practices at other levels, impacting negatively on the performance of economies and on business and citizens’ activities. The most common problems that affect the relationship between the public and the private sectors are duplication, overlapping responsibility and low quality. These affect public service delivery, citizen’s perception, business services and activities, as well as investment and trade. More positively, following certain principles and good practices for high quality regulation in a coherent way as well as facilitating co-ordination among regulatory institutions at different levels of government can bring improvements to the regulatory system as a whole.","In this article, the most common problems that affect the relationship between the public and the private sectors are duplication, overlapping responsibility and low quality, which affect public service delivery, citizen's perception, business services and activities, as well as investment and trade."
"Der Multi-Level Governance-Ansatz","https://scispace.com/paper/der-multi-level-governance-ansatz-3ivfryr8iv","2006","Book Chapter","","Michèle Knodt
Martin Große Hüttmann","10.1007/978-3-531-19715-9_9","","Der Begriff „Multi-Level Governance“ (MLG) wird in der Integrationsforschung immer dann ins Spiel gebracht, wenn die Besonderheiten oder der sprichwortliche „sui generis“-Charakter der Europaischen Union (EU) auf den Punkt gebracht werden sollen. Die EU zeichnet sich – vergleicht man sie mit „normalen“ politischen Systemen – durch eine eng verflochtene Mehrebenenstruktur aus: Wie bei einer russischen Puppe sind die unterschiedlichen politischen Entscheidungsebenen verschachtelt und lassen sich in vielen Politikbereichen kaum mehr voneinander trennen.","The EU zeichnet sich - vergleicht man sie with „normalen“ politischen Systemen - durch eine eng verflochtene Mehrebenenstruktur aus: Wie bei einer russischen Puppe sind die unterschiedlichen politicalhen Entscheidungsebenen verschachtelt and lassen sich in vielen Politikbereichen kaum mehr voneinander trennen."
"MetaStructures and Iterated MetaStructures: Extensions to Ontology, Computing, Puzzle, Logic, Ethics, Data and Governance","https://scispace.com/paper/metastructures-and-iterated-metastructures-extensions-to-x2fr6200m8ao","2025","Journal Article","","Tsunenori Fujita","10.20944/preprints202509.0100.v1","","In this work, a Structure is interpreted broadly as a mathematical system that may originate in Set Theory, Logic, Social Science, Business Management, Probability and Statistics, Algebra, Geometry, and related areas. A MetaStructure is conceived as a higher-level framework in which collections of mathematical structures are treated as single objects governed by uniform meta-operations. An Iterated MetaStructure is obtained by repeatedly applying the MetaStructure construction, thereby generating successive layers in which “structures of structures” form a hierarchical tower. This paper investigates whether concepts such as Ontology, Computing, Puzzle, Logic, Ethics, Data, and Governance can be systematically extended within the framework of MetaStructures and Iterated MetaStructures. ","This paper explores the extension of concepts in Ontology, Computing, Puzzle, Logic, Ethics, Data, and Governance through the framework of MetaStructures and Iterated MetaStructures, a hierarchical system of mathematical structures and meta-operations."
"AI-Driven Governance Systems for Proactive Regulatory Compliance and Fraud Risk Management in Financial Service Environments","https://scispace.com/paper/ai-driven-governance-systems-for-proactive-regulatory-4zohjl9sn2ax","2025","Repository","","Iboro Akpan Essien
Joshua Oluwagbenga Ajayi
Eseoghene Daniel Erigha
Ehimah Obuse
Noah Ayanbode","10.5281/zenodo.17157705","","The integration of Artificial Intelligence (AI) into regulatory compliance frameworks has transformed the financial services sector by enabling more adaptive, predictive, and proactive governance systems. This review examines the current landscape of AI-driven regulatory technologies (RegTech), emphasizing how machine learning, natural language processing, and anomaly detection algorithms are being leveraged to monitor compliance, assess risk, and prevent fraud in real-time. The paper explores the evolution of regulatory requirements, such as Basel III, GDPR, and AML directives, and evaluates how AI tools can streamline compliance reporting and enhance audit readiness. It also assesses the challenges of algorithmic accountability, regulatory uncertainty, data privacy, and explainability in deploying AI for compliance management. Case studies from leading financial institutions and fintech firms illustrate practical applications and emerging best practices. This study concludes by identifying strategic frameworks that integrate AI ethics, legal compliance, and real-time fraud analytics to support resilient and transparent financial ecosystems. ",""
"AI-Driven Governance Systems for Proactive Regulatory Compliance and Fraud Risk Management in Financial Service Environments","https://scispace.com/paper/ai-driven-governance-systems-for-proactive-regulatory-14f2ks8hddw8","2025","Repository","","Iboro Akpan Essien
Joshua Oluwagbenga Ajayi
Eseoghene Daniel Erigha
Ehimah Obuse
Noah Ayanbode","10.5281/zenodo.17157706","","&lt;p&gt;The integration of Artificial Intelligence (AI) into regulatory compliance frameworks has transformed the financial services sector by enabling more adaptive, predictive, and proactive governance systems. This review examines the current landscape of AI-driven regulatory technologies (RegTech), emphasizing how machine learning, natural language processing, and anomaly detection algorithms are being leveraged to monitor compliance, assess risk, and prevent fraud in real-time. The paper explores the evolution of regulatory requirements, such as Basel III, GDPR, and AML directives, and evaluates how AI tools can streamline compliance reporting and enhance audit readiness. It also assesses the challenges of algorithmic accountability, regulatory uncertainty, data privacy, and explainability in deploying AI for compliance management. Case studies from leading financial institutions and fintech firms illustrate practical applications and emerging best practices. This study concludes by identifying strategic frameworks that integrate AI ethics, legal compliance, and real-time fraud analytics to support resilient and transparent financial ecosystems.&lt;/p&gt; ",""
"Intelligent Data Governance Frameworks for Multi-Cloud Financial Environments: An AI-Driven Approach to Compliance Automation","https://scispace.com/paper/intelligent-data-governance-frameworks-for-multi-cloud-30amabruxzt9","2025","Journal Article","European modern studies journal","Nihari Paladugu","10.59573/emsj.9(4).2025.121","","Financial entities operating in distributed cloud ecosystems are grappling with significant challenges. As they attempt to maintain consistent data governance and comply with often complex and jurisdictional-based regulatory requirements, they endure diminished results when attempting to comply with regulatory obligations simultaneously across multiple cloud implementations governed by standards such as SOX, GDPR, Basel III, and CCPA. The article introduces an intelligent data governance framework that leverages machine learning and artificial intelligence technologies to coordinate compliance efforts, increase risk assessment capacity, and provide unified oversight of heterogeneous cloud environments. The framework has a federated architecture with orchestration, intelligence, and enforcement layers that allow for governance consistency but leverage unique capabilities of each platform. AI-based data discovery and classification methods can effectively and consistently identify and classify data assets within distributed ecosystems without manual indexing methods and automatically adapt and modify with changing regulatory requirements using adaptive learning algorithms. Automated compliance monitoring systems include intelligent rule engines that can interpret regulatory instances and translate them into actionable policies by monitoring activity against the policy. In addition, predictive analytics identify possible risk, allowing the system to monitor and alert as necessary before regulatory violations occur. Implementation strategy emphasizes phased approach implementations that generate the least disruption to current operations while ensuring seamless integration across the current enterprise infrastructure under API-first architecture principles. Business impact assessment confirms significantly increased compliance effectiveness, reduced manual monitoring obligation, and improved audit execution that, combined, provide a highly attractive return on investment to organizations adopting intelligent governance capabilities. ","This study proposes an AI-driven intelligent data governance framework for multi-cloud financial environments, leveraging machine learning and AI to automate compliance, increase risk assessment, and provide unified oversight, enhancing regulatory compliance effectiveness and return on investment."
"Möglichkeiten und Grenzen des multiplen IT Governance- und -Management Instrumenten Einsatzes – Einführung eines „Intermediärs“ Metamodells","https://scispace.com/paper/moglichkeiten-und-grenzen-des-multiplen-it-governance-und-3a1siowje0","2011","","","Konrad Walser
Matthias Goeken","","","Im Beitrag erfolgt eine Situationsanalyse zur Multi-Modell-Problematik beim Einsatz multipler IT Governanceund -Management (ITGM) Instrumente. Zunächst erfolgt die Aufarbeitung von Literatur. Danach werden bestehende Ansätze klassifiziert und bezüglich ihres Nutzens untersucht. Zur Diskussion gestellt werden Ansätze wie folgt: Mapping Ansatz, Metamodell Ansatz, Managementansatz, Systemtheoretischer Ansatz. Neben dem Vergleich erfolgen eine Charakterisierung der Ansätze und die Differenzierung von Möglichkeiten und Grenzen von deren Nutzen. Zudem wird ein eigenes Intermediärsmodell zwischen den verschiedenen ITGM Instrumenten als Lösungsvorschlag diskutiert.","Im Beitrag erfolgt eine Situationsanalyse zur Multi-Modell-Problematik beim Einsatz multipler IT Governanceund -Management Instrumente und ein eigenes Intermediärsmodell zwischen den verschiedenen ITGM Instrumenten als Lösungsvorschlag diskutiert."
