"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Model-Driven Security Analysis of Self-Sovereign Identity Systems","https://scispace.com/paper/model-driven-security-analysis-of-self-sovereign-identity-jx51zx2n8m7v","2024","Repository","","Ding, Yepeng
Sato Hiroyuki","10.48550/arxiv.2406.00620","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a model‑driven framework to formalize SSI architectural patterns and threats, generates model‑checking code, and provides the SecureSSI IDE. Includes verification of vulnerable patterns and a limited case illustration, but lacks performance metrics and detailed interoperability analysis.","Best practices of self-sovereign identity (SSI) are being intensively explored in academia and industry. Reusable solutions obtained from best practices are generalized as architectural patterns for systematic analysis and design reference, which significantly boosts productivity and increases the dependability of future implementations. For security-sensitive projects, architects make architectural decisions with careful consideration of security issues and solutions based on formal analysis and experiment results. In this paper, we propose a model-driven security analysis framework for analyzing architectural patterns of SSI systems with respect to a threat model built on our investigation of real-world security concerns. Our framework mechanizes a modeling language to formalize patterns and threats with security properties in temporal logic and automatically generates programs for verification via model checking. Besides, we present typical vulnerable patterns verified by SecureSSI, a standalone integrated development environment, integrating commonly used pattern and attacker models to practicalize our framework. "
"Model-Driven Security Analysis of Self-Sovereign Identity Systems","https://scispace.com/paper/model-driven-security-analysis-of-self-sovereign-identity-1y1tlyjtoc","2023","Preprint","","Yepeng Ding
Hiroyuki Sato","10.1109/trustcom60117.2023.00230","https://scispace.compdf/model-driven-security-analysis-of-self-sovereign-identity-1y1tlyjtoc.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses MDE to model SSI patterns, verifies security via temporal logic, provides SecureSSI IDE, includes vulnerable pattern examples; lacks performance data and standards interoperability details.","Best practices of self-sovereign identity (SSI) are being intensively explored in academia and industry. Reusable solutions obtained from best practices are generalized as architectural patterns for systematic analysis and design reference, which significantly boosts productivity and increases the dependability of future implementations. For security-sensitive projects, architects make architectural decisions with careful consideration of security issues and solutions based on formal analysis and experiment results. In this paper, we propose a model-driven security analysis framework for analyzing architectural patterns of SSI systems with respect to a threat model built on our investigation of real-world security concerns. Our framework mechanizes a modeling language to formalize patterns and threats with security properties in temporal logic and automatically generates programs for verification via model checking. Besides, we present typical vulnerable patterns verified by SecureSSI, a standalone integrated development environment, integrating commonly used pattern and attacker models to practicalize our framework. "
"ChorSSI: A Model-Driven Framework for Self-Sovereign Identity Systems on Blockchain","https://scispace.com/paper/chorssi-a-model-driven-framework-for-self-sovereign-identity-xtl2uy62txar","","Journal Article","","T. Cippitelli
Alessandro Marcelletti
Andrea Morichetta","10.18417/emisa.19.9","https://emisa-journal.org/emisa/article/view/331/221","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a model‑driven framework to design SSI systems, defines metamodels and DSLs, provides a tool prototype, aligns with W3C standards, includes limited case study and security discussion.",""
"How modeling helps in developing self-sovereign identity governance framework: An experience report","https://scispace.com/paper/how-modeling-helps-in-developing-self-sovereign-identity-by2f40jsk7q6","2022","Repository","","","10.5281/zenodo.6535574","","- **Relevance Score:** 77/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses domain‑specific modeling to design SSI governance, links MDE to SSI, includes a real case study, and evaluates a modeling tool, but lacks formal semantics, performance data, and deep security analysis.","Digital Identity has become a topic that attracts the attention of researchers due to the enormous number of services that have been provided online recently. Researchers face many obstacles regarding the security, privacy, and utility of digital identity. Self-Sovereign Identity (SSI) ecosystems provide a solution for digital identity, in addition to providing a decentralized human-centric paradigm that enables users to own and control their identity. Governance framework (GF) is a key challenge in building SSI ecosystems for two reasons. First, the GF needs to address various aspects such as user needs, standards, laws, and business requirements in an ecosystem. Second, the ecosystem consists of diverse, dynamic, and distributed groups of stakeholders. This research work adopts a new trend in developing GF by providing a visual view of the SSI ecosystem. In addition, it seeks to highlight the importance of domain-specific modeling in developing GF. It also addresses lessons learned from a real case study and a modeling journey that supported the creation of a GF. We will discuss the advantages and challenges of modeling and the used modeling tool based on the evaluation from the case feedback and conclude with future work. "
"Framework for Self-Sovereign Identity","https://scispace.com/paper/4encBiYbB3UJ","","","","T Cippitelli
A Marcelletti","","","- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses BPMN choreography diagrams to model SSI interactions, directly applying MDE to the SSI domain. No prototype, case study, formal semantics, security analysis, performance data, or interoperability discussion provided.",""
"A Method for Detecting Common Weaknesses in Self-Sovereign Identity Systems Using Domain-Specific Models and Knowledge Graph.","https://scispace.com/paper/a-method-for-detecting-common-weaknesses-in-self-sovereign-28egrn4e","2022","Proceedings Article","International Conference on Model-Driven Engineering and Software Development","Charnon Pattiyanon
Toshiaki Aoki
Daisuke Ishii","10.5220/0010824900003119","https://www.scitepress.org/PublishedPapers/2022/108249/108249.pdf","- **Relevance Score:** 62/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses DSMLs and knowledge graphs to model SSI weaknesses, applies MDE to SSI, includes security analysis and experimental accuracy; lacks VC depth, tool, formal semantics, performance, standards discussion.",": A Self-Sovereign Identity (SSI) system is a decentralized identity management system based on claims that leverages blockchain technology to empower individuals to manage their personal information and au-tonomously authenticate services. The SSI system is unique in that it makes use of disparate terminologies, making analysis arduous and challenging for security specialists. Weakness analysis is a well-known security assurance technique for determining the presence of weaknesses in a target system. Weakness analysis is cru-cial to the deployment of the SSI system in that it can earn user trust and be verified secure if the majority of detected weaknesses are addressed properly. We seek to leverage domain experience in this work to lessen the effort required to analyze weaknesses by security specialists unfamiliar with the SSI system. This paper presents two domain-specific modeling languages (DSMLs) based on the unified modeling language (UML) communication diagram for embedding domain knowledge about the SSI system and common weaknesses. Then, with the assistance of domain knowledge graphs, this paper presents a method for detecting weaknesses in the links between the two models created by the proposed DSMLs. Precision and accuracy metrics are used to determine the proposed method’s performance."
"A domain-specific language for the specification of UCON policies","https://scispace.com/paper/a-domain-specific-language-for-the-specification-of-ucon-qmo678zl8e","2022","Proceedings Article","Workshop on Information Security Applications","Antonia María Reina Quintero
Salvador Perez
Ángel Jesús Varela-Vaca
María Teresa Gómez López
Jordi Cabot","10.1016/J.JISA.2021.103006","","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a DSL and EMF‑based model transformations for UCON policies, offering a ready‑to‑use toolset; includes example policy evaluation but lacks SSI/VC context or formal analysis.","Security policies constrain the behavior of all users of an information system. In any non-trivial system, these security policies go beyond simple access control rules and must cover more complex and dynamic scenarios while providing, at the same time, a fine-grained level decision-making ability. The Usage Control model (UCON) was created for this purpose but so far integration of UCON in mainstream software engineering processes has been very limited, hampering its usefulness and popularity among the software and information systems communities. In this sense, this paper proposes a Domain-Specific Language to facilitate the modeling of UCON policies and their integration in (model-based) development processes. Together with the language, an exploratory approach for policy evaluation and enforcement of the modeled policies via model transformations has been introduced. These contributions have been defined on top of the Eclipse Modeling Framework, the de-facto standard MDE (Model-Driven Engineering) framework making them freely available and ready-to-use for any software designer interested in using UCON for the definition of security policies in their new development projects."
"A domain-specific language for the specification of UCON policies","https://scispace.com/paper/a-domain-specific-language-for-the-specification-of-ucon-x0dt0k7h","2022","Journal Article","","","10.1016/j.jisa.2021.103006","","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Offers a DSL and model transformations for UCON policies using EMF, but does not address SSI or Verifiable Credentials, limiting relevance to SSI/VC criteria.","Security policies constrain the behavior of all users of an information system. In any non-trivial system, these security policies go beyond simple access control rules and must cover more complex and dynamic scenarios while providing, at the same time, a fine-grained level decision-making ability. The Usage Control model (UCON) was created for this purpose but so far integration of UCON in mainstream software engineering processes has been very limited, hampering its usefulness and popularity among the software and information systems communities. In this sense, this paper proposes a Domain-Specific Language to facilitate the modeling of UCON policies and their integration in (model-based) development processes. Together with the language, an exploratory approach for policy evaluation and enforcement of the modeled policies via model transformations has been introduced. These contributions have been defined on top of the Eclipse Modeling Framework, the de-facto standard MDE (Model-Driven Engineering) framework making them freely available and ready-to-use for any software designer interested in using UCON for the definition of security policies in their new development projects. "
"A case study in combining formal verification and model-driven engineering","https://scispace.com/paper/a-case-study-in-combining-formal-verification-and-model-3u4kaso269","2012","","","Selma Djeddai
Mohamed Mezghiche
Martin Strecker","","https://scispace.com/pdf/a-case-study-in-combining-formal-verification-and-model-3u4kaso269.pdf","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Combines formal verification with MDE, offering metamodel translation and tool support, but lacks any SSI/VC content or related evaluation.","Formal methods are increasingly used in software engineering. They offer a formal frame that guarentees the correctness of developments. However, they use complex notations that might be difficult to understand for unaccustomed users. It thus becomes interesting to formally specify the core components of a language, implement a provably correct development, and manipulate its components in a graphical/ textual editor. This paper constitutes a first step towards using Model Driven Engineering (MDE) technology in an interactive proof development. It presents a transformation process from functional data structures, commonly used in proof assistants, to Ecore Models. The transformation is based on an MDE methodology. The resulting meta-models are used to generate graphical or textual editors. We will take an example to illustrate our approach: a simple domain specific language. This guiding example is a Java-like language enriched with assertions."
"Towards a Modelling Framework for Self-Sovereign Identity Systems","https://scispace.com/paper/towards-a-modelling-framework-for-self-sovereign-identity-xbvxk93wo38p","","","","Iain Barclay
Maria Freytsis
Sherri Bucher
Swapna Radha
Alun Preece
Ian Taylor","10.48550/arxiv.2009.04327","","- **Relevance Score:** 36/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses iStar 2.0 to model SSI actors and flows, linking MDE to self‑sovereign identity; provides a birth‑registration case study but lacks detailed VC models, tool implementation, formal semantics, or performance data.","Self-sovereign Identity promises to give users control of their own data, and has the potential to foster advancements in terms of personal data privacy. Self-sovereign concepts can also be applied to other entities, such as datasets and devices. Systems adopting this paradigm will be decentralised, with messages passing between multiple actors, both human and representing other entities, in order to issue and request credentials necessary to meet individual and collective goals. Such systems are complex, and build upon social and technical interactions and behaviours. Modelling self-sovereign identity systems seeks to provide stakeholders and software architects with tools to enable them to communicate effectively, and lead to effective and well-regarded system designs and implementations. This paper draws upon research from Actor-based Modelling to guide a way forward in modelling self-sovereign systems, and reports early success in utilising the iStar 2.0 framework to provide a representation of a birth registration case study."
