"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"From Model to Mechanism: Enforcing Delegated Authority in SSI with Language-Based Security","https://scispace.com/paper/from-model-to-mechanism-enforcing-delegated-authority-in-ssi-2r01zx7o705g","2025","Journal Article","Mathematics","Muhamed Turkanović
Vid Keršič
Alen Horvat
Dominik Beron
Špela Čučko","10.3390/math13182971","","Delegation of authority remains a critical yet insufficiently addressed capability in Self-Sovereign Identity (SSI) systems. Building on an existing delegation model that introduced the concept of a Verifiable Mandate (VM) for expressing authority and access rights, this paper extends the approach with a rigorous formalization of delegation semantics, enabling unambiguous reasoning over roles, grants, and constraints. The formal model is aligned with standards from the World Wide Web Consortium (W3C), and its constructs are embedded into an extended credential schema that preserves compatibility with the Verifiable Credentials (VC) data model while introducing delegation-specific attributes. A generalized VM schema is defined, supporting both generic and business-specific instantiations, and ensuring structural and semantic interoperability. Policy compliance is operationalized through a policy-based enforcement architecture, where rules are authored in the Rego language and evaluated at runtime by the Open Policy Agent (OPA). The architecture incorporates trusted registries for schema and policy distribution, allowing verifiers to define and enforce context-specific delegation rules in a modular and interoperable manner. Validation through realistic scenarios, such as postal service and academic use cases, demonstrates how formal semantics, schema validation, and language-based policy enforcement can be combined to enable secure, verifiable, and context-aware delegation in SSI ecosystems. ","This paper extends a delegation model for Self-Sovereign Identity (SSI) systems with a formalized semantics, enabling unambiguous reasoning over roles, grants, and constraints, and operationalizes policy compliance through a policy-based enforcement architecture."
"PRISM: Proof-Carrying Artifact Generation through LLM x MDE Synergy and Stratified Constraints","https://scispace.com/paper/prism-proof-carrying-artifact-generation-through-llm-x-mde-lh88fxo9zrzu","2025","Journal Article","","Ma Tong
Lai Hui
Wang Hui
Tian Zhenhu
Wang Jizhou
Wu Haichao
Li Chaochao
Xu Fengjie
Fang Ling","10.48550/arxiv.2510.25890","","PRISM unifies Large Language Models with Model-Driven Engineering to generate regulator-ready artifacts and machine-checkable evidence for safety- and compliance-critical domains. PRISM integrates three pillars: a Unified Meta-Model (UMM) reconciles heterogeneous schemas and regulatory text into a single semantic space; an Integrated Constraint Model (ICM) compiles structural and semantic requirements into enforcement artifacts including generation-time automata (GBNF, DFA) and post-generation validators (e.g., SHACL, SMT); and Constraint-Guided Verifiable Generation (CVG) applies these through two-layer enforcement - structural constraints drive prefix-safe decoding while semantic/logical validation produces machine-checkable certificates. When violations occur, PRISM performs audit-guided repair and records generation traces for compliance review. We evaluate PRISM in automotive software engineering (AUTOSAR) and cross-border legal jurisdiction (Brussels I bis). PRISM produces structurally valid, auditable artifacts that integrate with existing tooling and substantially reduce manual remediation effort, providing a practical path toward automated artifact generation with built-in assurance. ",""
"SSI, from Specifications to Protocol? Formally Verify Security!","https://scispace.com/paper/ssi-from-specifications-to-protocol-formally-verify-security-3d1q64oj34","2024","Proceedings Article","","Christoph Braun
R. Horne
Tobias Käfer
Sjouke Mauw","10.1145/3589334.3645426","","We evaluate a bundle of specifications from the Self-Sovereign Identity (SSI) paradigm to construct an authentication protocol for the Web. We demonstrate how relevant standards such as W3C Verifiable Credentials (VC), W3C Decentralised Identifiers (DIDs), and components of the Hyperledger Aries Framework are to be assembled methodologically into a protocol. We make those assumptions from standard trust models explicit that underlie the derived protocol, and verify security and privacy properties, notably secrecy, authentication, and unlinkability. This enables us to formally justify the additional precision that we urge these specifications to consider, to ensure that implementors of SSI-based systems do not neglect security-critical controls.","Formal verification of SSI-based authentication protocol derived from specifications, ensuring security and privacy properties."
"SCEditor-Web: Bridging Model-Driven Engineering and Generative AI for Smart Contract Development","https://scispace.com/paper/sceditor-web-bridging-model-driven-engineering-and-2sdn5g40ae6f","2025","Journal Article","Information","Yassine Ait Hsain
Naziha Laaz
Samir Mbarki
Yassine Ait Hsain
Naziha Laaz
Samir Mbarki","10.3390/info16100870","","Smart contracts are central to blockchain ecosystems, yet their development remains technically demanding, error-prone, and tied to platform-specific programming languages. This paper introduces SCEditor-Web, a web-based modeling environment that combines model-driven engineering (MDE) with generative artificial intelligence (Gen-AI) to simplify contract design and code generation. Developers specify the structural and behavioral aspects of smart contracts through a domain-specific visual language grounded in a formal metamodel. The resulting contract model is exported as structured JSON and transformed into executable, platform-specific code using large language models (LLMs) guided by a tailored prompt engineering process. A prototype implementation was evaluated on Solidity contracts as a proof of concept, using representative use cases. Experiments with state-of-the-art LLMs assessed the generated contracts for compilability, semantic alignment with the contract model, and overall code quality. Results indicate that the visual-to-code workflow reduces manual effort, mitigates common programming errors, and supports developers with varying levels of expertise. The contributions include an abstract smart contract metamodel, a structured prompt generation pipeline, and a web-based platform that bridges high-level modeling with practical multi-language code synthesis. Together, these elements advance the integration of MDE and LLMs, demonstrating a step toward more accessible and reliable smart contract engineering. ",""
"Design-Pattern-as-a-Service for Blockchain-based Self-Sovereign Identity","https://scispace.com/paper/design-pattern-as-a-service-for-blockchain-based-self-yaox661783vg","2022","Repository","","Liu Yue
Lu, Qinghua
Paik, Hye-young
Xu Xiwei
Chen Shi-ping
Zhu, Liming","10.48550/arxiv.2005.01346","","Self-sovereign identity (SSI) is considered to be a ""killer application"" of blockchain. However, there is a lack of systematic architecture designs for blockchain-based SSI systems to support methodical development. An aspect of such gap is demonstrated in current solutions, which are considered coarse grained and may increase data security risks. In this paper, we first identify the lifecycles of three major SSI objects (i.e., key, identifier, and credential) and present fine-grained design patterns critical for application development. These patterns are associated with particular state transitions, providing a systematic view of system interactions and serving as a guidance for effective use of these patterns. Further, we present an SSI platform architecture, which advocates the notion of Design-Pattern-as-a-Service. Each design pattern serves as an API by wrapping the respective pattern code to ease application development and improve scalability and security. We implement a prototype and evaluate it on feasibility and scalability. ",""
"Design-Pattern-as-a-Service for Blockchain-based Self-Sovereign Identity","https://scispace.com/paper/design-pattern-as-a-service-for-blockchain-based-self-50eal9280j","2020","Journal Article","arXiv: Software Engineering","Yue Liu
Qinghua Lu
Hye-Young Paik
Xiwei Xu
Shiping Chen
Liming Zhu","10.1109/MS.2020.2992783","https://scispace.compdf/design-pattern-as-a-service-for-blockchain-based-self-50eal9280j.pdf","Self-sovereign identity (SSI) is considered to be a ""killer application"" of blockchain. However, there is a lack of systematic architecture designs for blockchain-based SSI systems to support methodical development. An aspect of such gap is demonstrated in current solutions, which are considered coarse grained and may increase data security risks. In this paper, we first identify the lifecycles of three major SSI objects (i.e., key, identifier, and credential) and present fine-grained design patterns critical for application development. These patterns are associated with particular state transitions, providing a systematic view of system interactions and serving as a guidance for effective use of these patterns. Further, we present an SSI platform architecture, which advocates the notion of Design-Pattern-as-a-Service. Each design pattern serves as an API by wrapping the respective pattern code to ease application development and improve scalability and security. We implement a prototype and evaluate it on feasibility and scalability.","This work presents an SSI platform that advances the notion of the design pattern as a service and implements a prototype, which is evaluated for feasibility and scalability."
"Towards a Universal Digital Identity- A Blockchain-Based Framework for Borderless Verification","https://scispace.com/paper/towards-a-universal-digital-identity-a-blockchain-based-iu0wazhg8be4","2025","Repository","","","10.5281/zenodo.17001989","","Identity is the cornerstone of trust in modern society, yet current systems remain fragmented, document-based, and restricted by national boundaries. Physical passports, national identity cards, and paper records continue to define global mobility and access to services, despite being vulnerable to fraud, inefficiency, and exclusion. This paper argues for the establishment of a universal digital identity (UDI) hosted on a decentralised blockchain network. Under this model, each individual undergoes a one-time biometric enrolment capturing face, fingerprint, and voice data secured through cryptographic hashing and immutably stored on a blockchain ledger. A unique digital identity number (UDIN) is then generated, enabling retrieval of identity records worldwide by authorised institutions. Verification may occur in two ways: by presenting the UDIN or by frictionless biometric authentication, such as smiling at a camera or placing a finger on a scanner, instantly confirming identity against the blockchain. This system eliminates the need for physical documents, reduces fraud, lowers compliance costs, and enhances global mobility and inclusion. The paper sets out the vision, necessity, operational framework, and implications of a blockchain-based UDI, arguing that such a transformation is both inevitable and essential for the future of the digital economy. ",""
"Model-driven engineering with domain-specific meta-modelling languages","https://scispace.com/paper/model-driven-engineering-with-domain-specific-meta-modelling-2r9ib8okmk","2015","Journal Article","Software and Systems Modeling","Juan de Lara
Esther Guerra
Jesús Sánchez Cuadrado","10.1007/S10270-013-0367-Z","https://scispace.com/pdf/model-driven-engineering-with-domain-specific-meta-modelling-2r9ib8okmk.pdf","Domain-specific modelling languages are normally defined through general-purpose meta-modelling languages like the MOF. While this is satisfactory for many model-driven engineering (MDE) projects, several researchers have identified the need for domain-specific meta-modelling (DSMM) languages. These provide customised domain-specific meta-modelling primitives aimed at the definition of modelling languages for a specific domain, as well as the construction of meta-model families. Unfortunately, current approaches to DSMM rely on ad hoc methods which add unnecessary complexity to the realization of DSMM in practice. Hence, the goal of this paper is to simplify the definition and usage of DSMM languages. For this purpose, we apply multi-level meta-modelling for the systematic engineering of DSMM architectures. Our method integrates techniques to control the meta-modelling primitives offered to the users of the DSMM languages, provides a flexible approach to define textual concrete syntaxes for DSMM languages, and extends existing model management languages (for model-to-model transformation, in-place transformation and code generation) to work in a multi-level setting, thus enabling the practical use of DSMM in MDE. As a proof of concept, we report on a working implementation of these ideas in the MetaDepth tool.","This paper applies multi-level meta-modelling for the systematic engineering of DSMM architectures, and provides a flexible approach to define textual concrete syntaxes for DSMM languages, and extends existing model management languages to work in a multi- level setting, thus enabling the practical use ofDSMM in MDE."
"Domain Specific Embedded Languages and Model Driven Engineering","https://scispace.com/paper/domain-specific-embedded-languages-and-model-driven-57qlxw36zs","2011","Book","","Stefan Kroes","","https://scispace.com/pdf/domain-specific-embedded-languages-and-model-driven-57qlxw36zs.pdf","Model Driven Engineering (MDE) [20] is an emerging approach to software engineering. The main concepts in MDE are models, meta-models and transformations. Models are the first class entities of any MDE environment. A model is a representation of its subject, describing only the relevant aspects of it and omitting everything else. While a model’s subject is represented by the model, the model can be
interpreted to obtain information about its subject. The subjects of these models are parts of aspects of the software system under development. Models can be refined and (de)composed using transformations, defined in a Model Transformation Language (MTL). MTL’s are often implemented using a traditional approach to language design, using a dedicated compiler and/or interpreter. We will explore an alternative but equally valid method of developing a
MTL, namely developing it as an Domain Specific Language (DSL) within the context of an existing general purpose programming language (host language). This kind of DSL is often referred to as an DSEL [18] and it’s essentially an advanced form of the Application Programmer Interface (API).
We chose Ruby as our host language because of its concise and flexible syntax, extensive features for the creation of DSEL’s, support for declarative and functional programming, reflective features and mature standard library. For our goal, the most important of these are code blocks that can be evaluated in any context and operator overloading.
This report introduces and explains our Model transformation Embedded Language (MTEL) called TRans. The defining characteristics of TRans, apart from it being a MTEL, are support multiple source and target models, automatic execution ordering using a topological sort algorithm, advanced tracing functionality and Aspect Oriented Programming (AOP) features. By implementing TRans as a MTEL we where able to reduce implementation effort significantly. We deem that this reduction far outweighs
the disadvantages of this approach, especially for research purposes.","This report introduces and explains the authors' Model transformation Embedded Language (MTEL) called TRans, which supports multiple source and target models, automatic execution ordering using a topological sort algorithm, advanced tracing functionality and Aspect Oriented Programming (AOP) features."
"Model-Driven Security Analysis of Self-Sovereign Identity Systems","https://scispace.com/paper/model-driven-security-analysis-of-self-sovereign-identity-jx51zx2n8m7v","2024","Repository","","Ding, Yepeng
Sato Hiroyuki","10.48550/arxiv.2406.00620","","Best practices of self-sovereign identity (SSI) are being intensively explored in academia and industry. Reusable solutions obtained from best practices are generalized as architectural patterns for systematic analysis and design reference, which significantly boosts productivity and increases the dependability of future implementations. For security-sensitive projects, architects make architectural decisions with careful consideration of security issues and solutions based on formal analysis and experiment results. In this paper, we propose a model-driven security analysis framework for analyzing architectural patterns of SSI systems with respect to a threat model built on our investigation of real-world security concerns. Our framework mechanizes a modeling language to formalize patterns and threats with security properties in temporal logic and automatically generates programs for verification via model checking. Besides, we present typical vulnerable patterns verified by SecureSSI, a standalone integrated development environment, integrating commonly used pattern and attacker models to practicalize our framework. ",""
