# Verdict expectations for the generated measurement instances.
#
# GENERATED by generate_instances.py — do not hand-edit; regenerate instead.
# Hand-authored entry points are declared in models/expectations.tsv.
#
# file	check_k	generate	source
evaluation/instances/diverse_depth_D12_N12_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/diverse_depth_D1_N12_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/diverse_depth_D2_N12_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/diverse_depth_D3_N12_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/diverse_depth_D4_N12_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/diverse_depth_D6_N12_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/diverse_scale_D4_S10_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/diverse_scale_D4_S10_unsat.problem	UNSAT	SKIP	generate_instances.py
evaluation/instances/diverse_scale_D4_S15_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/diverse_scale_D4_S15_unsat.problem	UNSAT	SKIP	generate_instances.py
evaluation/instances/diverse_scale_D4_S1_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/diverse_scale_D4_S1_unsat.problem	UNSAT	SKIP	generate_instances.py
evaluation/instances/diverse_scale_D4_S20_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/diverse_scale_D4_S20_unsat.problem	UNSAT	SKIP	generate_instances.py
evaluation/instances/diverse_scale_D4_S30_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/diverse_scale_D4_S30_unsat.problem	UNSAT	SKIP	generate_instances.py
evaluation/instances/diverse_scale_D4_S3_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/diverse_scale_D4_S3_unsat.problem	UNSAT	SKIP	generate_instances.py
evaluation/instances/diverse_scale_D4_S5_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/diverse_scale_D4_S5_unsat.problem	UNSAT	SKIP	generate_instances.py
evaluation/instances/scale_10_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/scale_10_unsat.problem	UNSAT	SKIP	generate_instances.py
evaluation/instances/scale_15_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/scale_15_unsat.problem	UNSAT	SKIP	generate_instances.py
evaluation/instances/scale_1_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/scale_1_unsat.problem	UNSAT	SKIP	generate_instances.py
evaluation/instances/scale_20_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/scale_20_unsat.problem	UNSAT	SKIP	generate_instances.py
evaluation/instances/scale_30_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/scale_30_unsat.problem	UNSAT	SKIP	generate_instances.py
evaluation/instances/scale_3_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/scale_3_unsat.problem	UNSAT	SKIP	generate_instances.py
evaluation/instances/scale_5_sat.problem	SAT	SAT	generate_instances.py
evaluation/instances/scale_5_unsat.problem	UNSAT	SKIP	generate_instances.py
evaluation/instances/sensitivity_G0.problem	SAT	SKIP	generate_instances.py
evaluation/instances/sensitivity_G1.problem	SAT	SKIP	generate_instances.py
evaluation/instances/sensitivity_G2.problem	SAT	SKIP	generate_instances.py
evaluation/instances/sensitivity_G3.problem	SAT	SKIP	generate_instances.py
evaluation/instances/sensitivity_G4.problem	SAT	SKIP	generate_instances.py
evaluation/instances/sensitivity_G5.problem	SAT	SKIP	generate_instances.py
evaluation/instances/sensitivity_G6.problem	SAT	SKIP	generate_instances.py
evaluation/instances/sensitivity_G7.problem	UNSAT	SKIP	generate_instances.py
